cell_id,condition,number_of_trials,pre_stim_integral_mean,post_stim_integral_mean,p-value_on_integrals,direction_of_effect_on_integrals,pre_stim_mean_all,post_stim_mean_all,p-value_on_means,direction_of_effect_on_means,foldername,integral_change_magnitude,mean_change_magnitude
C000,hit,52,1.319358992614706,-18.435498061235585,2.6141533391156975e-62,-1.0,0.04685871883493344,-0.6422608156146852,2.998178683712653e-62,-1.0,2018.06.14_M332849_DoC_day23,-19.75485705385029,-0.6891195344496186
C000,miss,67,1.319358992614706,0.020795243580373296,0.09413593940718021,-1.0,0.04685871883493344,0.0038401576201297417,0.11285780830373383,-1.0,2018.06.14_M332849_DoC_day23,-1.2985637490343327,-0.0430185612148037
C000,fa,194,1.319358992614706,1.0759054538008737,0.6597235499866232,-1.0,0.04685871883493344,0.038184795286305154,0.6579041061754751,-1.0,2018.06.14_M332849_DoC_day23,-0.24345353881383236,-0.008673923548628289
C000,cr,72,1.319358992614706,1.5991796999962489,0.7130157496050018,1.0,0.04685871883493344,0.05701386271974059,0.7027603930445623,1.0,2018.06.14_M332849_DoC_day23,0.27982070738154285,0.01015514388480715
C001,hit,52,-0.03975404845330366,-1.0582605579876605,0.7294249698769513,-1.0,-0.000529193520378691,-0.03692269744674367,0.7186269802637498,-1.0,2018.06.14_M332849_DoC_day23,-1.0185065095343568,-0.03639350392636498
C001,miss,67,-0.03975404845330366,8.147207129795255,0.011995268850623712,1.0,-0.000529193520378691,0.2847198241285316,0.01074433737910552,1.0,2018.06.14_M332849_DoC_day23,8.18696117824856,0.28524901764891025
C001,fa,194,-0.03975404845330366,-2.6639268879120537,0.08728635104987424,-1.0,-0.000529193520378691,-0.09220981072564617,0.08162010773636426,-1.0,2018.06.14_M332849_DoC_day23,-2.6241728394587502,-0.09168061720526748
C001,cr,72,-0.03975404845330366,2.967068166082442,0.327257021315016,1.0,-0.000529193520378691,0.10088736978749856,0.3348296770307604,1.0,2018.06.14_M332849_DoC_day23,3.0068222145357453,0.10141656330787725
C002,hit,52,-0.20961568132555616,1.2945973348562303,0.656554508624403,1.0,-0.00637302076137887,0.04466916861538332,0.6608608773587108,1.0,2018.06.14_M332849_DoC_day23,1.5042130161817864,0.05104218937676219
C002,miss,67,-0.20961568132555616,-1.5773338830129535,0.6465676265501459,-1.0,-0.00637302076137887,-0.05270485894102453,0.6515358078147042,-1.0,2018.06.14_M332849_DoC_day23,-1.3677182016873974,-0.04633183817964566
C002,fa,194,-0.20961568132555616,2.2517503818252185,0.29911323358721376,1.0,-0.00637302076137887,0.07650227636211163,0.30865766080488655,1.0,2018.06.14_M332849_DoC_day23,2.4613660631507748,0.0828752971234905
C002,cr,72,-0.20961568132555616,-2.495631417168812,0.4297892840529769,-1.0,-0.00637302076137887,-0.08540426723273595,0.42739002281814853,-1.0,2018.06.14_M332849_DoC_day23,-2.2860157358432556,-0.07903124647135708
C003,hit,52,1.3765667808704258,0.5178370637263031,0.8181112295068523,-1.0,0.04767323405070712,0.015797517716721533,0.8046222341337789,-1.0,2018.06.14_M332849_DoC_day23,-0.8587297171441227,-0.03187571633398559
C003,miss,67,1.3765667808704258,-1.7035347693880334,0.34448375818177024,-1.0,0.04767323405070712,-0.05859766996168172,0.3441528947798639,-1.0,2018.06.14_M332849_DoC_day23,-3.080101550258459,-0.10627090401238884
C003,fa,194,1.3765667808704258,0.004655033697189398,0.5369951604980507,-1.0,0.04767323405070712,5.814386656763385e-06,0.5335721301449471,-1.0,2018.06.14_M332849_DoC_day23,-1.3719117471732365,-0.04766741966405036
C003,cr,72,1.3765667808704258,6.960681653035746,0.16496448291222396,1.0,0.04767323405070712,0.23807168534812137,0.1687023389897833,1.0,2018.06.14_M332849_DoC_day23,5.58411487216532,0.19039845129741426
C004,hit,52,3.2188541668436934,-3.2480269959905246,0.16766128566538582,-1.0,0.1106761113203266,-0.11076255083345804,0.1681231000866733,-1.0,2018.06.14_M332849_DoC_day23,-6.466881162834218,-0.22143866215378466
C004,miss,67,3.2188541668436934,3.952578397309633,0.8686359209904422,1.0,0.1106761113203266,0.13754381768575136,0.8599359496144785,1.0,2018.06.14_M332849_DoC_day23,0.7337242304659397,0.02686770636542475
C004,fa,194,3.2188541668436934,-5.1573633127815945,0.0006519223482321781,-1.0,0.1106761113203266,-0.17618494936511517,0.00065967878504805,-1.0,2018.06.14_M332849_DoC_day23,-8.376217479625288,-0.28686106068544176
C004,cr,72,3.2188541668436934,3.752437246478667,0.8993016291425283,1.0,0.1106761113203266,0.13069542424002828,0.889857386348976,1.0,2018.06.14_M332849_DoC_day23,0.5335830796349734,0.020019312919701673
C005,hit,52,4.236778217831614,-12.686142465653578,9.64472631100485e-09,-1.0,0.14503126673333464,-0.4392050064244741,9.495612380135585e-09,-1.0,2018.06.14_M332849_DoC_day23,-16.92292068348519,-0.5842362731578087
C005,miss,67,4.236778217831614,2.6550192000535247,0.5351363480397582,-1.0,0.14503126673333464,0.09375076724819202,0.5608144222756424,-1.0,2018.06.14_M332849_DoC_day23,-1.5817590177780896,-0.051280499485142614
C005,fa,194,4.236778217831614,-3.5719165021746697,6.453981716839943e-07,-1.0,0.14503126673333464,-0.11970374669169438,9.762872126471925e-07,-1.0,2018.06.14_M332849_DoC_day23,-7.808694720006284,-0.26473501342502903
C005,cr,72,4.236778217831614,3.337369381349815,0.7305598754496279,-1.0,0.14503126673333464,0.11311418917663582,0.7223027629845813,-1.0,2018.06.14_M332849_DoC_day23,-0.8994088364817991,-0.031917077556698814
C006,hit,52,-0.9895550504355536,11.294791076646174,0.0002045525422836376,1.0,-0.03394346595671973,0.3720817238357332,0.0002914903703483397,1.0,2018.06.14_M332849_DoC_day23,12.284346127081728,0.4060251897924529
C006,miss,67,-0.9895550504355536,4.859219506069188,0.046254597143867954,1.0,-0.03394346595671973,0.16200982775526018,0.04932012394581395,1.0,2018.06.14_M332849_DoC_day23,5.8487745565047415,0.19595329371197992
C006,fa,194,-0.9895550504355536,1.7655004118733304,0.162566320214946,1.0,-0.03394346595671973,0.057829264309996305,0.17020108957460228,1.0,2018.06.14_M332849_DoC_day23,2.755055462308884,0.09177273026671603
C006,cr,72,-0.9895550504355536,2.2368837384714615,0.1908625908663864,1.0,-0.03394346595671973,0.07518766629727675,0.1950606809585503,1.0,2018.06.14_M332849_DoC_day23,3.226438788907015,0.10913113225399648
C007,hit,52,3.7472748411067194,-2.8353844652705296,0.11951144964939156,-1.0,0.1283480869334771,-0.09477570088602903,0.12358047357356547,-1.0,2018.06.14_M332849_DoC_day23,-6.5826593063772485,-0.22312378781950615
C007,miss,67,3.7472748411067194,-1.771127973190713,0.151369685304264,-1.0,0.1283480869334771,-0.0644078327552964,0.14263288304672886,-1.0,2018.06.14_M332849_DoC_day23,-5.518402814297432,-0.19275591968877348
C007,fa,194,3.7472748411067194,-1.7365979045295576,0.021036181785538396,-1.0,0.1283480869334771,-0.053940167904585674,0.025567505082903647,-1.0,2018.06.14_M332849_DoC_day23,-5.483872745636277,-0.18228825483806277
C007,cr,72,3.7472748411067194,-3.155899045052382,0.05355073650199815,-1.0,0.1283480869334771,-0.10965003034021908,0.05194530537398513,-1.0,2018.06.14_M332849_DoC_day23,-6.903173886159101,-0.23799811727369619
C008,hit,52,0.9084786200218606,-2.0617462940376976,0.29119721136096177,-1.0,0.030725440963140487,-0.07091820538436462,0.2888381314782469,-1.0,2018.06.14_M332849_DoC_day23,-2.9702249140595582,-0.10164364634750511
