snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
4.5727400000000005,5.24099,0.0679569,23.9656,40.4324,0.05,0.0454447,0.05,0.20746900000000001,1.0,135.0,250.0,67.5,13.0384,135.0,250.0,67.5,13.0384,False,9.319839198900292
7.426830000000001,5.94623,0.054661,44.1617,61.7648,0.1,0.049319699999999994,0.2,0.382382,1.0,171.0,187.0,61.5,12.0416,171.0,187.0,61.5,12.0416,False,10.255062703796225
24.8454,7.72756,0.119663,191.99400000000003,219.75900000000001,0.15,0.350441,0.5,0.6696,1.0,175.0,191.0,56.0,9.84886,175.0,191.0,56.0,9.84886,False,8.33986942164991
18.0669,4.01095,0.057615599999999996,72.4654,69.9398,0.1,0.401998,0.3,0.784832,1.0,153.0,234.0,66.0,13.1529,153.0,234.0,66.0,13.1529,False,8.877121595817604
6.37571,4.70654,0.07386619999999999,30.0075,38.9678,0.05,0.136198,0.1,0.44782799999999995,1.0,99.0,230.0,63.5,10.0,99.0,230.0,63.5,10.0,False,9.736655431246204
41.2467,6.31525,0.0797754,260.483,173.043,0.2,0.11547,0.3,0.22121300000000002,1.0,181.0,209.0,56.5,11.1803,181.0,209.0,56.5,11.1803,False,9.166269974612485
16.3197,4.4016,0.07386619999999999,71.8328,61.5291,0.1,0.255734,0.3,0.36844299999999996,1.0,250.0,126.0,63.0,10.8167,250.0,126.0,63.0,10.8167,False,8.357779746657048
16.0961,6.971839999999999,0.131482,112.219,90.2975,0.15,0.10318,0.35,0.26147800000000004,1.0,164.0,232.0,63.0,12.083,164.0,232.0,63.0,12.083,False,6.458305779916797
4.05914,5.87819,0.163983,23.8604,16.1344,0.05,0.08396160000000001,0.05,0.150075,1.0,106.0,243.0,50.0,9.8995,106.0,243.0,50.0,9.8995,False,6.498965180438472
6.87972,30.8186,0.057615599999999996,212.023,73.7344,0.2,0.0751068,0.6,0.556258,1.0,189.0,184.0,66.0,11.4018,189.0,184.0,66.0,11.4018,False,4.501544360036914
5.37979,10.6656,0.00443197,57.3786,2.33282,0.05,0.0,0.05,0.0288675,1.0,61.0,109.0,7.0,4.4721400000000004,61.0,109.0,7.0,4.4721400000000004,False,3.9490967106732926
