t,C000,C001,C002,C003,C004,C005,C006,C008,C012,C013,C029
0.0,-1.555972691778523,-1.2086202809587023,-0.16943972177969366,0.5519677954997253,0.15262848575606727,-0.11932746813262286,-0.09984518278611133,0.0002231913453703743,0.4822545047617551,-0.0625065551266614,8.940072489836169
0.05,-0.2076865951869617,-0.12022021154731048,-0.2725391023072936,0.17087941710845886,-0.13805434156973917,-0.12387744328715487,-0.569128805634505,-0.11320025140529431,0.6659929269327529,-0.06764313593738881,1.355494226138566
0.1,0.02852056649095032,0.23476576664026724,-0.1515800932519079,0.12592421812748317,-0.1507947740839564,0.0038416976414254464,-0.45244532165353457,-0.0016361634726679236,-0.14586555780785887,-0.10004522127992899,0.12153949459098619
0.15,-0.1944582081793856,-0.07740357087163294,-0.17373909431617385,-0.23014319035313424,-0.11130170545093342,0.03527351151250148,-0.17239668389894985,-0.11079461189131938,0.22014100854202168,-0.08769481800808752,-0.22110509001587092
0.2,-0.25235409132035536,0.042270648661690745,-0.1983849907112556,-0.08961082134392558,0.14777127480122054,-0.17680095681777314,0.06502884691886232,-0.2660288074948443,0.3263854308315047,-0.1926953368944806,1.000859306012351
0.25,-0.30245690513837475,-0.4081643343410473,-0.21474418945033957,0.1280716178765551,-0.14941743411931888,-0.08857291861431595,-0.0762696800008147,-0.024071935771015927,-0.02291294373390239,-0.24633195839460548,0.6368450677775249
0.3,-0.46613782388238456,-0.09167138240890493,-0.21131238830403143,-0.4420128543609135,-0.09466319649366278,-0.07607571529559151,-0.4102452050434428,-0.16615753078660114,-0.6884868311510273,-0.13620794582766307,0.49539826605521603
0.35,0.0856838405455918,-0.05847682383863424,-0.19656314778194633,-0.18529689503126365,0.31790369361094767,-0.011561407754390124,-0.4234646867874236,0.05116810840313073,0.9086302500765975,-0.2333296851685935,0.04842158103443896
0.4,-0.5228624388507795,-0.651948794517187,-0.21996379003449923,-0.0074537073351453095,0.14734059012188191,0.041674533803162564,-0.3942269815126085,-0.2076838407950086,-0.5024504042142771,-0.08861744759851245,0.22595682225793443
0.45,-0.6712232681781125,0.2901144685549146,-0.3365751893131396,0.11673424205944943,0.2203192748449318,0.08453815887931113,-0.15862972307631767,-0.1368480807729788,0.03976560078978969,-0.15712513216555937,0.7618977986137492
0.5,-0.38248891043582606,0.1047526450680519,-0.29868342846283613,0.12892797941510353,0.009994088777310764,0.005321431945578748,-0.41784988844448306,-0.221404225486028,-0.14290378394383424,-0.27452365221625163,0.9506351214541704
0.55,0.12864514903068777,-0.08076669858608786,-0.28842367068853025,0.08181039321062161,-0.36106858004788406,0.02104302381428504,-0.5993666138179315,-0.32700183933989974,0.012035765234961691,-0.25574516469205827,0.15330844409767902
0.6,-0.03419381435738259,0.06509747898694343,-0.230944988103301,-0.055455464726143947,0.10264723271560279,0.07060007001311135,-0.46568481523865385,-0.21290319883844436,0.2859564745223811,-0.24360566052303664,0.3656059966202872
0.65,0.7332422044429268,0.019046246308606244,-0.26718728480242504,0.02826234229283513,-0.1598029087744673,0.11176304167787815,-0.2825797631410587,-0.18346177141605097,0.15528178006721138,-0.1749612939684098,1.2083252195176595
0.7,0.16656209642528555,-0.16934999615794324,-0.3446812715155633,-0.07905131740231897,-0.026347554706755896,0.011707616526403408,-0.7319008407313738,-0.2703911863305802,0.42014626521052195,-0.2822547827590451,0.08128532762784313
0.75,-0.20243145860572326,-0.29619850917776525,-0.2791750884826713,-0.11759911162566096,-0.061745721576423204,-0.05255719817928522,-0.40399107634509274,-0.22527973711639807,-0.0671552402819387,-0.3439590703544929,0.9163971344997248
0.8,0.2721069360574212,-0.7733827965303467,-0.26061018117891804,0.0035842482786649153,-0.21260502200870218,-0.05222357244494939,-0.10806282847585098,-0.2055627326266826,0.5256159810150395,-0.16621109477290907,1.0444828951124974
0.85,-0.6022255536521004,-0.059087902173370496,-0.26486021968545254,0.1812015561753365,-0.006169503201860665,0.09268708394903978,0.13859112639952326,-0.36083509437105077,0.28037575227043976,-0.29142437212823274,0.5928132126427108
0.9,0.049617535083896304,-0.10506071764167269,-0.2954170275014942,-0.06154757373332842,-0.15185391059135056,0.03063516117628787,-0.37194006833810955,-0.32290653498887056,0.7666526968291913,-0.29966819099575276,0.8208071115582942
0.95,-0.15074867491233454,-0.6245487191707378,-0.29452571384058973,0.0706430483950874,-0.02809863236837338,0.08810198659890306,-0.20291346944411628,-0.42179684231359604,0.21312657081563216,-0.21680137263296,-0.0503438443988521
1.0,0.16880808117917565,-0.46053228552801656,-0.24411061486640095,-0.14667665802204088,-0.9603280327498821,0.09485465575924171,-0.3957135491731187,-0.4114829129133077,0.2714379523097717,-0.3999609158045732,0.9381670027398405
1.05,-0.0015821630511884425,0.3245567643375324,-0.33274894173690595,-0.21479138658026464,-0.3895567032043715,-0.04952818080450286,-0.23741139728810698,-0.22606312757949232,0.5618229014678201,-0.32629924454366205,0.8643700204252937
1.1,-0.6416460486540753,-0.2115847756740068,-0.23529515705596765,-0.32005601305296016,-0.3068793049241158,-0.0006974216551939064,-0.3230779436023422,-0.3495684495941183,0.8618657012582719,-0.332187785680162,0.33763594391044294
1.15,-0.175575956548853,-0.16601015281924422,-0.3449634798015103,-0.1663313736876716,0.4939747694434883,0.006174370670743723,-0.37453904573804697,-0.30140698365673263,0.3836180789128281,-0.32965407801629387,0.7018895646831527
1.2,0.036707923028424155,-0.13176819451481173,-0.3132541825936682,0.05872522226152555,-0.9423315417655684,-0.012813683050801607,-0.33264887349639927,-0.3334647055652568,0.3680263254849471,-0.25423442564569043,1.053148778635275
1.25,-0.4020124975937488,-0.13836022966684303,-0.34104108032994657,-0.0254014374721477,0.36735559283186303,0.1367910627528883,-0.6670716368393226,-0.3741067337469495,0.6028188331143314,-0.25996029375407675,1.2477952564777106
1.3,-0.3405876674423255,-0.03563097876729519,-0.37550530891142414,0.1435714404215674,-0.27370524903733584,0.09378195444580203,-0.4718352012553533,-0.5003024921247878,0.35861628855721145,-0.34058993264857645,0.7439058149214636
1.35,-0.4435592752165856,-0.4105717104186653,-0.24013018231732694,0.3028800914583586,-0.28326114104280226,0.09944649518653852,-0.41305905908089,-0.5355241539212703,0.02367017414817832,-0.3680151786913429,0.7730712093114535
1.4,-0.022043292550403187,-0.26043666200469595,-0.29960891464927836,-0.06104245992285022,-0.7512941102571432,0.05013477664163002,-0.46200519030980913,-0.3161180949881462,0.014381566375124432,-0.31930935596702525,1.7582037973859856
1.45,0.3121496428196766,-0.1936703032241096,-0.37359670131610967,0.1352243551261125,0.01583924410242107,0.08589577848883839,-0.22934047717445516,-0.3216167185560595,0.06305084221208776,-0.3315935383601656,0.5330402373506579
1.5,0.42949302320334126,-0.2704544543808113,-0.3245450086904313,-0.051873588054835475,-0.8989064740481992,0.02544734268837663,-0.4359324124361974,-0.3127034754620695,0.20445281653060426,-0.3228415985763512,1.2270257283918025
1.55,-0.5853687924252016,-0.6228567046501914,-0.298322369601128,0.21887996711969282,0.027525501526785682,0.08532564034505455,-0.7040302887721148,-0.33412645113423145,0.4342288835120762,-0.325813712014055,0.5340291876876405
