t,C000,C001,C002,C003,C004,C005,C006,C008,C012,C013,C029
0.0,-25.336158752441406,-28.668264389038086,-8.150728225708008,23.705394744873047,-1.8307650089263916,-16.38731575012207,1.4729065895080566,-3.1932373046875,3.955599784851074,44.78790283203125,127.4393539428711
0.05,-7.6746439933776855,-7.727299690246582,-17.264068603515625,14.544898986816406,-5.969658374786377,-16.72325897216797,-8.899325370788574,-8.151966094970703,6.098207473754883,44.4141960144043,53.770118713378906
0.1,-4.579547882080078,-0.8778103590011597,-6.517258644104004,13.44009017944336,-6.169618129730225,-7.843077659606934,-6.3650054931640625,-3.3621058464050293,-3.8263885974884033,42.05322265625,41.755348205566406
0.15,-7.4997148513793945,-6.843812942504883,-8.463650703430176,4.90169095993042,-5.629111289978027,-5.650129795074463,-0.2275754064321518,-8.086124420166016,0.6291640400886536,42.95341491699219,38.39763259887695
0.2,-8.255359649658203,-4.539277076721191,-10.627431869506836,8.251286506652832,-1.9578847885131836,-20.386106491088867,5.001901149749756,-14.758312225341797,1.9187136888504028,35.310211181640625,50.14128494262695
0.25,-8.908916473388672,-13.18605899810791,-12.056262016296387,13.44427490234375,-6.172271728515625,-14.266901969909668,1.8784059286117554,-4.348087310791016,-2.353301763534546,31.409954071044922,46.48075485229492
0.3,-11.027441024780273,-7.077254772186279,-11.715286254882812,-0.22310471534729004,-5.40004825592041,-13.403097152709961,-5.490163803100586,-10.49582290649414,-10.513593673706055,39.442630767822266,45.018829345703125
0.35,-3.7729949951171875,-6.410374164581299,-10.370561599731445,5.864753723144531,0.4525126814842224,-8.90872859954834,-5.784278869628906,-1.1517333984375,8.950529098510742,32.373069763183594,40.58937454223633
0.4,-11.72750186920166,-17.809297561645508,-12.360488891601562,10.103057861328125,-1.9639902114868164,-5.210474491119385,-5.145965099334717,-12.285745620727539,-8.28360366821289,42.93121337890625,42.235599517822266
0.45,-13.65365219116211,0.28577107191085815,-22.617321014404297,13.059345245361328,-0.9280238151550293,-2.2338874340057373,0.05680498108267784,-9.255859375,-1.6706103086471558,37.95177459716797,47.36292266845703
0.5,-9.888630867004395,-3.273699998855591,-19.239187240600586,13.288410186767578,-3.89026141166687,-7.7458271980285645,-5.657889366149902,-12.923176765441895,-3.9414076805114746,29.39747428894043,49.12129592895508
0.55,-3.2102086544036865,-6.8361968994140625,-18.311748504638672,12.100314140319824,-9.13112735748291,-6.652313232421875,-9.663894653320312,-17.45212173461914,-2.090453863143921,30.766550064086914,41.30229568481445
