stim_type,starttime,startframe,nearest_F_frame
auditory,0.0036494918167591095,0,370
visual,3.549331808462739,202,437
auditory_and_visual,6.768532583490014,395,502
visual,9.955252587795258,586,565
visual,13.69145866855979,810,640
visual,18.461543222889304,1096,735
auditory,22.431572422385216,1334,815
auditory,26.151488726958632,1557,889
visual,30.488422587513924,1817,976
auditory_and_visual,35.14217400550842,2096,1069
visual,40.14651048369706,2396,1169
visual,43.68321996927261,2605,1240
auditory,48.30347296781838,2882,1332
visual,52.791101448237896,3151,1422
auditory_and_visual,56.293311862275004,3361,1492
visual,59.69635993801057,3565,1560
auditory_and_visual,63.04953674972057,3766,1627
auditory_and_visual,66.4685484264046,3971,1695
visual,71.33912535384297,4263,1793
visual,74.87549808062613,4475,1863
visual,79.61263297125697,4759,1958
auditory_and_visual,83.56628900580108,4996,2037
auditory_and_visual,87.23583885468543,5216,2110
visual,91.44023607671261,5468,2195
auditory_and_visual,95.7766324095428,5728,2281
auditory_and_visual,99.54618520848453,5954,2357
visual,103.99981975369155,6221,2446
visual,107.15265871956944,6410,2509
auditory_and_visual,111.32267393358052,6660,2592
auditory,114.80929791554809,6869,2662
auditory,118.72897124104202,7104,2740
auditory_and_visual,123.41636476106942,7385,2834
visual,127.83666766248643,7650,2922
auditory_and_visual,132.37378478609025,7922,3013
visual,136.96081390231848,8197,3105
auditory_and_visual,140.99745699763298,8439,3185
auditory,144.9013492129743,8673,3264
auditory_and_visual,149.80539409071207,8967,3362
auditory,153.4748980756849,9187,3435
visual,156.61063070595264,9375,3498
visual,160.28043296188116,9595,3571
visual,163.7005822379142,9800,3639
auditory,168.1544454600662,10067,3728
visual,171.9566076360643,10295,3804
visual,176.8108829203993,10586,3902
visual,179.93019556254148,10773,3964
visual,183.75020686537027,11002,4040
auditory_and_visual,187.87073953263462,11249,4123
auditory_and_visual,191.1729036346078,11446,4189
auditory_and_visual,195.59322513826191,11711,4277
auditory_and_visual,198.86249730549753,11907,4342
visual,202.63289745151997,12133,4418
visual,205.65170906111598,12314,4478
visual,209.98873529210687,12574,4565
auditory_and_visual,214.59255002066493,12850,4657
visual,218.84614595212042,13105,4742
auditory_and_visual,221.91583460755646,13289,4803
auditory_and_visual,226.03561839088798,13536,4886
visual,231.02349703386426,13835,4986
visual,235.17624170705676,14084,5069
auditory,238.82916245423257,14303,5142
visual,243.16620824858546,14563,5228
auditory_and_visual,246.90290695801377,14787,5303
auditory_and_visual,250.22305328398943,14986,5369
visual,254.05893357470632,15216,5446
auditory,258.6795262172818,15493,5539
auditory_and_visual,263.3999980110675,15776,5633
auditory_and_visual,267.25328964181244,16007,5710
visual,270.28944812715054,16189,5771
auditory_and_visual,274.15923415496945,16421,5848
auditory_and_visual,277.3950489554554,16615,5913
auditory,281.91542632877827,16886,6003
auditory,285.7852123565972,17118,6081
auditory_and_visual,289.3056381586939,17329,6151
visual,293.9929415564984,17610,6245
auditory,297.8622920438647,17842,6322
auditory,301.46512985415757,18058,6394
auditory_and_visual,305.7020107321441,18312,6479
auditory,309.42190586961806,18535,6553
visual,313.39231768995523,18773,6633
auditory_and_visual,317.362105704844,19011,6712
visual,321.6652948334813,19269,6798
auditory,325.00143940001726,19469,6865
auditory_and_visual,328.6546003688127,19688,6938
auditory_and_visual,332.2745069861412,19905,7010
auditory,335.76042121089995,20114,7080
auditory_and_visual,340.46457468532026,20396,7174
visual,345.11819749325514,20675,7267
auditory_and_visual,349.98931579850614,20967,7364
auditory_and_visual,354.64302488043904,21246,7457
visual,358.6127644665539,21484,7537
visual,362.64943450316787,21726,7617
auditory,366.95356911979616,21984,7704
auditory_and_visual,370.05576388165355,22170,7766
auditory,374.94363123737276,22463,7863
visual,378.02907855436206,22648,7925
visual,382.43283830955625,22912,8013
auditory_and_visual,385.8527287635952,23117,8081
visual,388.971687970683,23304,8144
auditory_and_visual,393.42546940781176,23571,8233
visual,398.06249037757516,23849,8326
visual,402.28275498747826,24102,8410
auditory,407.1370065379888,24393,8507
auditory,411.42368234694004,24650,8593
auditory_and_visual,414.97692567668855,24863,8664
auditory_and_visual,418.58062622882426,25079,8736
auditory,422.04916471242905,25287,8805
visual,426.78667997941375,25571,8900
visual,430.7898509539664,25811,8980
visual,435.12673478387296,26071,9067
auditory_and_visual,439.4971834216267,26333,9154
auditory_and_visual,442.8335550595075,26533,9221
auditory,446.51983824186027,26754,9294
auditory,451.20706274174154,27035,9388
visual,455.51063513197005,27293,9474
auditory,460.16451387666166,27572,9567
auditory,464.18466706573963,27813,9648
auditory_and_visual,468.58823278546333,28077,9736
auditory_and_visual,472.6753318179399,28322,9817
auditory_and_visual,476.1615369375795,28531,9887
visual,480.4816630575806,28790,9974
auditory_and_visual,484.3012211807072,29019,10050
auditory_and_visual,489.02195596694946,29302,10144
visual,492.7250244393945,29524,10218
visual,497.6958711575717,29822,10318
auditory_and_visual,501.98292926698923,30079,10403
auditory,506.10294268652797,30326,10486
auditory_and_visual,509.705876391381,30542,10558
visual,513.1922957524657,30751,10628
auditory,518.0961712878197,31045,10726
auditory_and_visual,522.8670717589557,31331,10821
auditory_and_visual,526.8869821634144,31572,10901
auditory,531.574385304004,31853,10995
auditory,536.2448376640677,32133,11089
auditory_and_visual,540.915506189689,32413,11182
auditory_and_visual,545.1189255304635,32665,11266
visual,548.8228407092392,32887,11340
auditory_and_visual,552.3084091953933,33096,11410
auditory,556.0614024903625,33321,11485
auditory,559.4812008980662,33526,11553
auditory,562.6506247017533,33716,11617
visual,566.3198079653084,33936,11690
auditory_and_visual,569.7394877057523,34141,11758
auditory,573.576378269121,34371,11835
auditory,576.8956284988672,34570,11901
auditory,580.2982166595757,34774,11969
auditory_and_visual,584.4018880240619,35020,12051
auditory,587.5879168733954,35211,12115
auditory_and_visual,590.8906438425183,35409,12181
visual,594.9772916212678,35654,12263
