auto_rewarded,change_contrast,change_frame,change_image_category,change_image_name,change_ori,change_time,cumulative_reward_number,cumulative_volume,delta_ori,initial_contrast,initial_image_category,initial_image_name,initial_ori,lick_times,optogenetics,response_latency,response_time,response_type,reward_frames,reward_times,reward_volume,rewarded,scheduled_change_time,startframe,starttime,endframe,endtime,trial_length,mouse_id,response_window,task,stage,session_duration,user_id,LDT_mode,blank_screen_timeout,stim_duration,blank_duration_range,prechange_minimum,stimulus_distribution,stimulus,distribution_mean,computer_name,behavior_session_uuid,startdatetime,date,year,month,day,hour,dayofweek,number_of_rewards,rig_id,trial_type,lick_frames,reward_licks,reward_lick_count,reward_lick_latency,reward_rate,response,color
True,1.0,160.0,im062,im062,90.0,6.138294109143317,1,0.005,0.0,1.0,im066,im066,90.0,"[10.32508137403056, 10.625332784838974]",False,4.1867872648872435,[],MISS,[159],[6.08825477],0.005,True,2.3963079215481837,0,0.0,279,10.67537725251168,-0.6801501731388271,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,1,Widefield-329,autorewarded,"[269, 278]",[4.2368266  4.53707801 4.68719506 4.83732173 4.97076498],5,4.236826600972563,inf,0.0,darkblue
,1.0,,,,,,1,0.005,0.0,1.0,,,90.0,"[10.775449830573052, 10.92557649826631, 11.059019752312452, 11.392625481821597]",False,inf,[],EARLY_RESPONSE,[],[],0.0,True,2.3977751015469515,279,10.67537725251168,299,11.442668986972421,0.7675104644149542,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,"[281, 284, 288, 298]",[],0,,inf,0.0,lightgray
,1.0,,,,,,1,0.005,0.0,1.0,,,90.0,[],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,2.397773497809478,299,11.442668986972421,319,12.20992416003719,0.767502446193248,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[],[],0,,inf,0.0,lightgray
True,1.0,400.0,im077,im077,90.0,15.329169241711497,2,0.01,0.0,1.0,im062,im062,90.0,"[15.596104819793254, 15.862986516673118, 15.996416942216456, 16.146542647387832, 16.296665786765516, 16.396751835476607, 16.596912065986544, 16.730359168723226, 17.764539656229317]",False,0.26693557808175683,[],HIT,[399],[15.27916871],0.005,True,2.397771894537666,319,12.20992416003719,479,18.331667953170836,6.121557135600597,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,1,Widefield-329,autorewarded,"[406, 414, 418, 421, 424, 427, 433, 437, 463]","[0.31693611 0.5838178  0.71724823 0.86737393 1.01749707 1.11758312
 1.31774335 1.45119046 2.48537094 4.85399359 4.98743364]",11,0.316936107352376,inf,1.0,darkblue
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[20.133162305224687, 20.266602352261543]",False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.1982096927672607,479,18.331667953170836,539,20.61689277784899,2.28487460128963,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,"[525, 529]",[],0,,inf,0.0,lightgray
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[21.484276013448834, 21.73448135331273, 21.934646394569427]",False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.198208409404753,539,20.61689277784899,579,22.151493245735765,1.5349577469751239,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,"[561, 567, 573]",[],0,,inf,0.0,lightgray
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[22.868785413447767],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.1982077681891603,579,22.151493245735765,599,22.918825711589307,0.767600906547159,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[598],[],0,,inf,0.0,lightgray
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[23.469244296196848],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.198208409404753,599,22.918825711589307,619,23.686101730912924,0.7668770467862487,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[613],[],0,,inf,0.0,lightgray
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[23.836212041787803],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.1982064852923138,619,23.686101730912924,639,24.453388655092567,0.7670935313217342,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[622],[],0,,inf,0.0,lightgray
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[25.737779934424907],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.1982068056672794,639,24.453388655092567,679,25.98798912251368,1.5348265734501183,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[672],[],0,,inf,0.0,lightgray
