auto_rewarded,change_contrast,change_frame,change_image_category,change_image_name,change_ori,change_time,cumulative_reward_number,cumulative_volume,delta_ori,initial_contrast,initial_image_category,initial_image_name,initial_ori,lick_times,optogenetics,response_latency,response_time,response_type,reward_frames,reward_times,reward_volume,rewarded,scheduled_change_time,startframe,starttime,endframe,endtime,trial_length,mouse_id,response_window,task,stage,session_duration,user_id,LDT_mode,blank_screen_timeout,stim_duration,blank_duration_range,prechange_minimum,stimulus_distribution,stimulus,distribution_mean,computer_name,behavior_session_uuid,startdatetime,date,year,month,day,hour,dayofweek,number_of_rewards,rig_id,trial_type,lick_frames,reward_licks,reward_lick_count,reward_lick_latency,reward_rate,response,color
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[29.207307424396276],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,6.628207483187886,679,25.98798912251368,779,29.824482754804194,3.836224870290607,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[762],[],0,,0.0,0.0,lightgray
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[29.97460749791935],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,6.628217746362658,779,29.824482754804194,799,30.591781224589795,0.7675383668392897,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[782],[],0,,0.0,0.0,lightgray
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[32.443367830943316],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,6.628215180568965,799,30.591781224589795,859,32.89369266992435,2.3022440294735134,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[846],[],0,,0.0,0.0,lightgray
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[33.243967059999704],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,6.628217425522031,859,32.89369266992435,879,33.66099306382239,0.7666919929906726,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[867],[],0,,0.0,0.0,lightgray
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[35.712669022381306],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,6.628218066737624,879,33.66099306382239,939,35.96288205916062,2.301942554768175,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[932],[],0,,0.0,0.0,lightgray
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[41.76766505045816],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,6.628218387578251,939,35.96288205916062,1099,42.08464477490634,6.121901907026768,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[1090],[],0,,0.0,0.0,lightgray
True,1.0,1200.0,im065,im065,90.0,45.97114310506731,3,0.015,0.0,1.0,im077,im077,90.0,"[46.371458114124835, 46.604985813144594, 46.97197312256321, 47.10540547221899, 47.23884167056531]",False,0.4003150090575218,[],HIT,[1199],[45.92110794],0.005,True,3.330447370551198,1099,42.08464477490634,1319,50.524887532461435,8.44022351456806,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,1,Widefield-329,autorewarded,"[1210, 1217, 1225, 1229, 1233]",[0.45035018 0.68387787 1.05086518 1.18429753 1.31773373],5,0.4503501756116748,0.0,1.0,darkblue
,1.0,,,,,,3,0.015,0.0,1.0,,,90.0,"[52.393096616026014, 52.55990060325712]",False,inf,[],EARLY_RESPONSE,[],[],0.0,False,2.933872854292339,1319,50.524887532461435,1379,52.810104018542916,2.285123157314956,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,"[1367, 1372]",[],0,,0.0,0.0,lightgray
,1.0,,,,,,3,0.015,0.0,1.0,,,90.0,[53.22711174143478],False,inf,[],EARLY_RESPONSE,[],[],0.0,False,2.933883758682704,1379,52.810104018542916,1399,53.57740280916914,0.7672250256873667,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[1389],[],0,,0.0,0.0,lightgray
False,1.0,1480.0,im065,im065,90.0,56.69665238074958,3,0.015,0.0,1.0,im065,im065,90.0,[],False,,[],CR,[],[],0.0,False,2.9338824757858575,1399,53.57740280916914,1619,61.984335185959935,8.40718093328178,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,catch,[],[],0,,0.0,0.0,#4c72b0
True,1.0,1700.0,im061,im061,90.0,65.08690262725577,4,0.02,0.0,1.0,im065,im065,90.0,"[65.67071529990062, 65.93755883164704, 66.03773724706843, 66.13781174970791, 66.43801216641441, 66.60481807775795, 66.87170169921592, 70.09102449100465, 70.19110893597826]",False,0.5838126726448536,[],HIT,[1699],[65.03689184],0.005,True,2.933880551207764,1619,61.984335185959935,1839,70.37459024321288,8.390396172646433,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,1,Widefield-329,autorewarded,"[1716, 1722, 1724, 1727, 1736, 1740, 1746, 1831, 1834]","[0.63382346 0.900667   1.00084541 1.10091991 1.40112033 1.56792624
 1.83480986]",7,0.6338234646245837,0.0,1.0,darkblue
True,1.0,1920.0,im085,im085,90.0,73.47715191170573,5,0.025,0.0,1.0,im061,im061,90.0,"[73.77739947335795, 74.0442856606096, 74.29449228337035, 74.44461413985118, 74.74486426776275]",False,0.30024756165221334,[],HIT,[1919],[73.4270789],0.005,True,2.8832864602030384,1839,70.37459024321288,1959,74.96171240182593,4.587217091117054,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,1,Widefield-329,autorewarded,"[1927, 1935, 1941, 1944, 1953]",[0.35032057 0.61720676 0.86741338 1.01753524 1.31778537],5,0.3503205729648471,0.0,1.0,darkblue
,1.0,,,,,,5,0.025,0.0,1.0,,,90.0,"[78.46459677629173, 78.5646773725748]",False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.6201487952412634,1959,74.96171240182593,2059,78.78152839327231,3.819773656781763,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,"[2050, 2053]",[],0,,0.0,0.0,lightgray
,1.0,,,,,,5,0.025,0.0,1.0,,,90.0,"[82.21769579080865, 82.38450170261785]",False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.620144946550724,2059,78.78152839327231,2159,82.60134502593428,3.8193996995687485,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,"[2148, 2153]",[],0,,0.0,0.0,lightgray
,1.0,,,,,,5,0.025,0.0,1.0,,,90.0,[85.30362664349377],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.620144626175758,2159,82.60134502593428,2239,85.65388179058209,3.0530155962333083,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[2229],[],0,,0.0,0.0,lightgray
,1.0,,,,,,5,0.025,0.0,1.0,,,90.0,[87.85567736066878],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.6201439849601655,2239,85.65388179058209,2299,87.93909186217934,2.2849121252074838,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[2297],[],0,,0.0,0.0,lightgray
,1.0,2400.0,im077,im077,90.0,91.82563220662996,5,0.025,0.0,1.0,im085,im085,90.0,"[95.17842455161735, 95.44527417700738]",False,3.3527923449873924,[],MISS,[],[],0.0,True,3.620145267391351,2299,87.93909186217934,2499,95.59540341002867,7.656628416851163,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,go,"[2487, 2495]",[],0,,0.0,0.0,#ccb974
,1.0,2620.0,im063,im063,90.0,100.23255881108344,6,0.032,0.0,1.0,im077,im077,90.0,"[100.63288953481242, 100.7329807151109, 100.9998595258221, 101.14998907968402, 101.56700065126643]",False,0.4003307237289846,[],HIT,[2630],[100.63288953],0.007,True,3.8731265067045086,2499,95.59540341002867,2659,101.71712122531608,6.121613261289895,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,1,Widefield-329,go,"[2630, 2633, 2640, 2643, 2655]",[0.10009118 0.36696999 0.51709954 0.93411112 1.18427829],5,0.10009118029847741,0.0,1.0,#55a868
,1.0,,,,,,6,0.032,0.0,1.0,,,90.0,[101.81716782553121],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,4.557386757513157,2659,101.71712122531608,2679,102.48441937426105,0.7670255387201905,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[2661],[],0,,0.0,0.0,lightgray
,1.0,2800.0,im085,im085,90.0,107.12157702026889,7,0.039,0.0,1.0,im063,im063,90.0,"[107.58862953167409, 107.88887965958565, 107.98896955652162, 108.08904309710488, 108.22248667199165, 108.35593281220645]",False,0.46705251140519977,[],HIT,[2812],[107.58862953],0.007,True,4.557384191719464,2679,102.48441937426105,2899,110.90804446581751,8.42376716947183,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,1,Widefield-329,go,"[2812, 2820, 2822, 2824, 2828, 2832]",[0.30025013 0.40034002 0.50041357 0.63385714 0.76730328 4.954096  ],6,0.3002501279115677,0.0,1.0,#55a868
,1.0,,,,,,7,0.039,0.0,1.0,,,90.0,"[112.5427255295217, 112.6428096536547, 112.7929270202294]",False,inf,[],EARLY_RESPONSE,[],[],0.0,True,2.276461874983781,2899,110.90804446581751,2959,113.20994019601494,2.3015746916644275,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,"[2941, 2943, 2947]",[],0,,0.0,0.0,lightgray
,1.0,,,,,,7,0.039,0.0,1.0,,,90.0,"[113.25997953210026, 113.72703011892736, 113.86047273175791]",False,inf,[],EARLY_RESPONSE,[],[],0.0,True,2.2764605920869343,2959,113.20994019601494,2979,113.97723610000685,0.7683263700455427,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,"[2960, 2972, 2976]",[],0,,0.0,0.0,lightgray
,1.0,3040.0,im063,im063,90.0,116.3291779011488,7,0.039,0.0,1.0,im085,im085,90.0,"[117.24660335900262, 117.64690874656662]",False,0.9174254578538239,[],MISS,[],[],0.0,True,2.276458667508834,2979,113.97723610000685,3079,117.7970190574415,3.819045948330313,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,go,"[3063, 3075]",[],0,,0.0,0.0,#ccb974
,1.0,,,,,,7,0.039,0.0,1.0,,,90.0,[120.81621497310698],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.1790453980738818,3079,117.7970190574415,3159,120.86622704844922,3.0691175484098494,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[3158],[],0,,0.0,0.0,lightgray
,1.0,,,,,,7,0.039,0.0,1.0,,,90.0,[],False,inf,[],EARLY_RESPONSE,[],[],0.0,True,3.1790434739614426,3159,120.86622704844922,3179,121.63355502439663,0.7672779439017177,M351181,"[0.15, 0.75]",DoC_NaturalImages_CAMMatched_n=8,natural_images_drop_reward,3600.0402035657316,julied,block,False,0.25,"[0.5, 0.5]",2.25,exponential,Natural_Images_Lum_Matched_set_training_2017.07.14.pkl,2,W7VS-SYSLOGIC26,30e932cb-d673-532a-88ce-9167274e2b04,2018-03-14 14:32:21.210000-07:00,2018-03-14,2018,3,14,14,2,0,Widefield-329,aborted,[],[],0,,0.0,0.0,lightgray
