frame,end_frame,time,duration,image_category,image_name,orientation,contrast,nearest_lick,change,nearest_F_frame
1,6,19.47743,0.2817322090268135,im066,im066,,,10.258170000000003,True,356.0
20,26,20.19429,0.2979765604250133,im066,im066,,,9.541310000000003,False,370.0
40,46,20.9618,0.2977546234615147,im066,im066,,,8.773800000000001,False,385.0
60,65,21.72907,0.24780572997406125,im066,im066,,,8.006530000000001,False,401.0
80,86,22.4799,0.29753172490745783,im066,im066,,,7.255700000000001,False,416.0
100,106,23.2475,0.29718951927497983,im066,im066,,,6.488100000000003,False,431.0
120,126,24.01442,0.29769432870671153,im066,im066,,,5.72118,False,446.0
140,146,24.78157,0.29774724692106247,im066,im066,,,4.954030000000003,False,462.0
160,166,25.54878,0.2959088934585452,im062,im062,,,4.186820000000001,True,477.0
180,186,26.31626,0.297748529817909,im062,im062,,,3.419340000000002,False,492.0
200,205,27.08385,0.24731406942009926,im062,im062,,,2.65175,False,508.0
220,226,27.83413,0.29699740931391716,im062,im062,,,1.9014700000000033,False,523.0
240,246,28.60131,0.2979310182854533,im062,im062,,,1.13429,False,538.0
260,266,29.36872,0.2977408329024911,im062,im062,,,0.36688000000000187,False,553.0
280,286,30.13594,0.2973495568148792,im062,im062,,,0.050039999999999196,False,569.0
300,306,30.90338,0.29721100721508265,im062,im062,,,0.10006999999999877,False,584.0
320,326,31.67071,0.29707534331828356,im062,im062,,,0.8674,False,599.0
340,346,32.43855,0.2971898396499455,im062,im062,,,1.6352399999999996,False,615.0
360,366,33.20533,0.2978056175634265,im062,im062,,,1.8015100000000004,False,630.0
380,386,33.97246,0.29774115327745676,im062,im062,,,1.0343799999999987,False,646.0
400,406,34.73974,0.29594866232946515,im077,im077,,,0.2670999999999992,True,661.0
420,426,35.50722,0.29761543218046427,im077,im077,,,0.050070000000005166,False,676.0
440,445,36.27456,0.24770694924518466,im077,im077,,,0.1334099999999978,False,692.0
460,466,37.02574,0.29714237386360765,im077,im077,,,0.15008999999999872,False,707.0
480,486,37.79268,0.297432622872293,im077,im077,,,0.6168499999999995,False,722.0
500,506,38.55956,0.2978986259549856,im077,im077,,,0.9842700000000022,False,737.0
520,525,39.32712,0.24789841705933213,im077,im077,,,0.21670999999999907,False,753.0
540,546,40.07761,0.2972985631786287,im077,im077,,,0.4003200000000007,False,768.0
560,566,40.8448,0.2978540463373065,im077,im077,,,0.05004000000000275,False,783.0
580,586,41.61241,0.2972061960026622,im077,im077,,,0.26715999999999696,False,798.0
600,606,42.38009,0.2968947794288397,im077,im077,,,0.10006000000000626,False,814.0
620,626,43.14693,0.2973255035467446,im077,im077,,,0.10011000000000081,False,829.0
640,646,43.91405,0.2974377549253404,im077,im077,,,0.6670100000000048,False,844.0
660,666,44.68129,0.2978373686783016,im077,im077,,,0.4670100000000019,False,860.0
680,686,45.44874,0.29729888401925564,im077,im077,,,0.3004400000000018,False,875.0
700,706,46.21637,0.2974169082008302,im077,im077,,,1.0680699999999987,False,890.0
720,726,46.98342,0.2976978565566242,im077,im077,,,1.6345899999999958,False,906.0
740,746,47.75052,0.2975079920142889,im077,im077,,,0.8674899999999965,False,921.0
760,766,48.51797,0.29770876094698906,im077,im077,,,0.1000399999999999,False,936.0
780,786,49.28519,0.2973691211082041,im077,im077,,,0.10007999999999839,False,952.0
800,806,50.05264,0.2973184478469193,im077,im077,,,0.6673699999999982,False,967.0
820,826,50.81995,0.2972899037413299,im077,im077,,,1.0341900000000024,False,982.0
840,846,51.58782,0.2970609115436673,im077,im077,,,0.26632000000000033,False,998.0
860,866,52.35485,0.29698073165491223,im077,im077,,,0.30004000000000275,False,1013.0
880,886,53.12168,0.2976026036776602,im077,im077,,,0.46678999999999604,False,1028.0
900,906,53.8889,0.298008952755481,im077,im077,,,1.2340099999999978,False,1044.0
920,926,54.65636,0.29774724692106247,im077,im077,,,0.4671200000000013,False,1059.0
940,946,55.42364,0.2975018979050219,im077,im077,,,0.3001599999999982,False,1074.0
960,966,56.19162,0.29711767844855785,im077,im077,,,1.0681399999999996,False,1090.0
980,986,56.95821,0.2977847708389163,im077,im077,,,1.8347300000000004,False,1105.0
1000,1006,57.72544,0.29802627163007855,im077,im077,,,2.6019599999999983,False,1120.0
1020,1026,58.49292,0.2976798960007727,im077,im077,,,2.685670000000002,False,1136.0
1040,1045,59.26012,0.2476642932742834,im077,im077,,,1.9184699999999992,False,1151.0
1060,1066,60.01083,0.2977209482342005,im077,im077,,,1.1677600000000012,False,1166.0
1080,1086,60.77848,0.2973880432546139,im077,im077,,,0.40010999999999797,False,1182.0
1100,1106,61.54546,0.2973155612125993,im077,im077,,,0.3668699999999987,False,1197.0
1120,1126,62.31264,0.29793390491977334,im077,im077,,,1.134050000000002,False,1212.0
1140,1146,63.08006,0.29771036468446255,im077,im077,,,1.9014700000000033,False,1228.0
1160,1166,63.84731,0.297640448436141,im077,im077,,,1.9356399999999994,False,1243.0
1180,1186,64.61473,0.29755385406315327,im077,im077,,,1.1682200000000051,False,1258.0
1200,1206,65.38236,0.2955913827754557,im065,im065,,,0.400589999999994,True,1274.0
1220,1226,66.14989,0.29719336796551943,im065,im065,,,0.13333000000000084,False,1289.0
1240,1246,66.91662,0.29771421290934086,im065,im065,,,0.2664800000000014,False,1304.0
1260,1266,67.68376,0.29794929921627045,im065,im065,,,1.0336200000000133,False,1320.0
1280,1286,68.45102,0.297751737292856,im065,im065,,,1.8008800000000065,False,1335.0
1300,1306,69.2185,0.2976064523681998,im065,im065,,,2.5683600000000126,False,1350.0
1320,1325,69.98584,0.24732721922919154,im065,im065,,,1.8182100000000077,False,1366.0
1340,1346,70.73703,0.29714333545416594,im065,im065,,,1.0670199999999994,False,1381.0
1360,1366,71.50403,0.29741209745407104,im065,im065,,,0.3000200000000035,False,1396.0
1380,1386,72.27084,0.2975281970575452,im065,im065,,,0.300060000000002,False,1411.0
1400,1406,73.03842,0.29751761304214597,im065,im065,,,0.40064999999999884,False,1427.0
1420,1426,73.80566,0.29764012712985277,im065,im065,,,1.1678899999999999,False,1442.0
1440,1446,74.5729,0.29779118532314897,im065,im065,,,1.935130000000001,False,1457.0
1460,1466,75.34049,0.29752146173268557,im065,im065,,,2.7027199999999993,False,1473.0
1480,1486,76.10738,0.2978303129784763,im065,im065,,,3.469610000000003,False,1488.0
1500,1506,76.87492,0.29769946029409766,im065,im065,,,4.23715,False,1503.0
1520,1526,77.64204,0.2977668112143874,im065,im065,,,5.004269999999991,False,1519.0
1540,1545,78.4093,0.2477582641877234,im065,im065,,,5.7715299999999985,False,1534.0
1560,1565,79.15997,0.2476434470154345,im065,im065,,,5.922389999999993,False,1549.0
