frame,time
159,25.4989
399,34.69004
1199,65.33231
1699,84.4498
1919,92.83882
2630,120.04397
2812,126.99984
3469,152.13767
4748,201.06161
5288,221.72829
5892,244.83113
6169,255.45626
6571,270.81912
7093,290.68572
8009,325.74835
8768,354.73955
9330,376.2234
9889,397.59132
10156,407.75017
10683,427.94976
11552,461.19406
12164,484.64735
12499,497.39081
15211,601.12706
17466,687.41519
19251,755.68877
19415,761.96056
20174,790.98479
20336,797.17352
20784,814.33757
20951,820.67622
21531,842.87808
22072,863.56249
22447,877.95787
24891,971.25128
25754,1004.22882
27186,1059.0742
27532,1072.28541
27871,1085.22924
28292,1101.30956
28810,1121.0926
29155,1134.25341
29712,1155.57134
30412,1182.32666
30690,1193.00229
31429,1221.22573
32208,1251.01717
32694,1269.54941
33674,1307.06367
34356,1333.08525
34832,1351.35065
36816,1427.23025
37093,1437.82232
37282,1445.01243
37486,1452.85153
38493,1491.30009
38666,1497.90632
38813,1503.52705
40320,1561.04157
41013,1587.51343
41392,1601.99223
42634,1649.38164
42851,1657.68856
43372,1677.58851
43672,1689.04843
43847,1695.77029
44451,1718.85681
44733,1729.63167
44867,1734.76924
45526,1759.94021
45800,1770.39905
46332,1790.76601
48013,1855.01946
49373,1907.06247
49629,1916.83728
50235,1940.0238
52294,2018.63859
52437,2024.07659
52894,2041.57439
53233,2054.53536
53435,2062.22474
53635,2069.84819
54053,2085.7946
55193,2129.38074
55507,2141.39082
57153,2204.32678
58835,2268.61307
59231,2283.80904
59879,2308.54633
60760,2342.19081
61241,2360.55614
61756,2380.28918
63452,2445.14307
64754,2494.8344
65695,2530.7815
66240,2551.61496
66519,2562.24064
67320,2592.83337
68098,2622.60748
76655,2949.47891
78060,3003.17371
81461,3133.08154
85839,3300.35417
85988,3306.10867
86401,3321.87197
87075,3347.57692
87621,3368.4273
