cell_id
C001
C002
C004
C006
C009
C012
C015
C016
C018
C035
C040
C041
C045
C076
C078
C092
C100
C107
C116
C120
C138
C141
C143
C149
C150
C151
C153
C155
C157
C160
C161
C162
C163
C164
C173
