cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C001,18.817405,15.4314,0.028943071,297.233,304.2595,0.2,0.3092905,0.85,0.9099450000000001,1.0,162.0,91.0,60.5,10.198,162.0,91.0,60.5,10.198,False,15.350791803380648
C002,10.543334999999999,8.56013,0.021336625,115.7913,159.710455,0.175,0.35763765,0.6625,0.9059105,1.0,293.0,218.0,60.0,13.4536,293.0,218.0,60.0,13.4536,False,18.366313399609503
C003,22.296075000000002,15.6716,0.014202221000000001,442.42460000000005,347.905,0.15,0.07717450000000001,0.575,0.43339449999999996,1.0,188.0,104.0,59.5,10.0,188.0,104.0,59.5,10.0,False,22.005618904390545
C004,15.83735,3.8591550000000003,0.029481599999999997,122.2375,87.178,0.1,0.11531949999999999,0.4625,0.329957,1.0,236.0,17.0,59.0,10.2956,236.0,17.0,59.0,10.2956,False,18.101390511438787
C005,8.98695,5.7616,0.0466792,103.55799999999999,168.6255,0.15,0.43318999999999996,0.525,0.63057,1.0,172.0,214.0,48.5,9.43398,172.0,214.0,48.5,9.43398,False,22.122261363595346
C006,8.08565,20.4772,0.015559749999999999,331.1425,177.12150000000003,0.15,0.3521085,0.55,0.588875,1.0,255.0,189.0,57.5,11.7047,255.0,189.0,57.5,11.7047,False,16.026473885648418
C007,14.3806,5.41755,0.0417656,155.8145,219.74900000000002,0.125,0.4037055,0.775,0.8896200000000001,1.0,302.0,123.0,60.0,11.1803,302.0,123.0,60.0,11.1803,False,15.19916858771989
C008,11.634310000000001,14.367049999999999,0.020215140000000003,187.64139999999998,160.02358,0.1625,0.052681900000000004,0.42500000000000004,0.7082600000000001,1.0,173.0,61.0,55.5,10.7703,173.0,61.0,55.5,10.7703,False,18.98879792244885
C009,11.365390000000001,12.03128,0.024029471,144.0139,137.773,0.2,0.5023850000000001,1.0,1.122555,1.0,267.0,176.0,60.5,12.53,267.0,176.0,60.5,12.53,False,14.781931469573813
C010,11.115680000000001,10.33917,0.025409115,142.88490000000002,175.564605,0.15,0.28602875,0.48750000000000004,0.38480250000000005,1.0,267.0,201.0,57.0,9.43398,267.0,201.0,57.0,9.43398,False,18.757986589848002
C011,9.041425,16.191305,0.020215140000000003,191.8683,105.1856,0.2,0.13881949999999998,0.575,0.406729,1.0,254.0,157.0,62.0,10.2956,254.0,157.0,62.0,10.2956,False,13.47355748527954
C012,16.7738,22.640055,0.0232549,357.2557,230.33535,0.2625,0.404378,1.075,1.146223,1.0,125.0,119.0,58.5,9.8995,125.0,119.0,58.5,9.8995,False,14.433335734647414
C013,7.8416,9.6328,0.0540495,151.0725,183.77450000000002,0.1375,0.3224625,0.5875,1.0186549999999999,1.0,153.0,166.0,56.0,10.4403,153.0,166.0,56.0,10.4403,False,16.127952673086426
C015,8.10305,21.709,0.0655145,351.8175,566.325,0.1,0.367976,0.575,0.795115,1.0,205.0,157.0,27.5,7.2111,205.0,157.0,27.5,7.2111,True,
C016,7.6117,5.7547,0.0221112,87.60549999999999,100.24600000000001,0.125,0.164359,0.475,1.6377549999999998,1.0,113.0,189.0,55.0,9.8995,113.0,189.0,55.0,9.8995,False,17.580408167271507
C017,14.66285,12.5243,0.063877,367.2835,365.3415,0.1,0.275131,0.45,0.527625,1.0,256.0,124.0,60.0,9.84886,256.0,124.0,60.0,9.84886,False,11.89879742112362
C018,8.891185,22.704909999999998,0.012564371,243.7451,94.3115,0.2,0.25298200000000004,0.925,0.378759,1.0,135.0,152.0,63.5,10.4403,135.0,152.0,63.5,10.4403,False,15.745332363841932
C020,22.52795,10.80025,0.03521415,486.615,473.474,0.15,2.188935,0.6,4.252825,1.0,242.0,177.0,59.5,10.8167,242.0,177.0,59.5,10.8167,False,16.76294276136767
C021,17.43005,10.49615,0.0696095,365.898,326.22700000000003,0.175,0.3258475,0.775,1.138635,1.0,229.0,201.0,59.5,10.4403,229.0,201.0,59.5,10.4403,False,10.599684202825788
C022,14.722480000000001,8.331355,0.061228585,148.59699999999998,89.97805,0.2,0.37221119999999996,0.675,0.6252695,1.0,37.0,187.0,58.0,10.0,37.0,187.0,58.0,10.0,False,10.328909169345778
C023,15.64605,6.83565,0.01801655,213.90150000000003,206.976,0.1125,0.12808699999999998,0.35,2.1533849999999997,1.0,197.0,113.0,60.5,13.3417,197.0,113.0,60.5,13.3417,False,22.769141880650277
C024,13.431,6.83175,0.0540495,183.515,184.03150000000002,0.15,0.30934,0.7125,0.893415,1.0,323.0,136.0,64.5,11.1803,323.0,136.0,64.5,11.1803,False,12.183592398818936
C025,11.5846,8.23385,0.0237491,190.7715,84.39,0.15,0.2108585,0.675,0.583815,1.0,221.0,211.0,58.5,12.53,221.0,211.0,58.5,12.53,False,11.180656067294578
C026,8.291235,15.83394,0.0313413,158.37105,60.153145,0.1375,0.16464520000000002,0.475,0.5415414999999999,1.0,67.0,162.0,63.0,10.7703,67.0,162.0,63.0,10.7703,False,12.573760519461635
C027,12.917525000000001,10.528925000000001,0.03899205,142.21815,118.33755,0.2,0.35814050000000003,0.7250000000000001,1.2884959999999999,1.0,254.0,253.0,47.5,12.1655,254.0,253.0,47.5,12.1655,False,14.63998219728806
C028,13.4189,3.97244,0.007370399999999999,106.61149999999999,189.518,0.1,0.6436649999999999,0.45,1.1295899999999999,1.0,180.0,20.0,69.0,10.7703,180.0,20.0,69.0,10.7703,False,21.184840942054826
C029,10.90175,7.34715,0.0556875,160.194,236.49099999999999,0.35,17.17835,1.0625,21.02625,1.0,178.0,171.0,45.0,8.94427,178.0,171.0,45.0,8.94427,False,18.06699924958621
C031,9.46335,9.6464,0.014740799999999998,182.575,180.081,0.1,0.03385015,0.35,0.23206500000000002,1.0,200.0,135.0,62.5,11.4018,200.0,135.0,62.5,11.4018,False,12.230922176918241
C032,9.6599,10.88655,0.050774,210.326,135.5575,0.125,0.196799,0.5375,0.44133100000000003,1.0,201.0,197.0,54.5,10.4403,201.0,197.0,54.5,10.4403,False,11.481278412613955
C033,8.8544,7.105,0.026205900000000004,125.8215,126.43549999999999,0.2125,0.253337,0.725,0.645945,1.0,145.0,3.0,62.5,11.1803,145.0,3.0,62.5,11.1803,False,24.50547132214847
C034,13.01472,7.25261,0.04407685,96.32930000000002,73.8353,0.15000000000000002,0.3586369,0.6375,1.0728575000000002,1.0,176.0,249.0,58.0,9.84886,176.0,249.0,58.0,9.84886,False,9.481290375242732
C035,5.9442,5.69585,0.0171976,67.7145,97.82700000000001,0.125,0.08110099999999999,0.675,0.3603485,1.0,155.0,9.0,65.5,13.1529,155.0,9.0,65.5,13.1529,False,11.770595363340206
C036,12.6808,5.38125,0.0171976,136.4765,246.4565,0.225,1.70098,0.95,5.1621,1.0,270.0,148.0,61.0,10.4403,270.0,148.0,61.0,10.4403,False,22.781966324317626
C037,11.6703,5.0631,0.062238999999999996,118.175,137.7645,0.125,0.74526,0.725,1.6107,1.0,321.0,122.0,64.0,10.4403,321.0,122.0,64.0,10.4403,False,18.00913620581861
C038,9.38805,7.89035,0.0483171,148.1505,142.6255,0.125,0.292925,0.675,0.706905,1.0,268.0,192.0,65.5,12.2066,268.0,192.0,65.5,12.2066,False,12.312564221732215
C039,8.7453,20.7133,0.0802555,362.2885,224.83,0.15,0.777705,0.6125,1.039205,1.0,197.0,215.0,58.5,10.7703,197.0,215.0,58.5,10.7703,False,8.372705145743621
C040,17.74485,8.57,0.016378649999999998,304.1475,180.608,0.125,0.6971350000000001,0.625,0.9471649999999999,1.0,167.0,136.0,56.5,12.2066,167.0,136.0,56.5,12.2066,False,24.149278423706527
C041,7.981260000000001,8.25079,0.03624865,61.004850000000005,57.78915,0.175,0.12212775,0.875,0.9020025,1.0,69.0,118.0,63.5,10.4403,69.0,118.0,63.5,10.4403,False,10.00132810787019
C042,13.000084999999999,13.676445,0.07239109999999999,212.46439999999998,156.56984999999997,0.175,0.9952213499999999,0.9375,1.054214,1.0,85.0,47.0,65.0,10.4403,85.0,47.0,65.0,10.4403,False,11.103905299316185
C044,12.954975000000001,9.762785,0.02922344,140.25075,68.5227,0.2,0.294806,0.6,0.43519300000000005,1.0,163.0,13.0,64.5,11.1803,163.0,13.0,64.5,11.1803,False,13.071953401518567
C045,8.8259,19.5666,0.0556875,345.3865,342.1965,0.1,0.25783649999999997,0.6125,0.74139,1.0,207.0,159.0,21.0,7.2801100000000005,207.0,159.0,21.0,7.2801100000000005,False,12.955276574453094
C046,12.20185,10.4891,0.029481599999999997,255.97299999999998,180.653,0.125,0.099826,0.3,0.1737555,1.0,192.0,136.0,56.5,10.6301,192.0,136.0,56.5,10.6301,False,19.337108548764142
C047,8.540125,24.34245,0.007112189999999999,220.763,105.92425,0.225,0.0825694,0.6625000000000001,0.2610245,1.0,275.0,158.0,57.0,10.4403,275.0,158.0,57.0,10.4403,False,13.585566523468465
C048,18.744095,9.790055,0.072681,141.909,88.5839,0.225,0.821197,1.075,1.8949905,1.0,309.0,227.0,62.5,17.0294,309.0,227.0,62.5,17.0294,False,7.9635032587754955
C049,10.60825,7.61555,0.0171976,161.575,89.116,0.15,0.709835,0.7,0.81748,1.0,91.0,56.0,61.0,11.7047,91.0,56.0,61.0,11.7047,False,13.110292103852197
C051,13.41775,17.68873,0.03089145,220.581,180.06650000000002,0.175,0.149268,0.775,0.5469305,1.0,187.0,180.0,59.5,11.4018,187.0,180.0,59.5,11.4018,False,8.64456551643502
C052,18.60885,18.16535,0.07042849999999999,676.075,266.048,0.15,0.527085,0.8125,1.34202,1.0,159.0,104.0,60.0,10.8167,159.0,104.0,60.0,10.8167,False,9.026914444788428
C054,18.9659,16.20109,0.047800684999999996,327.558,294.5105,0.15000000000000002,0.0940825,0.475,0.37036,1.0,191.0,185.0,54.0,14.1421,191.0,185.0,54.0,14.1421,False,16.604694884441326
C055,20.778350000000003,25.1477,0.042864921,553.455,499.61300000000006,0.65,6.98305,1.5875,12.67715,1.0,223.0,170.0,58.0,10.4403,223.0,170.0,58.0,10.4403,False,19.06919063640276
C057,9.3368,13.5919,0.071247,253.8095,199.31599999999997,0.15,0.44491049999999993,0.625,1.03693,1.0,294.0,118.0,60.5,11.1803,294.0,118.0,60.5,11.1803,False,12.064542597457764
C058,18.132865,14.3809,0.066355615,288.9015,121.41785000000002,0.3,0.34711154999999994,0.675,0.80122985,1.0,249.0,224.0,64.0,12.7279,249.0,224.0,64.0,12.7279,False,9.302468202838204
C060,12.02245,12.805444999999999,0.033878834999999996,153.8248,95.60795,0.2375,0.67706085,0.9375,1.2145095000000001,1.0,53.0,84.0,64.0,12.53,53.0,84.0,64.0,12.53,False,10.184516429239068
C061,18.5681,24.8436,0.07042849999999999,922.6,434.81699999999995,0.15,0.809685,0.85,0.974815,1.0,188.0,86.0,47.0,9.21954,188.0,86.0,47.0,9.21954,False,9.16873569857652
C062,14.13375,11.96685,0.063058,338.273,299.608,0.2,5.10605,1.05,10.6042,1.0,228.0,137.0,61.0,10.2956,228.0,137.0,61.0,10.2956,False,13.325137137283077
C063,6.006494999999999,15.902335,0.019573649999999998,108.1068,43.885000000000005,0.15,0.060656299999999996,0.9500000000000001,0.6154365,1.0,200.0,244.0,62.0,13.3417,200.0,244.0,62.0,13.3417,False,8.439254862498055
C064,8.94604,21.074279999999998,0.01071269,227.02430000000004,117.06245,0.1625,0.13885229999999998,1.0875,1.9372690000000001,1.0,234.0,170.0,43.0,11.4018,234.0,170.0,43.0,11.4018,True,
C065,10.2558,19.46685,0.0655145,399.296,261.845,0.1875,1.1248049999999998,0.9375,1.06008,1.0,300.0,203.0,63.0,11.1803,300.0,203.0,63.0,11.1803,False,10.604017617639059
C066,6.9919,13.57595,0.08435,189.84349999999998,77.0315,0.1,0.1751385,0.45,0.4501215,1.0,72.0,206.0,62.5,10.6301,72.0,206.0,62.5,10.6301,False,8.634444981967938
C067,7.9913,14.35655,0.0384899,229.455,83.3275,0.125,0.150133,0.475,0.4565715,1.0,316.0,196.0,58.0,11.7047,316.0,196.0,58.0,11.7047,False,9.988340797678935
C070,8.33455,15.089,0.0384899,251.5205,140.5015,0.175,0.32407800000000003,0.675,0.54146,1.0,152.0,121.0,52.5,10.4403,152.0,121.0,52.5,10.4403,False,14.130945064769037
C071,9.09917,24.359205000000003,0.042068184999999994,259.3103,96.555,0.2375,0.34552115,0.8625,0.9322005,1.0,119.0,122.0,57.0,10.4403,119.0,122.0,57.0,10.4403,False,9.404773147520586
C073,10.6142,19.6845,0.03275735,417.8715,425.99050000000005,0.1625,6.15665,0.6875,15.63865,1.0,172.0,128.0,56.0,10.6301,172.0,128.0,56.0,10.6301,False,18.07312830086723
C074,12.40605,11.72205,0.052412,290.849,251.359,0.225,1.285305,0.8375,11.0802,1.0,106.0,115.0,56.0,12.083,106.0,115.0,56.0,12.083,False,12.859865085285259
C076,10.40115,11.30775,0.03030055,235.2275,298.70849999999996,2.8,48.153999999999996,3.625,54.903,1.0,249.0,176.0,59.0,11.4018,249.0,176.0,59.0,11.4018,False,18.7937763648506
C077,14.3415,7.964745,0.060552249999999995,109.35735,78.48765,0.225,0.383571,0.85,1.002146,1.0,263.0,250.0,62.5,13.0384,263.0,250.0,62.5,13.0384,False,7.200339596397527
C078,15.4013,8.3332,0.039308800000000005,256.6845,144.09,0.25,1.025875,1.0,6.4885,1.0,192.0,168.0,58.5,12.0416,192.0,168.0,58.5,12.0416,False,15.2944460509524
