cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,29.2739,18.0667,0.00293234,528.882,436.085,0.5,0.25,0.8,0.75,1.0,47.0,102.0,65.0,12.2066,47.0,102.0,65.0,12.2066,False,11.75819796648514
C001,13.3719,18.9482,0.0117293,253.372,518.784,0.35,0.16488599999999998,1.1,3.2249,1.0,84.0,135.0,61.0,11.7047,84.0,135.0,61.0,11.7047,False,9.446964868909678
C002,6.450069999999999,21.043000000000003,0.0117293,135.72899999999998,273.915,0.35,0.17410499999999998,2.35,0.7518729999999999,1.0,155.0,222.0,64.0,12.083,155.0,222.0,64.0,12.083,False,6.804813862349963
C003,6.74165,32.5852,0.016127799999999998,219.678,870.605,0.25,0.10113,2.3,1.08314,1.0,143.0,206.0,65.0,13.0,143.0,206.0,65.0,13.0,False,9.177529623865766
C004,10.9735,35.2105,0.0102632,386.38199999999995,895.447,0.35,0.128174,1.9,1.15186,1.0,163.0,220.0,66.0,11.4018,163.0,220.0,66.0,11.4018,False,5.926356438280535
C005,33.4354,18.9575,0.023458700000000002,633.851,475.714,0.225,0.192029,1.6,2.40965,1.0,105.0,165.0,63.5,11.6619,105.0,165.0,63.5,11.6619,False,8.776341128147088
C006,6.13871,47.0238,0.0043985,288.666,711.3739999999999,0.35,0.09128710000000001,1.7,1.3530799999999998,1.0,172.0,225.0,63.0,15.0,172.0,225.0,63.0,15.0,False,7.1910697612310654
C007,33.7591,27.9553,0.0117293,943.745,937.255,0.325,0.173205,2.275,1.14455,1.0,98.0,129.0,71.5,11.6619,98.0,129.0,71.5,11.6619,False,8.863180241084015
C008,18.0212,27.3659,0.017594,493.167,390.539,0.35,0.71239,2.075,1.675,1.0,211.0,218.0,67.0,12.53,211.0,218.0,67.0,12.53,False,9.288375217596597
C010,27.5118,41.6973,0.00879701,1147.17,436.719,0.9,0.374722,2.05,1.34598,1.0,140.0,182.0,51.0,11.6619,140.0,182.0,51.0,11.6619,False,8.558491837432124
C011,11.4688,37.3393,0.00879701,428.235,326.139,0.325,0.207666,2.15,1.55094,1.0,206.0,207.0,64.5,11.4018,206.0,207.0,64.5,11.4018,False,9.274107990489375
C012,34.6932,49.7133,0.00586467,1724.72,372.73199999999997,0.55,0.185405,3.975,0.11456400000000001,1.0,194.0,225.0,65.5,12.2066,194.0,225.0,65.5,12.2066,False,6.264617065993585
C013,6.648619999999999,42.3755,0.023458700000000002,281.73900000000003,299.574,0.3,1.39805,1.625,2.60816,1.0,120.0,139.0,65.5,13.0384,120.0,139.0,65.5,13.0384,False,8.696723946976043
C014,13.2603,33.1194,0.0117293,439.17400000000004,294.515,0.35,0.0612372,2.85,0.937917,1.0,77.0,120.0,68.5,10.4403,77.0,120.0,68.5,10.4403,False,6.66623907843265
C015,20.5269,58.2981,0.0043985,1196.68,181.938,0.6,0.14433800000000002,2.9,0.376386,1.0,104.0,145.0,58.0,10.2956,104.0,145.0,58.0,10.2956,False,8.478536625860787
C016,23.5026,41.907,0.024924900000000003,984.921,604.8580000000001,0.4,0.27061999999999997,1.85,1.2998299999999998,1.0,114.0,135.0,58.5,10.0,114.0,135.0,58.5,10.0,False,6.759082337217181
C017,7.035480000000001,39.8919,0.014661700000000001,280.658,320.75,0.425,0.118849,1.4,0.761085,1.0,102.0,123.0,67.5,11.4018,102.0,123.0,67.5,11.4018,False,7.8403298981621905
C018,28.0125,12.6158,0.00879701,353.4,36.7996,0.5,0.0790569,3.675,0.317214,1.0,30.0,167.0,66.0,11.0454,30.0,167.0,66.0,11.0454,False,6.291066717325803
C019,44.0847,8.98432,0.024924900000000003,396.07099999999997,112.95100000000001,0.25,0.05940890000000001,1.7,0.175734,1.0,144.0,259.0,58.5,11.7047,144.0,259.0,58.5,11.7047,False,6.781617163457767
C020,11.1417,44.8446,0.035188,499.644,431.619,0.425,0.217466,1.625,1.16699,1.0,135.0,173.0,57.5,13.4536,135.0,173.0,57.5,13.4536,False,5.719559985582357
C021,19.3226,36.631,0.023458700000000002,707.806,542.326,0.35,0.232177,3.1,1.9297799999999998,1.0,85.0,127.0,69.5,13.0,85.0,127.0,69.5,13.0,False,7.24551624910258
