stim_type,starttime,startframe,nearest_F_frame
auditory,0.0018534275004640222,0,284
auditory,3.952084777178243,226,359
auditory,8.60565418866463,505,452
auditory,13.393003928475082,792,548
auditory_and_visual,16.996688269195147,1008,620
auditory_and_visual,20.7828628992429,1234,696
auditory_and_visual,25.636728525627404,1525,793
auditory_and_visual,29.072692909277976,1731,861
visual,33.5263872082578,1998,950
auditory,37.2124937500339,2219,1024
auditory_and_visual,41.46640818961896,2474,1110
visual,45.05276511562988,2688,1181
auditory_and_visual,49.2226258632727,2938,1264
visual,53.04233794216998,3167,1341
auditory,56.99580533336848,3404,1420
visual,60.982422746368684,3643,1499
auditory,64.15204359707423,3833,1563
auditory_and_visual,68.93863131164107,4120,1659
auditory,73.04209515883122,4366,1741
auditory_and_visual,77.67920918716118,4644,1833
auditory_and_visual,81.66605527186766,4883,1913
auditory,86.48672982456628,5171,2009
visual,90.5732264231192,5416,2091
auditory_and_visual,94.56034864578396,5655,2171
auditory_and_visual,98.78080645750742,5907,2256
visual,102.14964847732335,6108,2323
auditory,106.98674762435257,6398,2419
auditory_and_visual,111.05699666484725,6642,2501
visual,114.14276908291504,6826,2562
auditory,117.74636362260208,7042,2634
auditory,121.29889028472826,7255,2706
auditory,125.31859806599095,7496,2786
auditory_and_visual,129.2718765544705,7733,2865
visual,133.84219118172769,8006,2956
auditory,137.44589027541224,8222,3028
visual,141.14816612016875,8444,3102
visual,145.8355298753595,8665,3196
auditory_and_visual,150.82346383447293,8964,3296
auditory_and_visual,155.09308959217742,9190,3381
auditory,159.8802321483381,9477,3477
visual,163.78357296821196,9711,3555
auditory,167.56996600714047,9938,3631
visual,171.55707989109214,10177,3710
auditory,176.51099436276127,10474,3810
visual,180.0639065274736,10687,3881
visual,183.65005851490423,10902,3952
auditory_and_visual,188.2038619541563,11175,4044
auditory_and_visual,193.22455722512677,11475,4144
auditory,196.4439213895239,11668,4208
auditory,199.51331186876632,11852,4269
auditory_and_visual,204.25071656354703,12136,4364
auditory,209.12174379336648,12428,4462
auditory_and_visual,213.65822655300144,12700,4552
auditory,216.92731414653827,12896,4618
auditory_and_visual,220.08010084647685,13085,4681
visual,224.38393659796566,13343,4767
auditory_and_visual,228.5038221530849,13590,4849
visual,232.7909020088846,13847,4935
visual,237.3275823306758,14119,5026
auditory,240.5635978366481,14313,5090
auditory_and_visual,244.4165994495852,14544,5167
auditory_and_visual,248.75384660775308,14804,5254
visual,251.93946389469784,14994,5318
auditory_and_visual,256.66009537503123,15277,5412
auditory_and_visual,259.8459208077984,15468,5476
auditory_and_visual,263.88268563861493,15710,5557
auditory_and_visual,267.4025237916503,15921,5627
auditory,271.8733505088603,16189,5716
auditory,276.42669788748026,16462,5807
auditory_and_visual,280.0795844909735,16681,5880
visual,283.86605995427817,16908,5956
visual,288.86989637929946,17208,6056
auditory_and_visual,291.9897691056831,17395,6119
auditory_and_visual,296.22674131265376,17648,6204
auditory_and_visual,301.0640729799634,17937,6300
visual,304.21584428765345,18125,6363
visual,309.10331567563117,18418,6461
auditory_and_visual,313.87399515137076,18704,6556
auditory,317.51033913646825,18922,6629
auditory_and_visual,321.0966838753084,19137,6701
auditory,325.6174367151689,19407,6791
visual,329.8877898606006,19663,6876
auditory,334.84137976600323,19960,6975
visual,338.1604755858425,20159,7042
auditory_and_visual,341.8468877716223,20380,7116
visual,345.59998999361414,20605,7191
visual,349.58722029812634,20844,7270
auditory_and_visual,353.8243060390232,21098,7355
visual,357.1595772556029,21297,7422
visual,360.34569935221225,21488,7485
visual,364.49920927057974,21737,7568
visual,367.86856508022174,21939,7636
auditory,371.6049389882246,22163,7711
auditory,375.97499909391627,22425,7798
visual,380.22851167432964,22680,7883
auditory_and_visual,385.14918311603833,22975,7981
auditory,389.33598449267447,23226,8065
visual,394.0732948963996,23510,8160
auditory_and_visual,397.75962273334153,23731,8234
auditory,401.57999677362386,23960,8310
visual,404.6987505159341,24147,8372
visual,408.1517514232546,24354,8441
auditory,411.73809327557683,24569,8513
visual,415.8082172361901,24813,8594
auditory,420.81228201219346,25113,8694
auditory_and_visual,424.01479438634124,25305,8758
auditory,427.3174235977931,25503,8825
auditory_and_visual,430.42031592619605,25689,8887
auditory_and_visual,434.20642865775153,25916,8962
auditory,438.0261526032118,26145,9039
visual,442.9301431971835,26439,9137
visual,447.183718958986,26694,9222
auditory_and_visual,451.2538146963343,26938,9303
visual,456.1411100103287,27230,9401
visual,459.61140850547235,27438,9470
visual,462.8133253068663,27630,9534
auditory,466.1992744082818,27833,9602
visual,471.0032331550028,28121,9698
visual,475.7740813281853,28407,9793
auditory,479.0434331931174,28603,9859
auditory,483.86463340208866,28892,9955
auditory_and_visual,488.2507226570742,29155,10043
visual,491.4368822777178,29346,10107
auditory_and_visual,494.9065095107071,29554,10176
visual,499.66046484175604,29839,10271
auditory_and_visual,503.46421448059846,30067,10347
auditory,507.18319394404534,30289,10421
visual,511.1530692522647,30527,10501
auditory,515.6567534967326,30797,10591
auditory_and_visual,519.7101488226326,31040,10672
auditory,523.2802415132755,31254,10743
visual,527.416600732482,31502,10826
auditory,532.1371565234149,31785,10920
auditory,536.5911381853512,32052,11010
auditory,540.9442342496477,32313,11097
auditory,545.23142763949,32570,11182
auditory,550.1186090987176,32863,11280
visual,554.2052731119329,33108,11362
visual,557.4578078240156,33303,11427
auditory_and_visual,561.5618746205,33549,11509
visual,566.4992111948086,33844,11608
auditory,571.5031707754824,34144,11708
auditory,575.8237511974294,34403,11794
auditory,579.4427347340388,34620,11866
visual,583.3792198029114,34856,11945
visual,587.4826628034934,35102,12027
auditory,590.5018176675076,35283,12088
auditory,593.6377689337824,35471,12150
