stim_type,starttime,startframe,nearest_F_frame
auditory,0.0029487144201993942,0,758
visual,4.137712445110083,238,837
visual,7.207288207486272,422,898
auditory,10.743779281154275,634,969
visual,15.664448447525501,929,1067
visual,19.20034907385707,1141,1138
auditory_and_visual,24.120944153517485,1436,1237
auditory_and_visual,28.308138504624367,1687,1320
auditory_and_visual,33.24528603255749,1983,1419
visual,36.548195170238614,2181,1485
visual,40.568729378283024,2422,1565
auditory,44.23825100250542,2639,1639
auditory_and_visual,47.657440358772874,2844,1707
visual,50.97700200788677,3043,1774
visual,55.44737887009978,3311,1863
visual,59.95152355544269,3581,1953
auditory_and_visual,64.0886805113405,3829,2036
auditory_and_visual,67.39047129452229,4027,2102
auditory,71.79435998015106,4291,2190
auditory,75.7979135774076,4531,2270
visual,80.18493486754596,4794,2358
visual,83.95500755682588,5020,2433
auditory_and_visual,87.80814235471189,5251,2510
auditory,92.36200531944633,5524,2601
auditory,95.69754692725837,5724,2668
auditory_and_visual,98.86699895560741,5914,2731
auditory,102.0201256070286,6103,2794
auditory_and_visual,105.62270074523985,6319,2866
auditory_and_visual,109.02551822178066,6523,2934
auditory_and_visual,112.51242604106665,6732,3004
visual,116.69897285662591,6983,3088
auditory,120.76860474422574,7227,3169
visual,124.62202434428036,7458,3246
auditory_and_visual,128.5084648076445,7691,3324
visual,133.32924520038068,7980,3420
auditory,138.033094631508,8262,3514
visual,141.21977871470153,8453,3578
auditory_and_visual,144.57192697189748,8654,3645
visual,148.82558287866414,8909,3730
visual,153.2291075475514,9173,3818
auditory_and_visual,157.16577816009521,9409,3897
auditory_and_visual,161.2528040688485,9654,3979
auditory,164.53894812241197,9851,4044
auditory_and_visual,169.42660668678582,10144,4142
auditory_and_visual,173.52941146306694,10390,4224
auditory_and_visual,178.0667790696025,10662,4315
visual,181.16934779286385,10848,4377
visual,184.6227472499013,11055,4446
visual,189.2767558861524,11334,4539
auditory,192.945921510458,11554,4612
auditory_and_visual,197.91667104884982,11852,4712
auditory,201.2196901962161,12050,4778
visual,204.87253781966865,12269,4851
auditory,209.1264990530908,12524,4936
visual,212.19527365267277,12708,4997
auditory_and_visual,215.5648091956973,12910,5065
auditory_and_visual,219.7349620014429,13160,5148
auditory,222.88809250108898,13349,5211
auditory_and_visual,226.80737294256687,13584,5289
auditory,230.12679924815893,13783,5356
auditory_and_visual,233.5131210461259,13986,5423
visual,237.1329102795571,14203,5496
auditory,241.4534212667495,14462,5582
auditory_and_visual,246.19018027186394,14746,5677
