cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,13.917,3.83103,0.0422005,53.3163,107.556,0.1,0.05509730000000001,0.3,0.37285100000000004,1.0,167.0,22.0,51.5,9.43398,167.0,22.0,51.5,9.43398,False,15.961487619645748
C001,4.162640000000001,3.1417599999999997,0.027128899999999997,13.078,134.086,0.05,0.104083,0.125,0.42139,1.0,342.0,151.0,68.0,15.8114,342.0,151.0,68.0,15.8114,False,13.532451148597088
C002,7.40688,6.78477,0.00904295,50.254,220.392,0.15,0.151383,0.6,0.42426400000000003,1.0,131.0,171.0,70.0,15.8114,131.0,171.0,70.0,15.8114,False,17.305518587182892
C003,8.436689999999999,8.2774,0.051243399999999995,69.8338,167.954,0.1,0.049259199999999996,0.4,0.258957,1.0,173.0,124.0,68.0,12.6491,173.0,124.0,68.0,12.6491,False,13.657852130046692
C004,6.61874,5.52037,0.0391861,36.5379,89.8255,0.1,0.055470000000000005,0.4,0.792028,1.0,191.0,134.0,59.0,10.8167,191.0,134.0,59.0,10.8167,False,13.30359407342627
C005,13.5475,6.65222,0.0542577,90.1211,152.925,0.1,0.038188099999999996,0.4,0.559265,1.0,175.0,173.0,66.0,11.7047,175.0,173.0,66.0,11.7047,False,17.677190078241136
C006,10.532,3.9864,0.018085900000000002,41.9847,184.076,0.1,0.06922189999999999,0.6,0.525,1.0,150.0,97.0,56.0,10.6301,150.0,97.0,56.0,10.6301,False,16.079896732562485
C008,10.8879,5.15016,0.0542577,56.0742,227.378,0.15,0.054006200000000004,0.4,0.46293199999999995,1.0,252.0,48.0,51.5,10.0499,252.0,48.0,51.5,10.0499,False,15.14203343832649
C009,51.1568,4.31265,0.0195931,220.62099999999998,150.19899999999998,0.15,0.0620174,0.5,0.286558,1.0,220.0,113.0,51.0,9.21954,220.0,113.0,51.0,9.21954,False,14.915897542485204
C011,6.30549,4.75114,0.0979653,29.9583,200.88,0.1,0.0529877,0.3,0.32463000000000003,1.0,228.0,29.0,56.0,11.0454,228.0,29.0,56.0,11.0454,False,13.471602849515033
C012,57.3686,8.659189999999999,0.00150716,496.76599999999996,0.0,0.85,0.0,2.15,0.0,1.0,141.0,191.0,60.0,19.2354,141.0,191.0,60.0,19.2354,False,13.980592903575314
C014,8.3365,8.29945,0.0135644,69.1884,125.319,0.15,0.047140499999999995,0.55,0.41766499999999995,1.0,193.0,197.0,68.0,11.1803,193.0,197.0,68.0,11.1803,False,8.123180523075112
C015,7.00875,5.9953,0.027128899999999997,42.0196,99.8526,0.1,0.0612372,0.45,0.406885,1.0,216.0,99.0,59.0,11.1803,216.0,99.0,59.0,11.1803,False,12.513817408701009
C016,8.83375,4.56947,0.0406933,40.3656,275.154,0.15,0.07136239999999999,0.55,0.8253510000000001,1.0,252.0,70.0,56.0,13.0,252.0,70.0,56.0,13.0,False,12.421817427096846
C018,169.736,4.4605,0.0120573,757.1080000000001,377.6,0.225,0.210654,0.975,0.46368100000000007,1.0,204.0,55.0,54.5,10.8167,204.0,55.0,54.5,10.8167,False,12.450298157760152
C020,90.7492,20.5415,0.00301432,1864.12,608.873,0.675,0.225,3.975,1.175,1.0,264.0,69.0,50.5,11.4018,264.0,69.0,50.5,11.4018,False,9.355725213449709
C024,110.205,14.7534,0.00602864,1625.9,143.987,0.5,0.162019,2.025,0.402337,1.0,192.0,66.0,48.5,11.1803,192.0,66.0,48.5,11.1803,True,
C026,118.742,9.70749,0.0075358000000000005,1152.68,180.747,0.8,0.22248600000000002,2.0,0.479062,1.0,183.0,74.0,43.5,13.1529,183.0,74.0,43.5,13.1529,True,
C027,266.795,7.0708899999999995,0.00602864,1886.48,265.837,0.775,0.292617,2.05,0.29895700000000003,1.0,195.0,65.0,37.5,8.06226,195.0,65.0,37.5,8.06226,False,9.508620759228803
C028,9.22306,5.8616,0.05877919999999999,54.0619,84.969,0.15,0.0518875,0.35,0.334836,1.0,257.0,47.0,31.5,7.6157699999999995,257.0,47.0,31.5,7.6157699999999995,False,12.394073810117531
C029,85.4314,5.33646,0.0135644,455.901,298.08,0.2,0.08333330000000001,1.6,0.7059270000000001,1.0,65.0,151.0,69.5,14.7648,65.0,151.0,69.5,14.7648,False,9.500360176528075
C030,89.8147,12.2239,0.00301432,1097.89,206.81,0.425,0.025,6.975,3.225,1.0,265.0,68.0,10.5,4.4721400000000004,265.0,68.0,10.5,4.4721400000000004,False,8.403654381950924
C032,149.075,10.1409,0.00602864,1511.76,458.11400000000003,1.025,0.38487,2.6,0.55,1.0,177.0,76.0,40.5,8.06226,177.0,76.0,40.5,8.06226,False,8.872408784867453
C033,11.8469,7.74565,0.07385080000000001,91.762,111.444,0.15,0.37890799999999997,0.6,1.10661,1.0,173.0,185.0,62.0,10.7703,173.0,185.0,62.0,10.7703,False,9.488916589747802
C035,5.21246,5.1494599999999995,0.0406933,26.8414,62.6188,0.1,0.167498,0.45,1.0631899999999999,1.0,237.0,23.0,25.0,7.2111,237.0,23.0,25.0,7.2111,False,9.800138755313267
