frame,time,nearest_F_frame,time_since_last_lick,nearest_reward
85,28.41894,508.0,,5.037469999999999
89,28.55242,510.0,0.13348000000000226,4.903989999999997
94,28.71921,514.0,0.16678999999999888,4.737199999999998
224,33.68984,613.0,4.970629999999996,0.23342999999999847
229,33.85656,616.0,0.1667200000000051,0.40015000000000356
237,34.12345,622.0,0.2668899999999965,0.6670400000000001
393,40.07834,741.0,5.954889999999999,4.036820000000006
401,40.39555,747.0,0.3172100000000029,3.719610000000003
507,44.46553,828.0,4.069980000000001,0.35036999999999807
511,44.59901,831.0,0.1334799999999987,0.4838499999999968
514,44.69887,833.0,0.09985999999999962,0.5837099999999964
518,44.83229,836.0,0.13342000000000098,0.7171299999999974
521,44.98244,839.0,0.15014999999999645,0.8672799999999938
524,45.11614,841.0,0.1337000000000046,1.0009799999999984
542,45.78332,855.0,0.6671800000000019,1.6681600000000003
547,45.96684,858.0,0.18351999999999435,1.8516799999999947
606,48.21866,903.0,2.251820000000002,4.103499999999997
612,48.41861,907.0,0.19995000000000118,4.303449999999998
616,48.55207,910.0,0.13345999999999947,4.4369099999999975
621,48.76905,914.0,0.2169799999999995,4.653889999999997
685,51.25423,964.0,2.4851799999999997,7.139069999999997
691,51.45528,968.0,0.20105000000000217,7.188479999999998
700,51.7889,975.0,0.33361999999999625,6.854860000000002
783,55.00738,1039.0,3.2184799999999996,3.6363800000000026
788,55.19093,1043.0,0.18355000000000388,3.4528299999999987
884,58.89395,1117.0,3.703019999999995,0.25018999999999636
887,58.99413,1119.0,0.10018000000000171,0.35036999999999807
890,59.09434,1121.0,0.10021000000000413,0.4505800000000022
894,59.22782,1124.0,0.1334799999999987,0.5840600000000009
898,59.36127,1126.0,0.1334499999999963,0.7175099999999972
901,59.51142,1129.0,0.15015000000000356,0.8676600000000008
919,60.16184,1142.0,0.6504199999999969,1.5180799999999977
922,60.31199,1145.0,0.15015000000000356,1.6682300000000012
928,60.54555,1150.0,0.2335599999999971,1.9017899999999983
967,62.04683,1180.0,1.5012800000000013,3.4030699999999996
977,62.38036,1187.0,0.3335300000000032,3.1357499999999945
1064,65.76667,1254.0,3.3863100000000017,0.2505600000000072
1067,65.86719,1256.0,0.10051999999998884,0.35107999999999606
1071,66.0006,1259.0,0.13341000000001202,0.4844900000000081
1074,66.10076,1261.0,0.10015999999998826,0.5846499999999963
1079,66.28419,1265.0,0.18343000000000131,0.7680799999999977
1081,66.38427,1267.0,0.1000800000000055,0.8681600000000032
1084,66.53404,1270.0,0.14977000000000373,1.0179300000000069
1088,66.66752,1272.0,0.1334799999999916,1.1514099999999985
1092,66.80098,1275.0,0.13345999999999947,1.284869999999998
1097,66.96743,1278.0,0.16644999999999754,1.4513199999999955
1163,69.53631,1330.0,2.568880000000007,4.020200000000003
1167,69.68621,1333.0,0.14990000000000236,4.170100000000005
1178,70.05339,1340.0,0.3671799999999905,4.5372799999999955
1225,71.92163,1377.0,1.8682400000000001,6.405519999999996
1231,72.12164,1381.0,0.20001000000000602,6.605530000000002
1239,72.40527,1387.0,0.28363000000000227,6.889160000000004
1250,72.85551,1396.0,0.45023999999999376,7.339399999999998
1334,76.04211,1460.0,3.1865999999999985,10.525999999999996
1371,77.4761,1488.0,1.4339900000000085,11.959990000000005
1377,77.67646,1492.0,0.20036000000000342,12.160350000000008
1473,81.36299,1566.0,3.6865299999999905,15.846879999999999
1479,81.57945,1571.0,0.21645999999999788,16.063339999999997
1484,81.82971,1576.0,0.2502600000000115,16.313600000000008
