snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
6.324623333333332,6.1218,0.035386966666666665,39.668933333333335,113.13976666666667,0.11666666666666665,0.06767903333333333,0.4166666666666667,0.583574,1.0,178.0,199.0,65.0,13.416400000000001,178.0,199.0,65.0,13.416400000000001,False,20.524443584554916
10.265659999999999,8.046963333333332,0.04001343333333334,81.7747,161.43089999999998,0.13333333333333333,0.23515790000000003,0.6416666666666667,0.8212656666666667,1.0,275.0,210.0,64.5,10.0499,275.0,210.0,64.5,10.0499,False,16.434991623103826
7.900323333333333,4.54098,0.01637261,53.8965,118.447,0.075,0.05674376666666666,0.5083333333333333,0.567181,1.0,251.0,126.0,62.5,10.7703,251.0,126.0,62.5,10.7703,False,16.605493842504906
15.839500000000001,3.619426666666667,0.024141433333333333,86.46856666666667,79.53399999999999,0.125,0.09986166666666667,0.44166666666666665,0.38372633333333334,1.0,278.0,129.0,61.0,12.083,278.0,129.0,61.0,12.083,False,15.603486153050211
9.065686666666666,7.66892,0.017736813333333334,72.43916666666667,57.742533333333334,0.125,0.05506566666666667,0.7333333333333334,0.36708500000000005,1.0,172.0,224.0,63.5,11.1803,172.0,224.0,63.5,11.1803,False,13.886931843592286
9.418956666666666,5.882183333333333,0.045979799999999994,55.167633333333335,90.2953,0.13333333333333333,0.11200423333333333,0.5166666666666667,0.545351,1.0,130.0,223.0,62.0,15.5242,130.0,223.0,62.0,15.5242,False,11.946218221692796
8.822073333333334,7.063963333333334,0.0570483,65.84216666666667,52.93299999999999,0.11666666666666665,0.058509200000000004,0.4666666666666666,0.38326366666666667,1.0,235.0,231.0,65.5,13.341699999999998,235.0,231.0,65.5,13.341699999999998,False,10.152590118697299
7.548819999999999,9.784273333333333,0.08243786666666666,74.89316666666666,92.35913333333333,0.15,0.0977116,0.5666666666666667,0.4029206666666667,1.0,266.0,198.0,63.5,15.0,266.0,198.0,63.5,15.0,False,9.458722931306689
19.566776666666666,8.670013333333335,0.023269300000000003,168.32933333333332,85.77183333333335,0.19166666666666665,0.22871940000000002,0.8416666666666668,0.6536716666666668,1.0,191.0,170.0,69.5,14.0357,191.0,170.0,69.5,14.0357,False,10.88026148673059
12.556366666666667,7.941596666666666,0.047982033333333333,102.27173333333333,102.66466666666666,0.14166666666666666,0.5240993333333334,0.6333333333333333,1.1610943333333335,1.0,239.0,208.0,65.5,11.7047,239.0,208.0,65.5,11.7047,False,8.541618100757134
24.8314,9.561516666666668,0.014618326666666667,248.46866666666665,64.55846666666666,0.2583333333333333,0.1038675,0.8083333333333332,0.5636433333333333,1.0,180.0,175.0,65.5,12.53,180.0,175.0,65.5,12.53,False,12.976501907124357
16.411233333333332,16.325966666666666,0.07064100000000001,246.84199999999998,256.5613333333333,0.20000000000000004,0.776261,0.8583333333333334,1.1857106666666668,1.0,222.0,225.0,63.0,13.341699999999998,222.0,225.0,63.0,13.341699999999998,False,9.356931842492557
13.022833333333333,22.9483,0.0316356,283.957,170.907,0.15,0.13650900000000002,0.7166666666666667,0.398722,1.0,218.0,203.0,68.5,13.0,218.0,203.0,68.5,13.0,False,11.887989353616433
27.371966666666665,8.235503333333334,0.04839247,231.65166666666664,257.3093333333333,0.3,0.36825100000000005,0.9416666666666668,0.6540779999999999,1.0,64.0,72.0,61.5,15.2971,64.0,72.0,61.5,15.2971,True,
26.878600000000002,5.789783333333332,0.050288200000000005,139.47966666666667,84.87293333333332,0.21666666666666667,0.13391630000000002,0.7666666666666666,0.5171126666666667,1.0,165.0,17.0,65.0,11.1803,165.0,17.0,65.0,11.1803,False,8.18397290549558
5.392033333333334,3.5375,0.007902000000000001,57.223000000000006,31.136833333333332,0.08333333333333333,0.03442666666666667,0.3,0.10301033333333333,1.0,292.0,128.0,58.5,11.0454,292.0,128.0,58.5,11.0454,False,12.491745150086057
15.902236666666667,10.410706666666666,0.031772333333333326,168.28026666666665,76.95513333333334,0.2333333333333333,0.09594623333333334,0.875,0.5456933333333334,1.0,214.0,195.0,60.0,10.816700000000003,214.0,195.0,60.0,10.816700000000003,False,8.726573392616208
9.777176666666668,8.690503333333334,0.01782497,83.9184,49.528099999999995,0.16666666666666666,0.11268909999999999,0.6166666666666667,0.3120863333333333,1.0,160.0,213.0,55.0,16.4924,160.0,213.0,55.0,16.4924,False,10.006480387057424
16.171086666666667,11.352996666666668,0.03904213333333333,153.8194,105.32999999999998,0.225,0.29982400000000003,0.8083333333333332,1.1215993333333334,1.0,251.0,202.0,60.0,10.198,251.0,202.0,60.0,10.198,False,7.8151971963656806
30.731133333333332,7.602086666666666,0.048342036666666664,237.21866666666665,130.72333333333333,0.26666666666666666,0.4251513333333334,1.2,1.0573263333333334,1.0,61.0,72.0,55.0,17.0294,61.0,72.0,55.0,17.0294,False,6.326958804640088
10.599056666666668,8.328583333333333,0.03744260666666666,88.43133333333333,60.156600000000005,0.17500000000000002,0.15250526666666667,1.125,0.7254520000000001,1.0,342.0,141.0,67.0,12.083,342.0,141.0,67.0,12.083,False,7.002868256365017
