frame,time
219,33.45641
499,44.11516
879,58.64376
1059,65.51611
2299,112.93905
2808,132.43847
3405,155.24077
5171,222.67992
5705,243.14719
6396,269.4688
7232,301.44626
8485,349.40234
8703,357.70907
9206,376.9582
9964,405.9155
11226,454.18926
12804,514.48927
13387,536.75819
13844,554.18876
14127,565.04799
17167,681.27865
17547,695.82396
17936,710.63602
18985,750.71887
19654,776.25672
20130,794.45526
20734,817.47447
22458,883.42983
22460,883.49641
23250,913.72102
23255,913.88779
25567,1002.37806
25581,1002.84545
26838,1050.90206
28053,1097.35714
28453,1112.63644
28978,1132.68706
29607,1156.75657
30195,1179.22521
30407,1187.38186
30615,1195.30584
31145,1215.60547
32931,1283.89559
33667,1312.01886
34225,1333.33669
34794,1355.0547
35486,1381.5098
36468,1419.05788
38556,1498.74103
38987,1515.25446
39284,1526.61459
39831,1547.5145
41315,1604.26218
41472,1610.26684
43071,1671.41793
43851,1701.20909
44834,1738.82393
45211,1753.26938
46526,1803.56077
47635,1845.87918
48784,1889.91596
51387,1989.39845
51557,1995.85391
52516,2032.43441
52695,2039.30671
53738,2079.0733
54166,2095.52026
55336,2140.20724
55532,2147.69684
56313,2177.57171
56687,2191.90029
57473,2221.87513
58355,2255.61973
59676,2306.11194
60446,2335.61983
60733,2346.54539
61232,2365.64455
62859,2427.67958
63032,2434.33533
63352,2446.59512
64046,2473.06793
64209,2479.33912
64486,2489.89782
64969,2508.41319
67335,2598.82212
67629,2610.08128
67811,2617.00382
69931,2698.0544
70196,2708.11307
70659,2725.8439
71097,2742.57452
71549,2759.8558
72917,2812.16572
73777,2844.97655
74499,2872.54975
74870,2886.76156
75255,2901.42355
76117,2934.38468
76534,2950.34735
76736,2958.0373
77259,2978.07091
78633,3030.64798
79213,3052.8658
81015,3121.77339
82239,3168.54538
83336,3210.4467
83555,3218.82038
83951,3233.96635
85415,3289.94646
85688,3300.42197
86374,3326.66016
86640,3336.8018
87059,3352.81515
87268,3360.85512
87547,3371.49753
88017,3389.44567
88209,3396.80188
90030,3466.34296
90457,3482.62301
90612,3488.5779
91399,3518.70304
91833,3535.26753
93175,3586.57616
94150,3623.87403
