auto_rewarded,change_contrast,change_frame,change_image_category,change_image_name,change_ori,change_time,cumulative_reward_number,cumulative_volume,delta_ori,initial_contrast,initial_image_category,initial_image_name,initial_ori,lick_times,optogenetics,response_latency,response_time,response_type,reward_frames,reward_times,reward_volume,rewarded,scheduled_change_time,startframe,starttime,endframe,endtime,trial_length
,1.0,,,,,,0,0.0,0.0,1.0,,,90.0,"[3.3220297126099467, 3.4559072840493172, 3.6220183591358364, 3.655646668281406]",False,inf,[],[],[],[],0.0,True,4.107212861264717,0,11.340896947309375,99.0,3.7696967732626945,-7.57120017404668
True,1.0,220.0,im061,im061,90.0,8.341583285247907,1,0.005,0.0,1.0,im062,im062,90.0,"[8.59298306168057, 8.626666534226388, 8.759724348783493, 8.792973247589543, 9.026650434127077, 9.05984032060951]",False,,[],[],[219],[8.343318693572655],0.005,True,4.107457248923031,99,3.7880438023712486,319.0,12.109921494498849,8.3218776921276
,1.0,,,,,,1,0.005,0.0,1.0,,,90.0,"[14.982146877562627, 15.015398983610794]",False,inf,[],[],[],[],0.0,True,2.3050725337061255,319,12.128819197416306,399.0,15.162444299086928,3.033625101670623
,1.0,,,,,,1,0.005,0.0,1.0,,,90.0,[15.282892420189455],False,inf,[],[],[],[],0.0,True,2.305074137443601,399,15.180988570209593,419.0,15.929747870191932,0.7487592999823391
True,1.0,500.0,im066,im066,90.0,19.00035182829015,2,0.01,0.0,1.0,im061,im061,90.0,"[19.369002481689677, 19.502122836420313, 19.53575050411746, 19.60225022607483, 19.635621639201418, 19.73611721373163, 19.770114669809118, 19.869861045386642, 20.019230929668993, 20.670711462851614, 20.720459730830044, 20.86995052592829, 20.903575306991115]",False,1.670464189024642,[],[],[499],[19.002038166858256],0.005,True,2.305074137443601,419,15.94801953039132,559.0,21.250815747771412,5.3027962173800915
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[23.121378525625914, 23.15500426874496, 23.32174876309, 23.455088168848306, 23.488491012481973]",False,inf,[],[],[],[],0.0,True,2.4784213890944287,559,21.26941357878968,619.0,23.536032415693626,2.2666188369039446
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[23.657113955821842],False,inf,[],[],[],[],0.0,True,2.478422030542852,619,23.554329733364284,639.0,24.30333406245336,0.7490043290890753
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[26.15765276318416, 26.190901341149583, 26.358395675662905, 26.391644574468955]",False,inf,[],[],[],[],0.0,True,2.4784220303100213,639,24.32151912874542,699.0,26.605295449262485,2.283776320517063
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,[26.676323076477274],False,inf,[],[],[],[],0.0,True,2.4784220303100213,699,26.624185455031693,719.0,27.372548346640542,0.7483628916088492
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[29.894768373807892, 30.09439871343784, 30.12764857453294]",False,inf,[],[],[],[],0.0,True,2.478422030542852,719,27.390912374015898,799.0,30.441747557139024,3.0508351831231266
True,1.0,880.0,im085,im085,90.0,33.52899167989381,3,0.015,0.0,1.0,im066,im066,90.0,"[33.781904286006466, 33.89752591238357, 33.93077481118962, 33.99814592581242, 34.03102150815539, 34.13089328468777, 34.164520310703665, 34.26469805301167, 34.39875779277645, 35.04911292437464, 35.19935997389257, 35.249358081724495, 35.44897430972196, 35.482221925863996]",False,1.520224836654961,[],[],[879],[33.53064722940326],0.005,True,2.4784213890944287,799,30.46043967967853,939.0,35.79617498139851,5.3357353017199785
,1.0,,,,,,3,0.015,0.0,1.0,,,90.0,"[36.949923316249624, 36.983171252766624, 37.28341134288348, 37.316661845194176]",False,inf,[],[],[],[],0.0,True,2.5624915992024384,939,35.815214121481404,979.0,37.33078340650536,1.5155692850239575
True,1.0,1060.0,im063,im063,90.0,40.401658051181585,4,0.02,0.0,1.0,im085,im085,90.0,"[40.65405622450635, 40.77029780019075, 40.80354637815617, 40.90366767393425, 41.003788649104536, 41.03703915141523, 41.17158221406862, 41.27158227819018, 41.32163490797393, 41.4210403598845, 41.47040087915957, 41.57052217493765, 41.704017129028216, 41.73726570699364, 41.87051178351976, 44.4236801948864, 44.589670358924195, 44.62316909758374, 44.956783808069304]",False,4.555221972754225,[],[],[1059],[40.40322700655088],0.005,True,2.5624883921931527,979,37.34897745284252,1179.0,44.970430705696344,7.621453252853826
,1.0,,,,,,4,0.02,0.0,1.0,,,90.0,[44.99141404195689],False,inf,[],[],[],[],0.0,True,4.162201790616031,1179,44.98905002512038,1199.0,45.73771824105643,0.7486682159360498
,1.0,,,,,,4,0.02,0.0,1.0,,,90.0,"[46.82460187608376, 46.85797393065877, 47.02472067018971, 47.057967003202066]",False,inf,[],[],[],[],0.0,True,4.1622053184659435,1199,45.75659349374473,1239.0,47.2723340424709,1.5157405487261713
,1.0,,,,,,4,0.02,0.0,1.0,,,90.0,"[47.293588385917246, 47.75859894719906]",False,inf,[],[],[],[],0.0,True,4.162204997858147,1239,47.29050467652269,1259.0,48.03963889647275,0.749134219950065
,1.0,,,,,,4,0.02,0.0,1.0,,,90.0,"[50.94521484617144, 50.97846374497749]",False,inf,[],[],[],[],0.0,True,4.1622056393065705,1259,48.05786212813109,1339.0,51.09218767937273,3.0343255512416363
,1.0,,,,,,4,0.02,0.0,1.0,,,90.0,"[52.379224746255204, 52.412416557082906, 52.579221987864, 52.61278134235181]",False,inf,[],[],[],[],0.0,True,4.162203715194131,1339,51.11092374008149,1379.0,52.62676114612259,1.5158374060411006
,1.0,,,,,,4,0.02,0.0,1.0,,,90.0,"[56.26566341612488, 56.29928627284244]",False,inf,[],[],[],[],0.0,True,4.162205959914367,1379,52.645098553737625,1479.0,56.446590087609366,3.80149153387174
,1.0,,,,,,4,0.02,0.0,1.0,,,90.0,"[56.46741210226901, 56.5168120698072, 56.71687762462534]",False,inf,[],[],[],[],0.0,True,4.224359331881665,1479,56.4647831718903,1499.0,57.21389077208005,0.7491076001897454
