cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,9.2671,6.0845,0.0389042,56.3857,404.49699999999996,0.1,0.224537,0.475,0.450694,1.0,312.0,80.0,60.5,11.4018,312.0,80.0,60.5,11.4018,False,14.714941772649702
C001,3.41364,7.214580000000001,0.059977300000000004,24.628,74.6945,0.05,0.0318357,0.05,0.206155,1.0,338.0,60.0,65.0,15.6205,338.0,60.0,65.0,15.6205,False,18.482294915571984
C002,11.9613,9.606489999999999,0.00810504,114.906,374.403,0.1,0.05477230000000001,0.15,0.08062260000000002,1.0,283.0,129.0,57.5,9.48683,283.0,129.0,57.5,9.48683,False,21.330985073297764
C003,10.745999999999999,7.99505,0.0713244,85.9147,152.329,0.1,0.136931,0.3,0.301606,1.0,243.0,116.0,61.0,11.4018,243.0,116.0,61.0,11.4018,False,12.263380291878772
C004,6.17868,5.9176,0.0421462,36.563,185.56400000000002,0.1,0.040430400000000005,0.225,0.37191,1.0,348.0,93.0,66.5,14.7648,348.0,93.0,66.5,14.7648,False,12.784001716938224
C005,10.9969,9.542639999999999,0.027557099999999998,104.94,77.3466,0.05,0.0675191,0.45,0.265961,1.0,242.0,233.0,64.0,13.3417,242.0,233.0,64.0,13.3417,False,15.417249158967179
C006,6.34,7.709210000000001,0.0664613,48.8764,92.5595,0.05,0.102112,0.1,0.535451,1.0,190.0,52.0,66.5,13.6015,190.0,52.0,66.5,13.6015,False,12.08458010958049
C007,15.1677,6.52482,0.055114300000000005,98.9664,151.56,0.1,0.12065999999999999,0.325,0.332382,1.0,302.0,110.0,64.0,9.84886,302.0,110.0,64.0,9.84886,False,11.091792250726922
C008,26.6224,12.5457,0.050251300000000006,333.996,275.025,0.15,0.188586,0.6,0.6595449999999999,1.0,255.0,187.0,61.5,11.4018,255.0,187.0,61.5,11.4018,True,
C009,38.4939,9.52755,0.0486302,366.75300000000004,218.726,0.15,0.144626,0.3,0.540602,1.0,257.0,191.0,60.0,12.2066,257.0,191.0,60.0,12.2066,False,11.7799333918274
C010,16.2817,6.52069,0.0486302,106.16799999999999,112.795,0.1,0.048304599999999996,0.325,0.35654600000000003,1.0,353.0,139.0,63.0,11.1803,353.0,139.0,63.0,11.1803,False,10.624459562800986
C011,25.6871,7.53551,0.050251300000000006,193.565,111.28399999999999,0.1,0.251447,0.45,0.372762,1.0,244.0,23.0,66.0,11.4018,244.0,23.0,66.0,11.4018,False,10.873223699319919
C012,12.4342,6.599239999999999,0.050251300000000006,82.0565,112.288,0.1,0.118798,0.3,0.615591,1.0,276.0,166.0,61.5,10.7703,276.0,166.0,61.5,10.7703,False,10.66337258716822
C013,10.1489,8.3401,0.0713244,84.6425,101.714,0.1,0.167874,0.325,0.479761,1.0,263.0,248.0,70.5,13.9284,263.0,248.0,70.5,13.9284,False,9.39064418834471
C014,4.5323199999999995,9.72614,0.0810504,44.0819,40.0734,0.05,0.0244949,0.1,0.405463,1.0,260.0,169.0,64.0,11.4018,260.0,169.0,64.0,11.4018,False,11.180089541428202
C015,11.6685,7.456169999999999,0.0680823,87.00200000000001,111.505,0.1,0.0626783,0.425,0.628135,1.0,243.0,177.0,68.5,11.4018,243.0,177.0,68.5,11.4018,False,9.157935503822092
C016,18.1306,9.14104,0.11671300000000001,165.733,255.287,0.1,0.07839539999999999,0.3,0.396731,1.0,242.0,220.0,65.0,10.0499,242.0,220.0,65.0,10.0499,False,8.826823641040477
C017,36.8052,9.20469,0.0875344,338.781,241.09400000000002,0.1,0.120377,0.55,0.6019260000000001,1.0,293.0,46.0,63.0,14.2127,293.0,46.0,63.0,14.2127,False,7.410306927647472
C020,4.29435,11.0448,0.12805999999999998,47.4301,34.7153,0.05,0.0503155,0.05,0.101881,1.0,324.0,110.0,60.5,13.0,324.0,110.0,60.5,13.0,False,6.722672232290461
C022,3.56489,15.8063,0.00162101,56.3478,0.0,0.05,0.0,0.05,0.0,1.0,122.0,190.0,53.5,12.8062,122.0,190.0,53.5,12.8062,False,6.285755892469046
