cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,6.93962,7.967280000000001,0.05991900000000001,55.2899,259.596,0.05,0.0457667,0.15,0.13656,1.0,120.0,150.0,63.5,10.198,120.0,150.0,63.5,10.198,False,12.448546119032514
C001,5.0519099999999995,7.62333,0.038866399999999995,38.5124,262.529,0.1,0.0699702,0.125,0.579331,1.0,228.0,99.0,68.0,12.8062,228.0,99.0,68.0,12.8062,False,13.040008473813971
C002,11.5658,6.606089999999999,0.037247,76.4049,228.735,0.05,0.0390095,0.25,0.582442,1.0,157.0,90.0,69.5,12.2066,157.0,90.0,69.5,12.2066,False,18.159170457716087
C003,18.5162,9.70988,0.022672099999999997,179.79,388.086,0.125,0.724014,0.725,0.574379,1.0,110.0,101.0,63.5,15.2315,110.0,101.0,63.5,15.2315,False,13.389967579034202
C004,3.86864,10.3911,0.022672099999999997,40.1993,156.878,0.05,0.10350999999999999,0.075,0.374046,1.0,145.0,123.0,67.0,12.3693,145.0,123.0,67.0,12.3693,False,21.295925674973276
C006,4.6753800000000005,9.50082,0.0356275,44.42,163.819,0.05,0.0977008,0.325,0.592136,1.0,131.0,175.0,57.5,10.0499,131.0,175.0,57.5,10.0499,False,18.477917925275705
C007,9.03785,10.4477,0.0242915,94.4246,88.0461,0.1,0.053229099999999994,0.1,0.251992,1.0,168.0,137.0,58.0,11.7047,168.0,137.0,58.0,11.7047,False,15.694992378211445
C008,7.8559399999999995,7.93663,0.046963599999999994,62.3496,233.09799999999998,0.1,0.0359597,0.15,0.21893200000000002,1.0,91.0,133.0,66.0,11.1803,91.0,133.0,66.0,11.1803,False,15.998851967944702
C009,4.6546199999999995,7.9893600000000005,0.0307692,37.1874,170.06799999999998,0.1,0.039736,0.1,0.171295,1.0,124.0,107.0,61.0,13.0384,124.0,107.0,61.0,13.0384,False,18.020801416300117
C010,4.11658,8.55001,0.051821900000000004,35.1968,45.4885,0.05,0.0342327,0.05,0.127782,1.0,234.0,95.0,64.0,13.0384,234.0,95.0,64.0,13.0384,False,19.814164160275467
C011,3.47569,9.5419,0.048583,33.1647,8.31122,0.05,0.037638599999999994,0.05,0.024152299999999998,1.0,81.0,186.0,64.0,10.198,81.0,186.0,64.0,10.198,False,16.004684891104148
C012,10.839,6.49846,0.027530400000000003,70.4367,311.79200000000003,0.15,0.297786,0.85,1.31132,1.0,258.0,71.0,65.0,11.6619,258.0,71.0,65.0,11.6619,False,13.377736867485147
C013,4.49709,10.5252,0.048583,47.3328,47.7765,0.05,0.037638599999999994,0.05,0.192354,1.0,158.0,107.0,52.0,9.48683,158.0,107.0,52.0,9.48683,False,7.4129100574570845
C014,9.86395,8.70669,0.0696356,85.8823,90.1167,0.1,0.0494152,0.15,0.41707700000000003,1.0,241.0,114.0,68.0,12.2066,241.0,114.0,68.0,12.2066,False,13.340972904862099
C015,6.63094,9.46749,0.0404858,62.7784,81.1122,0.05,0.15,0.1,0.28775,1.0,99.0,119.0,66.0,11.4018,99.0,119.0,66.0,11.4018,False,10.570623935957034
C016,5.49907,9.07587,0.0550607,49.9088,117.772,0.05,0.05940890000000001,0.1,0.35799699999999995,1.0,123.0,126.0,58.0,12.1655,123.0,126.0,58.0,12.1655,False,13.18288438641335
C017,12.1787,9.65247,0.0680162,117.554,238.412,0.05,0.0876275,0.275,0.255243,1.0,106.0,124.0,58.0,10.8167,106.0,124.0,58.0,10.8167,False,11.878048616277152
C018,3.9235800000000003,9.69864,0.0809717,38.0533,34.0909,0.05,0.0331662,0.05,0.051478199999999995,1.0,30.0,146.0,63.5,13.3417,30.0,146.0,63.5,13.3417,False,8.739153768602625
C019,9.11099,7.38364,0.07773279999999999,67.2722,107.39399999999999,0.1,0.0401819,0.3,0.319912,1.0,237.0,87.0,62.5,14.8661,237.0,87.0,62.5,14.8661,False,9.471878338358932
C020,4.6750300000000005,9.76523,0.0404858,45.6528,103.48700000000001,0.05,0.137477,0.15,0.36551300000000003,1.0,195.0,116.0,67.0,10.4403,195.0,116.0,67.0,10.4403,False,13.043873209785449
C021,9.47233,9.13915,0.053441300000000004,86.569,202.648,0.1,0.07784989999999999,0.15,0.357919,1.0,252.0,148.0,67.5,12.6491,252.0,148.0,67.5,12.6491,False,10.81682925665971
C022,8.17912,8.7853,0.07773279999999999,71.85600000000001,51.8341,0.1,0.184419,0.15,0.205015,1.0,86.0,115.0,64.0,11.4018,86.0,115.0,64.0,11.4018,False,9.001794665283557
C024,15.4283,10.4398,0.0696356,161.069,123.805,0.1,0.156822,0.15,0.44112700000000005,1.0,121.0,141.0,63.5,12.2066,121.0,141.0,63.5,12.2066,False,10.833469970532885
C025,9.07823,7.09208,0.14089100000000002,64.3835,57.0297,0.05,0.09128710000000001,0.15,0.34620300000000004,1.0,277.0,189.0,60.5,16.1245,277.0,189.0,60.5,16.1245,False,8.691569002288166
C027,5.65303,11.8264,0.0242915,66.8548,137.88299999999998,0.1,0.471699,0.3,1.65861,1.0,53.0,172.0,63.5,12.1655,53.0,172.0,63.5,12.1655,False,9.522542508605579
C028,4.4598,9.97495,0.037247,44.4862,42.9012,0.05,0.0375905,0.1,0.109346,1.0,58.0,104.0,65.5,13.0384,58.0,104.0,65.5,13.0384,False,11.445436385048001
C029,16.7663,13.5803,0.11498,227.69099999999997,219.00099999999998,0.1,0.23165100000000002,0.4,0.36833299999999997,1.0,185.0,145.0,64.5,10.2956,185.0,145.0,64.5,10.2956,False,8.619470570445484
C030,6.0692900000000005,7.87397,0.0712551,47.7894,126.807,0.1,0.0445941,0.2,0.499943,1.0,276.0,92.0,64.5,11.7047,276.0,92.0,64.5,11.7047,False,9.207352466585744
C032,4.81617,9.65249,0.0680162,46.488,58.9564,0.05,0.0345033,0.125,0.191252,1.0,152.0,147.0,69.0,12.3693,152.0,147.0,69.0,12.3693,False,10.06513784250727
C033,9.36068,7.463589999999999,0.05991900000000001,69.8643,78.7725,0.1,0.0748873,0.2,0.214192,1.0,233.0,71.0,63.0,14.3178,233.0,71.0,63.0,14.3178,False,8.405153870466886
C034,18.3466,9.53576,0.046963599999999994,174.94799999999998,88.1286,0.2,0.781135,1.05,1.32613,1.0,116.0,132.0,67.5,10.4403,116.0,132.0,67.5,10.4403,False,7.344144079945551
C035,8.43643,11.0385,0.025910900000000004,93.1252,80.5294,0.05,0.0625,0.3,0.2625,1.0,191.0,160.0,63.5,10.6301,191.0,160.0,63.5,10.6301,False,13.376461951850873
C036,25.0567,8.6111,0.139271,215.766,156.25799999999998,0.1,0.376798,0.375,0.685767,1.0,254.0,106.0,71.0,12.083,254.0,106.0,71.0,12.083,False,7.491753126046534
C038,17.3944,15.8325,0.0550607,275.397,135.964,0.2,0.386158,1.025,1.57794,1.0,174.0,124.0,62.0,10.8167,174.0,124.0,62.0,10.8167,False,6.913097996216076
C039,12.3523,8.62695,0.061538499999999996,106.56299999999999,68.4011,0.1,0.14327,0.4,0.49689799999999995,1.0,219.0,95.0,68.5,13.6015,219.0,95.0,68.5,13.6015,False,7.911607141998396
C040,19.5094,7.87874,0.09392710000000001,153.71,80.3379,0.175,0.592791,0.8,1.7631599999999998,1.0,168.0,202.0,66.5,10.4403,168.0,202.0,66.5,10.4403,False,6.920104527504721
C041,4.01979,9.837069999999999,0.0663968,39.543,48.6987,0.05,0.024693200000000002,0.05,0.0910642,1.0,286.0,150.0,71.0,13.6015,286.0,150.0,71.0,13.6015,False,8.691945147173822
C042,10.0861,8.29352,0.0874494,83.6495,77.3685,0.1,0.039086800000000005,0.25,0.216346,1.0,230.0,56.0,67.5,15.6525,230.0,56.0,67.5,15.6525,False,8.226514542012097
C043,8.1375,9.400739999999999,0.08421050000000001,76.4985,52.3454,0.1,0.31729,0.35,0.738925,1.0,79.0,149.0,59.0,11.4018,79.0,149.0,59.0,11.4018,False,7.0752018646877195
C044,13.4626,9.8796,0.11983800000000001,133.005,84.4767,0.1,0.113304,0.25,0.38096599999999997,1.0,106.0,150.0,63.5,12.53,106.0,150.0,63.5,12.53,False,6.441740441746534
C045,24.4788,13.1222,0.10526300000000001,321.216,183.614,0.15,0.059807400000000004,0.3,0.25600500000000004,1.0,206.0,98.0,69.0,11.6619,206.0,98.0,69.0,11.6619,False,6.069399719506327
C046,4.5403400000000005,10.3068,0.0680162,46.7966,54.7503,0.05,0.036187300000000006,0.05,0.115212,1.0,99.0,48.0,69.5,16.1245,99.0,48.0,69.5,16.1245,False,6.868087860184229
C047,5.25263,12.6339,0.042105300000000005,66.361,45.3125,0.075,0.03466880000000001,0.1,0.233699,1.0,169.0,142.0,62.5,11.7047,169.0,142.0,62.5,11.7047,False,10.463836475369007
C049,4.348319999999999,13.3951,0.051821900000000004,58.2461,60.711000000000006,0.05,0.0515388,0.05,0.131101,1.0,91.0,169.0,63.0,10.8167,91.0,169.0,63.0,10.8167,False,5.036004910574628
C052,7.954289999999999,14.0943,0.0307692,112.11,58.0584,0.05,0.0413585,0.15,0.16383599999999998,1.0,177.0,103.0,63.5,13.6015,177.0,103.0,63.5,13.6015,False,9.075953292259419
C054,5.2038,11.2589,0.0728745,58.5888,35.8567,0.05,0.046547500000000006,0.1,0.24358400000000002,1.0,269.0,114.0,72.0,16.1555,269.0,114.0,72.0,16.1555,False,8.543096836000952
C055,9.80038,9.4674,0.0809717,92.7841,35.6953,0.125,0.22231700000000001,0.425,0.921697,1.0,203.0,56.0,64.5,15.2643,203.0,56.0,64.5,15.2643,False,5.6491831554483865
C056,13.860999999999999,13.9002,0.312551,192.671,152.99,0.1,0.24261100000000002,0.3,0.772981,1.0,215.0,144.0,65.0,11.4018,215.0,144.0,65.0,11.4018,False,5.102573218411653
C057,9.54611,22.7046,0.17165999999999998,216.74,131.914,0.1,0.11159200000000001,0.3,0.350135,1.0,172.0,117.0,67.0,12.2066,172.0,117.0,67.0,12.2066,False,5.220725652362848
C058,4.39636,11.3214,0.051821900000000004,49.773,35.6073,0.05,0.0385276,0.05,0.127782,1.0,72.0,109.0,64.0,12.2066,72.0,109.0,64.0,12.2066,False,7.733269046551194
C059,4.45236,11.2992,0.0582996,50.3079,57.9667,0.05,0.05204169999999999,0.05,0.11725999999999999,1.0,115.0,189.0,61.5,12.3693,115.0,189.0,61.5,12.3693,False,7.896905146461353
C060,11.1066,14.0375,0.17813800000000002,155.908,75.5889,0.1,0.08931560000000001,0.3,0.192354,1.0,129.0,145.0,60.0,10.8167,129.0,145.0,60.0,10.8167,False,4.584872882548661
C062,6.3715,12.2352,0.051821900000000004,77.9566,45.4013,0.1,0.05,0.15,0.165831,1.0,273.0,85.0,70.5,11.7047,273.0,85.0,70.5,11.7047,False,6.553438419532246
C063,9.5198,17.2243,0.15870399999999998,163.972,67.2551,0.1,0.106904,0.2,0.379581,1.0,181.0,125.0,61.0,12.0416,181.0,125.0,61.0,12.0416,False,4.2162712425227795
