cell_id
C000
C001
C002
C003
C004
C006
C007
C008
C010
C011
C012
C013
C015
C016
C017
C019
C020
C021
C022
C023
C025
C026
C027
C028
C029
C031
C033
C034
C035
C040
C045
C047
C049
C050
C052
C054
C055
C059
C062
C064
C065
C066
C067
C068
C071
C072
C076
C078
C079
C080
C081
C083
C084
C087
C089
C090
C091
C092
C098
C099
C104
C105
C107
C111
C114
C116
C118
C121
C125
C128
C131
C132
C133
C135
C138
C143
C144
C146
C148
C155
C161
C162
C163
C168
C170
C172
C173
