cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,34.55335,12.15185,0.08815551,405.906,863.1462,0.625,2.342739,1.1,1.061854,1.0,259.0,79.0,30.0,8.544,259.0,79.0,30.0,8.544,False,27.86378041571707
C001,18.6408,32.131995,0.006055555000000001,772.9399,441.38849999999996,0.44999999999999996,1.0355930999999998,0.5375000000000001,0.46880449999999996,1.0,185.0,88.0,32.5,13.0384,185.0,88.0,32.5,13.0384,False,28.222127331715747
C002,9.78056,9.830630000000001,0.028815265000000003,104.5711,188.15599999999998,0.175,0.9324049999999999,0.6625000000000001,1.186635,1.0,180.0,90.0,27.0,8.06226,180.0,90.0,27.0,8.06226,False,19.72105844596528
C003,14.240195,10.3884,0.10144619999999999,148.67175,499.422,0.22499999999999998,1.8574615,0.9750000000000001,1.7700925,1.0,262.0,83.0,31.5,7.6157699999999995,262.0,83.0,31.5,7.6157699999999995,False,17.030087512405167
C004,16.124000000000002,12.07905,0.00549705,389.5255,370.87050000000005,0.7625,2.78191,1.65,1.2741799999999999,1.0,189.0,94.0,34.5,12.0416,189.0,94.0,34.5,12.0416,False,23.09633844519229
C005,15.22035,6.06775,0.014567250000000002,184.707,394.1285,0.35,3.4116150000000003,1.6,2.5862849999999997,1.0,184.0,96.0,39.5,8.544,184.0,96.0,39.5,8.544,True,
C006,53.590199999999996,22.296499999999998,0.08796930000000001,1426.2075,676.9524,0.8624999999999999,1.2092175,1.3375,1.059033,1.0,263.0,80.0,22.5,7.6157699999999995,263.0,80.0,22.5,7.6157699999999995,False,18.406617142606983
C007,21.160050000000002,28.051450000000003,0.016836745,718.4630000000001,393.095,0.6,2.26509535,2.7249999999999996,3.280335,1.0,157.0,159.0,51.0,10.2956,157.0,159.0,51.0,10.2956,False,18.336946698455762
C008,7.01831,13.37078,0.023814285,97.1609,258.59255,0.1375,0.07322334999999999,0.5375000000000001,0.3450525,1.0,298.0,61.0,52.5,10.198,298.0,61.0,52.5,10.198,False,6.57189028010987
C010,5.01185,10.45095,0.003573095,104.757,593.06,0.125,0.074679,0.575,1.006615,1.0,246.0,67.0,41.0,10.2956,246.0,67.0,41.0,10.2956,False,18.33565161404419
C011,17.196335,5.848,0.0150989035,120.64450000000001,276.6375,0.2,0.19851400000000002,1.15,0.4564235,1.0,170.0,7.0,47.5,9.48683,170.0,7.0,47.5,9.48683,False,24.59574597843722
C012,35.5149,9.20385,0.01404385,653.745,240.0025,0.125,0.01666665,0.525,0.44091899999999995,1.0,283.0,18.0,44.0,11.7047,283.0,18.0,44.0,11.7047,False,13.829563357612678
