cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,8.251225,8.884055,0.024810835,74.83865,114.37805,0.125,0.05106255000000001,0.48750000000000004,0.384637,1.0,279.0,198.0,68.5,10.198,279.0,198.0,68.5,10.198,False,7.539224015645257
C001,6.01575,4.29861,0.0484927,51.718500000000006,103.743,0.0875,0.12217650000000001,0.325,0.570525,1.0,262.0,105.0,62.5,11.4018,262.0,105.0,62.5,11.4018,False,21.151773004852995
C002,7.5575,2.521675,0.01131495,38.1152,102.694,0.1,0.2136,0.4125,0.56075,1.0,253.0,40.0,57.0,10.6301,253.0,40.0,57.0,10.6301,False,26.4311729800359
C003,11.270624999999999,8.494565,0.051600549999999995,91.989,207.1885,0.175,0.5482454999999999,0.6125,1.4863650000000002,1.0,250.0,194.0,67.0,10.8167,250.0,194.0,67.0,10.8167,False,13.259876245137892
C004,14.556705000000001,5.781405,0.04048755,94.277,91.41665,0.15000000000000002,0.4019743,0.5625,0.49573999999999996,1.0,233.0,207.0,67.5,11.1803,233.0,207.0,67.5,11.1803,False,13.906305923952017
C005,5.2725,5.05535,0.02586275,53.309,71.3505,0.075,0.04614005,0.5625,0.47893100000000005,1.0,254.0,205.0,67.5,10.4403,254.0,205.0,67.5,10.4403,False,11.0385797713686
C006,12.52665,7.955204999999999,0.02585,99.6507,153.674,0.175,0.5622309999999999,0.625,1.33563,1.0,230.0,236.0,67.5,11.1803,230.0,236.0,67.5,11.1803,False,12.715783187175711
C007,9.026465,10.87647,0.0260392,100.96289999999999,88.63415,0.2,0.1764297,0.65,0.68831,1.0,221.0,215.0,60.0,9.84886,221.0,215.0,60.0,9.84886,False,10.328461089098735
C008,7.573265,9.400459999999999,0.025397721,72.3126,60.2935,0.175,0.076596,0.6499999999999999,0.2896745,1.0,198.0,223.0,58.5,15.0333,198.0,223.0,58.5,15.0333,False,14.448169191932484
C009,8.41342,8.751290000000001,0.02733489,81.28134999999999,84.63565,0.2,0.09005545,0.5875,0.516973,1.0,217.0,232.0,60.0,18.1108,217.0,232.0,60.0,18.1108,False,14.52406674210427
C010,10.859210000000001,9.33482,0.030102709999999998,102.38475,139.4683,0.2125,0.866844,0.6625,1.028845,1.0,218.0,205.0,64.5,10.8167,218.0,205.0,64.5,10.8167,False,16.54732275544261
C011,11.937850000000001,7.908165,0.006000671,94.6705,5.90905,0.175,0.054280999999999996,0.7,0.24256799999999998,1.0,311.0,166.0,63.0,10.2956,311.0,166.0,63.0,10.2956,False,12.767230856857696
C012,8.755175,5.003640000000001,0.04626385,43.8578,61.807100000000005,0.1125,0.1767245,0.525,0.9281250000000001,1.0,319.0,184.0,68.0,12.083,319.0,184.0,68.0,12.083,False,8.986896533398143
C014,7.1374,2.832345,0.015356,40.4313,40.84755,0.075,0.062038,0.325,0.3558255,1.0,240.0,245.0,61.5,11.7047,240.0,245.0,61.5,11.7047,False,10.66110367134294
C015,9.1065,10.276980000000002,0.0357377,96.4724,83.00125,0.175,0.144966,0.525,0.6903525,1.0,249.0,187.0,63.5,11.4018,249.0,187.0,63.5,11.4018,False,8.343839321612226
C016,5.56085,4.6896,0.02586275,52.156499999999994,74.1705,0.075,0.053946,0.4375,0.257997,1.0,234.0,218.0,69.0,11.4018,234.0,218.0,69.0,11.4018,False,10.75829186953492
C017,5.58745,10.2925,0.047684500000000005,115.0185,101.62950000000001,0.1,0.10686199999999998,0.3,0.21508249999999998,1.0,177.0,179.0,64.0,12.0416,177.0,179.0,64.0,12.0416,True,
C018,10.08595,5.01135,0.07839650000000001,101.08850000000001,84.208,0.125,0.2782955,0.425,0.6254649999999999,1.0,165.0,230.0,63.0,10.7703,165.0,230.0,63.0,10.7703,False,9.05317688810604
C019,9.562085,8.110945,0.044086024999999994,76.1692,45.64305,0.125,0.08493575,0.5125,0.6436985,1.0,129.0,203.0,67.0,10.8167,129.0,203.0,67.0,10.8167,False,9.857435032554683
C020,11.2681,11.073030000000001,0.06165505,125.9028,98.2429,0.175,0.2998255,0.5,0.6053855,1.0,184.0,191.0,62.5,10.7703,184.0,191.0,62.5,10.7703,False,9.661348645156666
C021,11.42245,6.568695,0.020923749999999998,75.0455,62.5603,0.15,0.09984065,0.5875,0.5155745,1.0,164.0,216.0,63.5,14.3178,164.0,216.0,63.5,14.3178,False,11.948589063020048
C022,18.34599,7.500660000000001,0.018178350000000003,128.8958,93.7424,0.2,0.3738485,0.7875000000000001,1.124078,1.0,144.0,206.0,68.0,16.7631,144.0,206.0,68.0,16.7631,False,13.572994439391405
C023,8.27385,5.6413,0.043643400000000006,93.351,49.76955,0.125,0.46350600000000003,0.4875,0.989925,1.0,153.0,194.0,65.0,12.083,153.0,194.0,65.0,12.083,False,8.994095536344828
C024,13.0101,13.50195,0.04622205,173.93349999999998,120.99849999999999,0.2,0.5425595,0.9750000000000001,1.4590975,1.0,152.0,199.0,62.0,14.5602,152.0,199.0,62.0,14.5602,False,8.892794228041048
C025,5.8563,8.2474,0.01131495,96.598,62.4195,0.0875,0.0488712,0.4125,0.19792449999999998,1.0,177.0,191.0,67.0,11.1803,177.0,191.0,67.0,11.1803,False,10.980045630484913
C026,5.2556,4.906280000000001,0.026670999999999997,51.571000000000005,44.27605,0.1,0.102155,0.375,0.785075,1.0,228.0,201.0,65.5,10.7703,228.0,201.0,65.5,10.7703,False,7.224464878433947
C027,7.843415,7.302695,0.03887115,65.52345,29.09084,0.125,0.060370150000000004,0.4625,0.5726475,1.0,234.0,159.0,64.5,10.4403,234.0,159.0,64.5,10.4403,False,9.994518431789704
C028,9.72745,3.74645,0.02424635,72.8865,30.31065,0.125,0.2216885,0.6,0.76642,1.0,317.0,194.0,71.5,11.1803,317.0,194.0,71.5,11.1803,False,13.109934919386202
C029,7.56315,6.4613,0.0339449,97.73549999999999,87.61049999999999,0.125,0.308896,0.4,0.61457,1.0,249.0,181.0,64.5,14.0357,249.0,181.0,64.5,14.0357,True,
C031,27.400199999999998,9.21363,0.022973071,172.86599999999999,52.99100000000001,0.15,0.10447550000000001,0.6499999999999999,0.433708,1.0,199.0,194.0,67.0,11.1803,199.0,194.0,67.0,11.1803,False,10.226902087114896
C032,14.84375,6.378134999999999,0.05327465000000001,81.0817,62.72765,0.175,0.167073,0.7,0.7233430000000001,1.0,196.0,245.0,65.5,13.3417,196.0,245.0,65.5,13.3417,False,8.117197135947034
C033,12.55255,7.86506,0.014281629999999998,98.98575,73.3203,0.175,0.20175375,0.75,1.699725,1.0,163.0,206.0,66.0,10.2956,163.0,206.0,66.0,10.2956,False,16.16119061426941
C034,23.97955,10.699365,0.056209024999999996,233.805,188.6805,0.2375,0.4941805,0.925,1.18289,1.0,215.0,187.0,66.5,10.4403,215.0,187.0,66.5,10.4403,False,14.372460828369574
C035,5.882000000000001,4.20378,0.0339449,49.4532,35.43365,0.1,0.0400892,0.425,0.43395649999999997,1.0,66.0,51.0,66.5,11.1803,66.0,51.0,66.5,11.1803,False,9.784861730409848
C036,13.118695,9.494565000000001,0.01151381,127.06315000000001,58.82885,0.1875,0.12008094999999999,0.65,0.5661435,1.0,242.0,224.0,62.5,12.1655,242.0,224.0,62.5,12.1655,False,10.870538999960267
C037,11.614740000000001,6.26566,0.020182845,78.021,38.063,0.2,0.206617,0.7749999999999999,0.7881365,1.0,263.0,235.0,71.0,12.083,263.0,235.0,71.0,12.083,False,9.51673331047922
C038,9.22575,11.248475,0.01361774,110.3705,47.176325,0.15000000000000002,0.360643,1.0625,0.729155,1.0,196.0,161.0,63.0,10.4403,196.0,161.0,63.0,10.4403,False,12.140450115337037
C039,5.64415,7.4653,0.01131495,84.2705,57.4655,0.1125,0.134214,0.425,0.24937399999999998,1.0,162.0,197.0,60.0,12.53,162.0,197.0,60.0,12.53,False,9.054955859289468
C040,6.1801,7.25935,0.030712049999999998,89.7265,60.784,0.125,0.231663,0.575,0.48439449999999995,1.0,204.0,166.0,66.0,12.3693,204.0,166.0,66.0,12.3693,False,10.710242610629573
C041,6.1715,4.799885,0.0282874,59.245,40.4894,0.1,0.0882365,0.575,0.5544600000000001,1.0,204.0,209.0,63.5,12.1655,204.0,209.0,63.5,12.1655,False,8.252088868215104
C042,19.9312,11.11196,0.017315621,249.77145000000002,72.3635,0.22499999999999998,0.1145645,0.875,0.261691,1.0,222.0,193.0,69.5,12.1655,222.0,193.0,69.5,12.1655,False,10.85084875343638
C043,6.08825,5.69485,0.007273899999999999,69.3435,102.20299999999999,0.1,0.21698699999999999,0.375,0.278762,1.0,281.0,142.0,68.5,11.1803,281.0,142.0,68.5,11.1803,False,9.97531785504204
C044,12.721395000000001,14.195799999999998,0.0470527,193.19,177.50549999999998,0.275,0.607305,1.1,1.1333335,1.0,250.0,176.0,59.0,10.0,250.0,176.0,59.0,10.0,False,9.126261808861226
C046,5.62925,4.723615000000001,0.0363695,53.181000000000004,44.33805,0.1,0.11925699999999999,0.4,0.438938,1.0,261.0,202.0,63.0,10.2956,261.0,202.0,63.0,10.2956,False,9.523486305531637
C047,8.460115,9.606020000000001,0.04921115,80.7466,41.5385,0.175,0.1925085,0.7625,1.1653575,1.0,145.0,199.0,57.5,14.3178,145.0,199.0,57.5,14.3178,True,
C048,12.18465,4.284975,0.05282895,53.07485,37.64885,0.2,0.44009450000000006,0.875,2.17373,1.0,30.0,52.0,64.5,12.3693,30.0,52.0,64.5,12.3693,False,6.417846356522881
C050,15.85315,4.04395,0.046068050000000006,128.2185,43.6793,0.225,0.8843200000000001,1.05,0.84691,1.0,284.0,224.0,64.0,14.7648,284.0,224.0,64.0,14.7648,False,9.422202737719136
