cell_id
C001
C002
C003
C005
C007
C008
C009
C010
C011
C013
C014
C016
C017
C018
C019
C020
C021
C022
C024
C025
C026
C027
C028
C029
C030
C033
C034
C037
C038
C040
C043
C044
C045
C046
C047
C048
C049
C050
C051
C052
C053
C054
C055
C057
C058
C059
C060
C061
C062
C064
C067
C068
C069
C070
C071
C072
C073
C074
C075
C076
C077
C078
C079
C080
C081
C082
C083
C085
C086
C087
C088
C092
C093
C094
C096
C098
C099
C100
C101
C102
C105
C107
C108
C109
C110
C112
C113
C114
C116
C118
C120
C123
C126
C127
C128
C129
C130
C132
C133
C135
C136
C139
C140
C141
C147
C151
C152
C154
C160
C164
C173
