frame,time
446,39.63794
679,48.86144
1236,70.26219
1691,88.59409
1884,96.1847
3242,149.6453
3501,159.58662
3917,175.91665
4507,198.55217
6030,258.83565
6949,295.66606
7123,302.33847
8075,339.35245
8523,356.95043
8928,373.13049
10575,437.40095
10832,447.30953
11477,472.4465
12418,509.79484
12927,529.84429
13172,539.93574
15285,623.20517
15902,647.39184
16246,660.60273
16926,687.19205
17718,718.20074
18132,734.51448
19847,801.88714
20771,838.10049
22952,923.82187
23403,941.23638
24813,995.39796
25511,1022.30365
25920,1038.31758
27319,1092.42865
28174,1126.22343
29151,1164.50508
30031,1199.31753
30280,1209.29236
31024,1239.00055
31963,1275.73099
32936,1313.39575
33328,1328.75844
34532,1376.36446
34947,1392.49453
35185,1401.66887
38246,1521.08505
38523,1532.04393
39116,1555.48016
41762,1658.6996
44076,1747.70662
44278,1755.51298
44759,1773.92877
45340,1796.1802
47275,1870.30877
47667,1885.35445
47949,1896.13005
48149,1903.77024
48928,1933.54453
49721,1963.90292
50983,2012.2932
53067,2092.42668
55061,2168.99012
56219,2213.32699
57611,2266.83833
58093,2285.25341
58247,2291.19194
60212,2366.57108
61195,2404.28591
62331,2447.78857
63048,2475.21221
63963,2510.32418
65636,2574.46082
65879,2583.76843
66294,2599.83211
66614,2612.09193
67929,2662.51797
68942,2701.45009
69976,2741.16598
70428,2758.68127
70688,2768.67246
71744,2809.15565
71983,2818.33029
74539,2916.27805
75778,2963.71763
76933,3007.95479
77577,3032.62545
79840,3119.48035
80068,3128.13791
80695,3152.19113
82211,3210.23981
82634,3226.45284
83950,3276.96131
84720,3306.70321
85559,3338.86284
87219,3402.43302
88109,3436.59393
89446,3487.95328
90655,3534.47554
90880,3543.06604
92371,3600.23021
92754,3614.89237
