stim_type,starttime,startframe,nearest_F_frame
auditory,0.0014198303688317537,0,162
visual,4.329956465400755,250,246
auditory_and_visual,8.883445938350633,523,337
auditory,13.003308233805,769,419
auditory_and_visual,16.123133646324277,956,482
auditory_and_visual,20.243150849593803,1202,564
auditory_and_visual,23.69593563512899,1408,633
auditory_and_visual,27.48208807129413,1634,709
auditory,32.13616677210666,1912,802
visual,35.20599824632518,2096,863
auditory_and_visual,38.92503410857171,2319,938
visual,43.562393641099334,2596,1030
visual,47.53242293559015,2834,1110
auditory,51.268806899897754,3058,1184
auditory_and_visual,55.78922686423175,3329,1275
auditory,59.225961504504085,3534,1344
auditory_and_visual,64.08011025097221,3825,1441
auditory,69.00009044329636,4119,1539
visual,73.83747447864152,4409,1636
auditory_and_visual,77.12373146950267,4606,1702
visual,81.29365088534541,4855,1785
visual,85.53061984409578,5109,1869
auditory,89.4004155898001,5341,1947
auditory_and_visual,94.02094113547355,5618,2040
auditory,98.02481030975468,5857,2119
visual,102.21147904195823,6108,2203
auditory_and_visual,106.23135153623298,6349,2284
auditory_and_visual,110.03426707955077,6576,2360
auditory,113.90414076042362,6807,2437
visual,118.09117960417643,7058,2521
visual,122.42831508116797,7318,2607
auditory,125.91444711922668,7527,2677
auditory_and_visual,130.85184757551178,7823,2776
auditory_and_visual,135.30586360767484,8089,2865
auditory_and_visual,139.72593745053746,8353,2953
visual,143.24538402771577,8563,3023
auditory,148.06599020259455,8852,3120
auditory,151.83588434546255,9078,3195
visual,155.02233659126796,9269,3259
auditory_and_visual,159.9100731308572,9562,3357
auditory_and_visual,163.17861222894862,9757,3422
visual,167.34864101023413,10006,3505
visual,171.4521388541907,10252,3588
visual,176.00589388376102,10525,3679
auditory,180.3097529874649,10783,3765
visual,184.51379451691173,11035,3849
auditory,189.06766436458565,11308,3940
auditory_and_visual,192.38646263699047,11507,4006
auditory_and_visual,197.2569559502881,11798,4104
visual,201.07698803511448,12026,4180
auditory,204.28000005125068,12218,4244
auditory,208.46713799773715,12469,4328
visual,211.7860395424068,12668,4394
visual,215.82262479071505,12910,4475
auditory_and_visual,219.6088667078875,13137,4551
auditory_and_visual,223.97912332927808,13398,4638
visual,227.34904030757025,13599,4705
auditory_and_visual,231.0016857078299,13818,4779
visual,235.48882448812947,14086,4868
auditory_and_visual,238.90860487148166,14291,4937
auditory_and_visual,241.9611565573141,14473,4998
visual,246.48153194156475,14743,5088
auditory_and_visual,251.0021626194939,15014,5178
auditory,255.80564904562198,15301,5274
auditory_and_visual,260.49307147134095,15582,5368
auditory_and_visual,264.3796874128748,15814,5446
auditory_and_visual,267.63221677648835,16008,5511
visual,272.2362601661589,16283,5603
visual,276.6236089542508,16546,5690
auditory,279.9925323398784,16748,5758
visual,283.51230156212114,16959,5828
auditory_and_visual,286.6315984269604,17146,5891
auditory,291.15207676263526,17416,5981
auditory,295.539581741672,17679,6069
auditory,299.9765915602911,17945,6157
auditory,303.37874481477775,18149,6225
auditory_and_visual,307.16518076788634,18376,6301
visual,310.9016933410894,18599,6376
auditory_and_visual,314.4219901487231,18810,6447
visual,318.1577034860384,19033,6521
visual,321.2269352125004,19217,6582
visual,324.6467075778637,19422,6651
auditory_and_visual,329.5008447782602,19713,6748
visual,334.20471119415015,19994,6842
auditory_and_visual,337.6745082871057,20202,6912
auditory_and_visual,341.52713489322923,20432,6989
auditory_and_visual,346.39801339199767,20723,7086
auditory,351.2184822985437,21011,7182
auditory_and_visual,354.68816842208616,21219,7252
auditory_and_visual,358.05786506505683,21420,7319
auditory,362.89565737801604,21709,7415
auditory,367.84979303902946,22006,7515
auditory,372.50367128965445,22285,7608
auditory_and_visual,376.45658853277564,22522,7687
auditory,379.9593444855418,22731,7757
visual,384.2961294145789,22991,7843
visual,389.0001270053908,23273,7937
auditory_and_visual,392.90327738039196,23507,8016
visual,397.05716749769635,23755,8099
auditory_and_visual,401.21080841496587,24004,8182
visual,404.3127254266292,24189,8244
auditory,408.1826003903989,24421,8321
auditory_and_visual,412.0192730673589,24651,8398
visual,416.0731743457727,24893,8479
auditory,419.67591913742945,25109,8551
auditory,423.8292435032781,25358,8634
auditory,427.71570453676395,25591,8712
auditory_and_visual,431.6857492260169,25829,8791
auditory,434.8721443833783,26019,8855
auditory,439.87650746735744,26319,8955
visual,444.7966573208105,26614,9053
visual,449.2338419321459,26880,9142
auditory_and_visual,452.70311143947765,27088,9212
auditory,456.95642849314027,27342,9296
