t,C000,C002,C003,C004,C005,C006,C009,C010,C012,C013
0.0,0.04138256932400726,0.3688109146639918,0.17733326287901588,-0.26820829250700196,-0.22478541470494742,-0.05162500202399545,-0.048518036302344886,-0.6904610712860826,0.1577849290457168,0.08960027788145807
0.05,-0.1542586879287529,0.16631005224112347,0.005058245370878724,-0.30178232244839315,-0.17379230890940464,-0.24911510536455658,-0.21559679949046479,-0.48391235695956464,0.32870871464537554,-0.02166571561619031
0.1,-0.1661097523185219,0.1153778911934651,-0.023713562366105275,-0.13472479879087926,0.12696558559269389,-0.09288804897654608,-0.6043728855096537,-0.47927079341930395,0.5072493465762894,-0.05422360474559534
0.15,0.02667715115695711,0.661339304044792,-0.1317198556079494,-0.2283220077953648,0.06824027530021899,0.3641447408727497,-0.45716046293960827,-0.41611138631268296,0.4157992799965033,-0.07059212761068719
0.2,-0.041658598363454105,0.17705653825195353,-0.04989880122509627,-0.17225197114285626,-0.17774964738297852,0.004885971316300742,-0.5806174575506332,-0.6121307936683834,0.007479761714359588,0.4673283840877594
0.25,-0.06774244352332777,0.5658569026585726,-0.22915705829326005,-0.12446847448134339,-0.31565650691359437,-0.08528462893048344,-0.5311029358114895,-0.3907490958765455,-0.1432268502009832,0.9479189098738495
0.3,-0.055909286420262216,0.06459870532329784,-0.11280139091266086,-0.18536677106771454,-0.21752727307405137,0.17139967168876544,-0.27334813765850635,-0.538713622391952,0.1583528177586019,1.4485046328012863
0.35,0.14758287102684395,0.6425671655340345,-0.2548256291511193,-0.2730795479014446,-0.26650930826879177,0.426504032366473,-0.3506281871687162,-0.6362934281438828,0.6841689710463256,1.0793482053880663
0.4,-0.156322656279852,0.022422381176003217,-0.252430178064555,-0.3435183832122904,0.061848864691656125,0.776593947018735,-0.539567206717048,-0.4000407542126017,0.6046342092068289,0.7355634418550748
0.45,0.010377897850541514,0.33761473396802216,-0.1501144942610618,-0.1915288615268769,0.32479658402403716,-0.13571864028151476,-0.7633502867711774,-0.6295841842214176,0.41993808523347737,0.6165582083837837
0.5,-0.12450741627738059,0.6486499330975317,-0.32468337798319247,-0.14409949111341408,-0.24151657668857057,0.25327176427908143,-0.7594504191439319,-0.5911970656487705,0.8571806070199922,1.2085553790018226
0.55,-0.11614848541428235,-0.08978030533273093,-0.04229752589956756,-0.18021624653565319,-0.30607549658769484,-0.11724774983464542,-0.8003889348377196,-0.6528430549289047,-0.13297467807571486,1.8717940378926154
0.6,0.06381687559209503,0.37574266715125476,-0.01894052944937344,-0.20279009516603555,0.03241207901950265,-0.46014815415100885,-0.597661254148887,-0.27323447011181135,0.5989629619044218,2.8506757242699736
0.65,-0.08476940675246336,0.02168179888229592,-0.10478016901722913,-0.15194082080901522,-0.24351777079749454,0.3205476665322267,-0.5749512270331467,-0.3986040167906599,0.14281817555717702,3.0945632593730887
0.7,0.10381353280029046,0.26890808348797596,-0.2808371896117241,-0.18639634060365345,0.17456745646552585,-0.7205967219296157,-0.5403051138984428,-0.6157424295118673,0.09427865445868346,2.858317124613586
0.75,0.14563774516355707,-0.3254250930865267,-0.00883675781184904,-0.2170300969543047,0.2616938105417106,-0.10395850605981449,0.0980522036564128,-0.7246081558578825,-0.38000811245101396,2.9417721428531483
0.8,-0.05807770606900181,0.040569759391478846,-0.1809368960248623,-0.1699205867097024,-0.2698306076606983,-0.6589809862518625,1.2045950433809793,-0.7246239627833808,-0.05847346035353214,2.8503281002622205
0.85,0.14359581639850075,-0.12228646014220253,-0.1800593936504755,-0.07144479057796455,-0.9492068525336596,-0.00035657677282075454,1.9956642625327283,-0.5016501040127865,-0.5567660373669064,2.3085633732641795
0.9,-0.03094620588901402,-0.04112873907805176,-0.1431241499848119,-0.12416062461469449,-0.4893398761879693,0.015621000325673477,2.390140067639391,0.2748471965761532,0.06558768036578126,1.9453287482326338
0.95,0.03496790203400502,0.024784099132054285,-0.07034606841019163,-0.18646546498600747,-0.03869046379257745,-0.6515211174245035,2.9393526864824224,0.07929327514991436,0.6352042521732948,1.5359421172751067
1.0,-0.1497558164268518,0.18286734640626842,-0.14092045713166107,-0.23604599423257303,-0.35259428049437125,-0.1682533100514053,3.2658177448686576,0.10505423642617304,0.20142310736226962,1.09049484834944
1.05,-0.19933017884106777,-0.0065208491612524,0.025020133165723185,-0.049734380814073345,-0.3657076472148059,0.18121063131038095,3.3908337546984826,0.2837332895620304,0.01620383717812483,0.7788696943649959
1.1,-0.048843404978444666,0.08954232294068401,-0.0330829206248624,-0.2533624811258164,0.8945239023892886,-0.08225268631209465,3.97326467942869,-0.43928095349639734,-0.22366693652690461,0.9515813594426255
1.15,-0.08803634473038373,-0.4113787720003577,-0.15466539991459893,0.01784410745368924,0.5713930343589865,0.16165849698977142,3.333786676648412,-0.20436816873927086,-0.48143175013062106,0.8805753630078831
1.2,-0.17364809003697088,0.08089915315381455,0.1390882941334484,-0.233970888802331,1.462386212057533,-0.47442405513803954,2.0962006004493867,-0.39255988569293887,-0.2665284547357188,0.7280949362001463
1.25,-0.1520016768220477,0.27311614886111824,-0.208392529643367,-0.3126116352981547,3.2617597051303484,-0.12533824920896877,1.9194267883104037,0.06521467440135492,-0.384280665178713,0.6680476264916342
1.3,-0.15523097327382804,-0.06887741681600242,-0.19983627914026894,-0.17006861901447626,5.5061484315841644,-0.6517018369294005,1.3468349393421368,0.6413241724302323,-0.7497273217266675,0.6523105405606394
1.35,0.001813080439131255,0.09178406219044603,0.03843537837378577,-0.2149409439713773,6.3358157474140135,-0.5393269003985246,0.8243125878100616,0.6588747027062756,0.2516032609784592,0.4418971990851969
1.4,-0.10784965499626797,0.23345081183734953,0.06605441665651018,-0.19878411453240633,5.752967865911492,-0.24476819007287284,0.9005682778469547,0.2771793346693543,-0.524847539769075,0.29522613488669325
1.45,-0.15805152055074953,0.1871663645645547,-0.001876240611075576,-0.3015165323284439,5.014542004177634,0.25672099074243715,0.31487029512689607,-0.11011870562311314,-0.5388869739533916,0.4964367616170476
1.5,-0.21908119946850688,0.45921320178085573,-0.1379144629610984,-0.22429948042387599,3.4130654621169434,0.09168364067682948,0.11527312760007803,-0.11582761359044583,-0.051196793463646764,0.7250014197955307
1.55,-0.1725049058633829,0.43915511698558124,-0.23822950394780018,-0.30843939370580326,1.9866455108153946,-0.5110110766472199,0.019645293142063702,0.043194517334247846,-0.25627435244265834,1.1859970494102996
1.6,0.20268985661376981,0.010589162228059015,-0.28837375200199056,-0.23769962570433578,2.4709102202215076,-0.3715032172704311,-0.030126318613643756,0.3022836919552328,-0.21673472879598038,0.974157409146796
1.65,-0.2493955190527272,0.29979725076991043,-0.07928123638635698,-0.2277590870627129,1.8554577874155698,-0.04715660995890312,0.028095518250010207,-0.05365761492078036,-0.7622807641924432,0.6900400989459908
1.7,0.2065020691093712,0.5382320272102786,-0.17669070363509465,-0.38101128948507784,1.4778642968666234,-0.5094833011465515,-0.04316687433993097,-0.5813992718003755,-0.2546630210847173,0.4305519875955501
1.75,-0.31693818209183794,-0.0469551477464403,0.029688375191044693,-0.28191192888565514,1.2231149533222478,-0.7099428833689587,-0.06553387793764713,-0.2671703281190446,-0.12464581204657536,0.3626028039718986
1.8,-0.20427960641468929,-0.28831981291441033,-0.18224283830724886,-0.29389131700577475,0.5136402502860443,-0.16636477142397066,-0.012074304278745195,0.08865650186354587,-0.018136141812417832,0.21547365343912525
1.85,-0.14720754810554082,-0.20705798922058666,-0.1045587077701681,-0.2540865460020471,0.270430855180917,-0.21433731183376617,-0.06653871539187045,0.6558424635511103,-0.12192692312443186,0.18042449004728559
1.9,-0.28432203593537625,0.434125909527969,0.08357217542090316,-0.2777115921879329,0.9873339392640244,-0.2787090872854851,-0.4872983013335385,1.4032389564541947,0.26123052359625115,0.06956092876693698
1.95,0.11666101681698347,-0.1572562481831717,-0.14272762226162206,-0.1310512808522971,0.4158053481462561,-0.0916820518808133,-0.24195915208008847,2.5045910308360915,-0.12523601895615608,0.021491382541954172
2.0,-0.30612207855060614,-0.06451983488145821,-0.33983127504560784,-0.21777080332423102,0.19153591657805216,-0.03688042632037152,-0.3584123299482709,2.446672135219092,-0.4466871432950745,0.06699200679452541
2.05,-0.11562197653609753,0.7361023317698193,-0.053894875717737836,-0.25249403204449733,0.7841648303203457,-0.10681361550071616,-0.12082535152261269,2.4848397953707777,-0.08829153622273064,-0.027650447467965758
2.1,-0.025576776056672985,0.18776927336257623,-0.08800444146319766,-0.09844312083610121,1.3415893538293822,-0.06619437617400407,-0.4900087522370078,2.0102799507745117,-0.26013229300190527,-0.09054624605940063
2.15,-0.29498852622239574,-0.08434310119939192,-0.044975349326358764,-0.3349637789612817,0.6401665405872108,-0.24457279123346554,-0.3916524314155554,0.9063925464379551,-0.38772694945473923,0.07357062882590262
2.2,-0.13526441159785774,0.3129212659031199,-0.006851651018463228,-0.26998169535545485,0.3897637453703266,-0.2567664761432407,-0.28791796922316315,0.6108139138874443,-0.27339175749758304,-0.07388364540109872
2.25,-0.11600122672415288,0.479784023961906,-0.12020123281452061,-0.09107291715703757,0.41300691259530675,-0.29977130270030833,-0.373425303694942,0.26371504037223525,0.0883752261609495,-0.25228356688410997
2.3,-0.025551718454962184,-0.19307643815173647,-0.15531214946390304,-0.29378258468397733,0.6816929786385698,-0.14730068273313818,-0.48720477381037325,0.0800666373878583,0.15600739609304906,-0.2482081936488226
2.35,0.2287133020863016,0.16898719745417445,-0.2407439020334002,-0.18432114041757547,0.7067746860869705,0.06622419364710366,-0.5292633188946756,-0.021549343473625988,0.40349696650830674,-0.2931906391826344
2.4,-0.07110865118294717,0.5118134812919957,-0.06910080977428475,-0.2520257013251215,0.04212691821498962,-0.4813585833213604,-0.2268305601044358,-0.1616931357552778,0.63931916274145,-0.457133946498349
2.45,0.06492276079318042,0.12771503197526943,0.02006400240183889,-0.21437162721979613,0.13147456920250405,-0.19063238321953077,-0.5174168199241386,-0.1973964850111919,-0.15198999387775508,-0.438048044908048
2.5,-0.28820166456179036,-0.04035772243242658,-0.03918451098946078,-0.4054612918235638,1.1842838750482547,0.04136787189331195,-0.5217988027228038,-0.31662698056523125,-0.13156380121161745,-0.4942865191203022
2.55,-0.13244525028507864,0.7187678850997692,-0.24778783666665388,-0.13933192229250244,3.1239364482016354,0.31618598214031807,-0.4952254215883183,-0.23184960735545876,-0.13327543055561403,-0.5022190214756532
2.6,-0.11561243228302603,0.4412611912844118,-0.3357730385030265,-0.26424482171029334,3.6038719226524747,-0.25155361212385524,-0.6473908651440309,-0.48025176448937784,-0.4024967348781698,-0.561949467446352
2.65,-0.11585084961470303,0.42785673431460025,-0.11214706923875208,-0.22395987550769125,3.603607063034062,-0.24570038589797227,-0.28057143228594145,-0.4214631404418216,-0.2735108518820329,-0.48861199635151287
2.7,-0.17921413778242165,0.34646885239243846,-0.05498549890185164,-0.29307347938535333,2.8154255950162628,-0.1788545723049692,-0.778052116041642,-0.628802245885597,-0.2892092248612988,-0.5240400054250948
2.75,-0.1923427461196283,-0.2457338068733512,-0.1828556863294353,-0.36879497624154717,1.9738093941418733,-0.27265432646958293,-0.7023788456600493,-0.8117892915913587,-0.3789469799697273,0.056555893111331725
