stim_type,starttime,startframe,nearest_F_frame
visual,0.0017947361920960248,0,309
auditory_and_visual,3.9480972941964865,236,391
auditory_and_visual,7.2509574224823155,424,454
visual,10.90408648859011,642,527
auditory_and_visual,15.558051665720996,921,620
auditory_and_visual,19.995278073474765,1187,708
visual,24.531541782955173,1459,799
visual,27.600876778014936,1643,860
auditory_and_visual,32.15483448241139,1916,951
visual,35.54176690429449,2119,1019
auditory,40.47901271551382,2415,1118
visual,45.13287333864719,2694,1211
auditory_and_visual,50.03679786482826,2988,1309
auditory_and_visual,54.40653147990815,3249,1396
auditory,59.22783880861243,3538,1493
visual,62.76368654723046,3750,1564
visual,66.54985412157839,3977,1639
auditory,70.61982189264381,4221,1721
auditory,74.5401864075684,4456,1799
auditory,77.55868540384108,4637,1859
auditory,81.19501110806596,4855,1932
visual,84.91510666912654,5078,2006
auditory,88.83531820168719,5313,2085
auditory_and_visual,93.48876221256796,5592,2178
auditory_and_visual,96.89142904424807,5795,2246
auditory,101.66183238202939,6081,2341
visual,105.44848937157076,6308,2417
auditory,109.15145572158508,6530,2491
auditory_and_visual,112.9884570496506,6760,2568
auditory,116.70803368947236,6982,2642
visual,120.4274342553108,7205,2717
visual,124.36415665521054,7441,2795
auditory_and_visual,127.85032297874568,7650,2865
visual,131.13731880654814,7847,2931
auditory,134.33894247189164,8039,2995
auditory_and_visual,139.22651841386687,8332,3092
visual,142.8127031145268,8547,3164
auditory,146.9829416675493,8797,3248
auditory_and_visual,151.1701817860012,9048,3332
visual,156.04081581602804,9339,3429
auditory_and_visual,160.62799121363787,9614,3521
auditory_and_visual,164.63049762236187,9853,3600
visual,169.61852426890982,10152,3700
auditory_and_visual,173.68794457486365,10396,3782
auditory,177.85823348053964,10646,3865
auditory,181.8612655455945,10886,3945
auditory_and_visual,185.28147338988492,11091,4014
auditory,188.38345616287552,11276,4075
auditory,191.6195980316843,11470,4140
auditory_and_visual,194.93942220142344,11669,4207
auditory,198.3920039307559,11875,4275
visual,201.86126939422684,12083,4345
visual,205.5475356534007,12304,4419
auditory_and_visual,209.38462036807323,12534,4496
auditory_and_visual,214.23843628319446,12824,4593
auditory,218.9089912241907,13103,4686
auditory_and_visual,223.87972733867355,13401,4785
auditory_and_visual,228.26707252423512,13663,4873
auditory_and_visual,232.03601499291835,13888,4948
auditory_and_visual,236.24005558679346,14140,5032
visual,240.55990541394567,14399,5119
auditory,244.79673458077013,14653,5203
auditory_and_visual,249.11689774913248,14912,5290
visual,253.9042676941026,15198,5385
visual,257.3075624910416,15402,5454
visual,260.9936539590708,15623,5527
auditory,264.629620780237,15841,5600
auditory_and_visual,268.33276063844096,16063,5674
auditory_and_visual,273.0699937492027,16346,5769
auditory,276.50667782337405,16552,5837
visual,281.27693523460766,16838,5933
visual,284.3124434935744,17020,5994
auditory,289.2165152291418,17314,6092
auditory_and_visual,294.12060332129477,17608,6190
visual,297.60671993362484,17817,6259
auditory_and_visual,301.19307621824555,18032,6331
auditory,305.74739569221856,18305,6422
auditory_and_visual,309.60041269951034,18536,6499
visual,314.48762526834616,18828,6597
auditory,317.5398506161291,19011,6658
visual,321.62673111382173,19256,6740
auditory_and_visual,325.5131649801042,19489,6818
visual,329.78312364278827,19744,6903
auditory,333.41990829398856,19962,6975
visual,338.24068611778785,20251,7072
auditory,342.1935098285903,20488,7151
auditory_and_visual,345.7131016703788,20699,7221
visual,350.6506948188762,20995,7320
auditory,355.6378892029752,21294,7420
auditory_and_visual,359.390970899025,21519,7495
auditory,364.144970168476,21804,7590
auditory_and_visual,368.915567219723,22090,7686
auditory,372.1517687420128,22283,7750
auditory_and_visual,376.2049899182748,22526,7831
visual,380.6252336829202,22791,7919
auditory_and_visual,383.99461996078026,22993,7987
auditory_and_visual,388.3149502230226,23252,8073
visual,392.4348245530273,23499,8155
auditory_and_visual,395.9883226689417,23712,8227
auditory_and_visual,400.74219236843055,23996,8322
visual,403.87758494447917,24184,8384
auditory,407.71426266845083,24414,8461
auditory_and_visual,411.5344474852318,24643,8538
auditory_and_visual,416.32170774473343,24929,8633
visual,419.67408540134784,25129,8700
auditory,424.2110315980972,25401,8791
visual,428.4979042702471,25658,8877
auditory_and_visual,432.55137945490424,25901,8958
auditory,437.2553153344779,26183,9052
auditory_and_visual,440.4749546746025,26376,9116
auditory_and_visual,444.5280780319008,26618,9197
auditory_and_visual,447.91387126455083,26820,9265
visual,451.56694773299387,27038,9338
auditory_and_visual,454.58684826560784,27219,9399
auditory_and_visual,458.18916185887065,27434,9471
auditory_and_visual,461.4583184065996,27629,9536
auditory,464.4774819299928,27810,9596
auditory_and_visual,468.7986030820175,28069,9683
auditory_and_visual,472.2004655537894,28272,9750
auditory_and_visual,476.7209265406127,28543,9841
visual,480.1905617915909,28751,9910
auditory,483.2605362976901,28935,9972
auditory_and_visual,487.01296180544887,29160,10047
visual,490.2157320365077,29352,10111
auditory,494.30226263124496,29597,10192
visual,499.22297576628625,29892,10291
auditory,502.6592287958483,30098,10359
auditory_and_visual,506.8294788947096,30348,10443
auditory_and_visual,510.3485909428564,30559,10513
auditory_and_visual,514.7189412980806,30821,10601
visual,518.121633787232,31024,10669
auditory_and_visual,523.009121211071,31317,10766
auditory,526.5793665633537,31531,10838
visual,530.9992373333662,31796,10926
visual,535.9366714057978,32092,11025
auditory_and_visual,539.8232438220875,32325,11103
auditory_and_visual,544.3437288627028,32596,11193
auditory,548.0466060531908,32818,11267
auditory,552.5333400470554,33087,11357
auditory_and_visual,556.0529745443491,33298,11427
auditory_and_visual,559.0890844696551,33480,11488
visual,562.708613867755,33696,11560
auditory,565.9114386208821,33888,11624
auditory,570.3321740457905,34153,11713
auditory,574.2018128888449,34385,11790
auditory_and_visual,577.4208050206653,34578,11854
auditory,581.1071251604008,34799,11928
visual,584.9940452346927,35032,12006
auditory_and_visual,588.5630240727332,35246,12077
visual,593.2673768852837,35528,12171
