cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,23.189,11.4509,0.00642364,265.536,350.51199999999994,0.2,0.075,0.675,0.167705,1.0,162.0,11.0,70.0,16.1555,162.0,11.0,70.0,16.1555,False,25.224113270165237
C001,7.56378,7.6071,0.0337241,57.5385,170.641,0.15,0.046291000000000006,0.45,0.387759,1.0,264.0,182.0,63.5,11.4018,264.0,182.0,63.5,11.4018,False,18.69949176659224
C002,15.2534,12.9545,0.0321182,197.6,725.171,0.2,0.45401,0.875,1.81097,1.0,248.0,89.0,64.5,13.0,248.0,89.0,64.5,13.0,False,15.974558922079632
C003,15.0553,4.36566,0.0497832,65.7263,329.657,0.15,0.2428,0.45,1.33081,1.0,130.0,260.0,67.5,11.0454,130.0,260.0,67.5,11.0454,False,17.191589365016966
C004,7.4502,10.3265,0.0481773,76.9346,87.95100000000001,0.125,0.0910586,0.4,0.4272,1.0,213.0,32.0,60.5,12.6491,213.0,32.0,60.5,12.6491,False,6.732486419588649
C005,14.0888,7.651039999999999,0.0192709,107.794,241.389,0.15,0.170783,0.875,1.4535200000000001,1.0,185.0,49.0,67.5,10.198,185.0,49.0,67.5,10.198,False,15.694131676650379
C006,12.5384,9.908999999999999,0.0674482,124.243,394.724,0.15,0.09697819999999999,0.575,0.780053,1.0,136.0,200.0,65.0,10.6301,136.0,200.0,65.0,10.6301,False,14.383086239093604
C007,38.095,12.695,0.00963546,483.615,202.315,0.5,0.585947,2.175,1.42734,1.0,295.0,178.0,63.0,11.1803,295.0,178.0,63.0,11.1803,False,12.096574526261263
C008,36.0396,13.4811,0.0433596,485.85400000000004,530.592,0.15,1.8972900000000001,0.7,3.47286,1.0,206.0,113.0,55.0,10.2956,206.0,113.0,55.0,10.2956,False,12.63851189154537
C009,13.7541,7.4706600000000005,0.0546009,102.75200000000001,147.766,0.15,0.201648,0.7,0.719783,1.0,223.0,3.0,69.0,13.0,223.0,3.0,69.0,13.0,False,11.493914659857438
C010,13.4429,10.3756,0.00481773,139.47799999999998,144.00799999999998,0.15,0.129099,0.95,0.714726,1.0,294.0,86.0,70.5,14.8661,294.0,86.0,70.5,14.8661,False,14.082680886124383
C011,19.4203,7.59362,0.05299500000000001,147.47,197.555,0.15,0.392158,0.9,2.62035,1.0,138.0,245.0,70.5,11.4018,138.0,245.0,70.5,11.4018,False,12.460283138695493
C012,17.389,9.74662,0.0192709,169.484,338.885,0.2,0.192029,0.625,0.5811270000000001,1.0,302.0,169.0,66.0,11.7047,302.0,169.0,66.0,11.7047,False,10.101717065294693
C013,6.773639999999999,9.394739999999999,0.07066,63.6365,130.892,0.15,0.374242,0.375,0.40276,1.0,272.0,105.0,59.0,13.0384,272.0,105.0,59.0,13.0384,False,13.25457089057998
C014,13.8369,10.7992,0.0851132,149.42700000000002,257.194,0.15,0.46179499999999996,0.75,1.18855,1.0,122.0,116.0,67.0,13.0384,122.0,116.0,67.0,13.0384,False,10.578034350906547
C015,8.84251,17.8841,0.0497832,158.14,263.625,0.2,0.654698,0.8,1.10275,1.0,218.0,36.0,60.0,11.4018,218.0,36.0,60.0,11.4018,False,11.001270662451375
C016,8.401530000000001,6.36268,0.0465714,53.4562,97.711,0.1,0.30456300000000003,0.4,0.292433,1.0,85.0,230.0,67.5,16.2788,85.0,230.0,67.5,16.2788,False,8.143597721696006
C017,12.7894,14.9556,0.0465714,191.273,226.114,0.15,0.0748562,0.65,0.48751700000000003,1.0,214.0,60.0,65.0,13.9284,214.0,60.0,65.0,13.9284,False,9.800730941372617
C018,15.517999999999999,9.07474,0.06263049999999999,140.821,290.436,0.2,0.267467,0.65,1.35833,1.0,224.0,111.0,48.0,9.05539,224.0,111.0,48.0,9.05539,False,10.229341745638878
C020,7.51622,13.5364,0.0337241,101.743,164.43900000000002,0.15,0.160357,0.5,1.19169,1.0,235.0,77.0,60.5,12.1655,235.0,77.0,60.5,12.1655,False,13.27537553064132
