mouse_id,sex,genotype,AP_coord,ML_coord,DV_coord,session_type,recording_date,processing_date
M334410,M,Gnb4-IRES2-Cre;AAV-GCaMP6s,1.5,2.625,2.5,passive,2017-10-27 10:57:47.469000,2018-12-14 01:47:16.329248905-08:00
M334412,M,Gnb4-IRES2-Cre;AAV-GCaMP6s,1.5,2.625,2.7,passive,2018-02-21 17:36:40.068000,2019-01-12 04:17:24.670338392-08:00
M406494,F,Gnb4-IRES2-CreERT2/wt;Ai148(TIT2L-GC6f-ICL-tTA2)/wt,1.5,2.625,2.5,passive,2019-03-25 15:10:42.239000,2019-03-26 00:37:22.994131088-07:00
M332849,M,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,1.5,3.125,2.5,passive,2017-11-07 11:30:45.905000,2018-12-13 23:35:08.291905165-08:00
M397408,F,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,1.5,2.625,2.5,passive,2018-09-20 10:38:25.280000,2018-10-01 14:26:59.043725014-07:00
M375765,M,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,1.5,2.625,2.5,passive,2018-09-20 12:42:49.962000,2018-12-14 03:37:29.648535967-08:00
M416531,F,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,1.5,3.125,2.5,passive,2019-03-25 14:22:21.518000,2019-03-26 01:21:12.827245235-07:00
M432805,M,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,1.0,3.125,2.0,passive,2019-06-11 17:23:22,2019-06-12 12:44:31.709861040-07:00
M335379,M,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,1.5,3.125,2.5,passive,2017-10-24 15:57:58.264000,2018-12-14 02:24:22.327345610-08:00
M351181,F,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,1.5,2.625,2.5,passive,2018-02-16 12:48:23.809000,2018-12-14 00:12:11.677001715-08:00
M332849,M,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,1.5,3.125,2.5,active,2018-06-14 12:44:33.658000,2018-07-26 12:11:01.983524799-07:00
M348126,F,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,1.5,2.625,2.5,active,2018-06-13 13:47:38.463000,2018-07-26 18:15:45.828682184-07:00
M351181,F,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai94(TITL-GCaMP6s)/wt,1.5,2.625,2.5,active,2018-03-14 14:32:15.328000,2018-07-26 18:59:36.293976068-07:00
M397408,F,Gnb4-IRES2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/wt,1.5,2.625,2.5,active,2018-11-01 11:40:14.487000,2019-01-22 01:32:10.700291872-08:00
