stim_type,starttime,startframe,nearest_F_frame
visual,0.0021497905254364014,0,309
visual,4.057338441722095,242,390
visual,8.177728964015841,489,472
visual,12.130625360412523,726,551
auditory_and_visual,15.516661759698763,929,622
visual,18.88607713067904,1121,687
visual,21.90550510608591,1302,747
auditory_and_visual,26.34225065074861,1568,836
auditory,30.77911582449451,1833,924
auditory_and_visual,35.266263264231384,2102,1014
auditory_and_visual,39.10291509423405,2331,1091
auditory_and_visual,42.9226899612695,2559,1167
auditory,47.543289272580296,2834,1260
visual,50.99647880764678,3041,1329
auditory_and_visual,56.001127012306824,3341,1429
auditory,60.85506312106736,3631,1526
visual,65.74246899760328,3924,1623
auditory_and_visual,68.86112762824632,4111,1686
visual,73.78174669598229,4405,1784
visual,77.81839159852825,4647,1865
auditory_and_visual,81.00480375415646,4838,1929
auditory_and_visual,84.20708933798596,5029,1993
visual,88.61102676158771,5292,2081
auditory,93.31457534339279,5574,2175
auditory_and_visual,98.31914561288431,5874,2275
auditory,102.63968956796452,6132,2361
auditory,106.02524360339157,6335,2429
auditory,110.37875283276662,6596,2516
visual,113.69907035911456,6795,2582
auditory_and_visual,117.7184576028958,7036,2663
auditory_and_visual,122.50555103342049,7322,2759
visual,126.94271383574232,7587,2847
auditory_and_visual,130.5957450629212,7806,2921
auditory_and_visual,133.94903299515136,8006,2988
auditory,138.0521488606464,8251,3069
auditory_and_visual,142.99029018171132,8547,3168
auditory,146.45912254671566,8754,3237
auditory_and_visual,151.36315650725737,9048,3336
visual,154.59923257958144,9241,3400
auditory_and_visual,157.851773168426,9436,3466
auditory_and_visual,161.15460981428623,9633,3532
auditory,164.4404440955259,9829,3597
auditory_and_visual,168.24374578660354,10057,3673
visual,172.1137490386609,10288,3750
auditory_and_visual,175.29977793293074,10479,3814
auditory_and_visual,179.08633479778655,10705,3890
visual,182.57224201061763,10913,3959
auditory_and_visual,186.94300152198412,11175,4047
auditory_and_visual,191.32976178778335,11437,4135
auditory,194.99929184862413,11656,4208
auditory,198.26880144746974,11852,4273
auditory_and_visual,201.30499381315894,12034,4334
visual,206.17561701848172,12325,4431
visual,209.9961484654341,12554,4508
auditory_and_visual,214.56615665671416,12828,4600
visual,219.50338424439542,13123,4698
visual,223.05616749054752,13336,4769
auditory,227.92701648315415,13628,4866
auditory_and_visual,231.06269223196432,13816,4929
auditory,235.38299308065325,14074,5015
auditory_and_visual,239.0531171162147,14294,5089
auditory,242.67272443859838,14510,5161
auditory,247.54341467446648,14802,5259
visual,251.9801522011403,15068,5347
visual,255.9835553681478,15308,5427
visual,259.41995710041374,15514,5496
visual,264.15732984640636,15798,5591
auditory_and_visual,268.077232103562,16033,5670
visual,272.8312335750088,16317,5764
auditory_and_visual,277.48498097155243,16596,5858
visual,280.57080646487884,16780,5919
auditory,284.9411102323793,17042,6006
auditory,289.6447582375258,17324,6100
auditory,293.9150629029609,17580,6186
visual,297.8019421561621,17813,6264
auditory_and_visual,302.15546645922586,18074,6351
visual,305.42467105272226,18269,6416
auditory_and_visual,308.4783247348387,18452,6477
auditory,312.7141432685312,18705,6562
auditory,316.2510540485382,18917,6632
auditory_and_visual,321.13847531960346,19210,6730
visual,324.52385648642667,19412,6798
visual,328.3437577174045,19641,6874
auditory,332.7141121586319,19903,6962
auditory_and_visual,336.76740887830965,20146,7043
visual,339.8037192693446,20327,7103
auditory_and_visual,343.5399896984454,20551,7178
auditory,347.57647007121705,20792,7259
visual,351.3631609971635,21019,7335
auditory_and_visual,355.19967684173025,21249,7412
auditory_and_visual,359.4204445958603,21501,7496
auditory_and_visual,363.2896870984696,21732,7573
auditory_and_visual,366.8758641015738,21946,7645
visual,370.6123939936515,22169,7719
auditory_and_visual,374.18279859563336,22383,7791
auditory,378.23526561120525,22625,7872
auditory_and_visual,382.1050870146137,22857,7950
auditory,386.8591802122537,23141,8044
auditory_and_visual,390.8292309951503,23379,8124
visual,394.33238624525256,23588,8194
auditory,399.01974035729654,23869,8287
visual,402.1552551044151,24057,8350
auditory,405.2912031451706,24245,8413
visual,409.7617257081438,24513,8502
auditory_and_visual,413.1815208445769,24718,8571
auditory,417.0681691789068,24950,8648
auditory_and_visual,421.5379236158915,25218,8738
auditory_and_visual,426.4925361885689,25514,8837
auditory_and_visual,430.04518890124746,25726,8908
auditory_and_visual,434.14857609639876,25971,8990
auditory_and_visual,438.91907511861064,26256,9086
auditory_and_visual,442.35561411920935,26461,9154
auditory,445.72473186138086,26662,9221
auditory_and_visual,450.61264511803165,26955,9319
visual,455.53351498954,27249,9417
visual,459.83661623019725,27507,9503
auditory_and_visual,464.24042055453174,27771,9592
auditory_and_visual,468.2937968131155,28013,9673
auditory,472.51395038701594,28265,9757
auditory,477.0009214305319,28534,9847
auditory,480.18709368701093,28725,9910
auditory_and_visual,484.35686332616024,28975,9994
visual,488.17702241637744,29203,10070
auditory,491.8967709201388,29426,10145
auditory,495.4665886030998,29640,10216
visual,498.73561327229254,29836,10281
auditory_and_visual,503.3562395244371,30113,10374
auditory,508.01009853184223,30391,10467
auditory_and_visual,511.5631524659693,30604,10538
auditory_and_visual,516.2670275415294,30885,10632
auditory,519.3698265349958,31070,10694
visual,523.2902217397932,31305,10772
auditory,527.8603235813789,31579,10864
auditory,531.5632563796826,31801,10938
auditory_and_visual,536.06701426371,32071,11028
visual,539.9367772960104,32302,11105
visual,544.2905601002276,32563,11192
auditory_and_visual,548.0107040524017,32786,11267
auditory_and_visual,552.4644474720117,33052,11356
auditory_and_visual,556.6009644712321,33299,11439
auditory,561.4215581379831,33587,11535
visual,565.391446956899,33825,11614
auditory_and_visual,569.2445033288095,34056,11691
auditory_and_visual,572.6475363199133,34259,11760
visual,577.4181578573771,34544,11855
auditory,581.6386497914791,34797,11939
auditory,586.5755133614875,35093,12038
auditory,590.6791609819047,35339,12120
auditory_and_visual,593.8651238076854,35530,12184
