t,C000,C001,C002,C003,C004,C005,C006,C007,C009,C010,C013,C016,C021,C024,C026,C030,C058
0.0,4.336239337921143,19.73392677307129,31.306211471557617,-1.6948133707046509,-10.312179565429688,4.000401496887207,14.486143112182617,14.261112213134766,28.37505531311035,-11.072230339050293,-18.88548469543457,41.67000961303711,72.13562774658203,58.99959945678711,120.74668884277344,47.499263763427734,-31.175127029418945
0.05,6.9348931312561035,20.781814575195312,20.8134765625,3.7933504581451416,14.517783164978027,-11.457576751708984,8.098620414733887,-6.750997543334961,19.04355812072754,21.233198165893555,-24.196287155151367,40.3582649230957,41.567359924316406,48.225120544433594,67.34305572509766,42.70710754394531,-6.922450542449951
0.1,8.508421897888184,26.20659828186035,28.974618911743164,-8.821763038635254,5.566577434539795,-7.032280921936035,5.337780475616455,-2.056121826171875,24.354812622070312,-0.9120489954948425,-10.741815567016602,35.92985534667969,-4.544116497039795,30.813899993896484,70.12444305419922,47.71674728393555,9.221206665039062
0.15,7.466885089874268,27.852609634399414,17.69700050354004,0.13374820351600647,-5.478958606719971,-5.62272834777832,-0.1090068519115448,-15.294832229614258,19.447908401489258,0.7170790433883667,-14.506631851196289,41.876792907714844,2.1866188049316406,34.53631591796875,52.245635986328125,19.60515785217285,0.22678734362125397
0.2,16.20104217529297,7.597301959991455,30.257919311523438,2.3975319862365723,-3.04777455329895,-3.4179694652557373,7.203892707824707,-0.5436131954193115,23.99154281616211,-2.763822555541992,-11.515872955322266,34.33821487426758,10.380789756774902,35.29167556762695,44.164554595947266,36.921417236328125,5.945477485656738
0.25,6.905618667602539,22.435096740722656,27.805906295776367,-4.213334560394287,-1.757514476776123,1.9961789846420288,3.7364578247070312,-5.226322174072266,-4.776031970977783,2.973754405975342,-26.084627151489258,30.985050201416016,13.266552925109863,4.9929327964782715,39.52912902832031,20.95855712890625,-7.207606315612793
0.3,-0.5351876616477966,24.313655853271484,12.087807655334473,3.801377058029175,-1.5873157978057861,-8.083330154418945,22.572521209716797,4.342461109161377,18.77089500427246,-7.263345718383789,-28.357990264892578,41.99691390991211,-9.887199401855469,27.57662582397461,36.2385368347168,41.421539306640625,-8.226465225219727
0.35,9.005537033081055,36.76891326904297,6.0769572257995605,4.431195259094238,20.00252914428711,-11.100622177124023,2.839783191680908,-4.569411754608154,26.433834075927734,23.039758682250977,-30.161060333251953,19.904966354370117,4.975582599639893,10.47982120513916,36.699886322021484,12.036914825439453,-24.947223663330078
0.4,13.16369342803955,20.687257766723633,25.270395278930664,8.118847846984863,27.16359519958496,7.47458553314209,5.198572635650635,-17.45591163635254,78.37211608886719,-11.481006622314453,-32.62604522705078,37.3487434387207,2.3298749923706055,11.191983222961426,33.42688751220703,17.516695022583008,-8.14647388458252
0.45,19.356714248657227,30.156057357788086,8.243053436279297,-2.219459295272827,52.48058319091797,2.866654634475708,8.900350570678711,-3.152886390686035,83.49573516845703,-8.034902572631836,-31.539344787597656,33.99656295776367,16.523712158203125,17.946025848388672,34.24795150756836,5.158360958099365,5.998978614807129
0.5,14.181794166564941,24.895971298217773,8.434819221496582,8.553001403808594,60.269535064697266,4.740955352783203,9.738982200622559,5.247918605804443,62.85322952270508,2.997227907180786,-15.341474533081055,48.3795280456543,9.067483901977539,2.3248040676116943,23.20965003967285,24.77810287475586,16.25922966003418
0.55,8.645554542541504,37.1250114440918,24.448436737060547,-1.0327707529067993,41.490966796875,-16.05558967590332,8.450836181640625,-2.8619565963745117,39.80213165283203,-2.9560458660125732,-2.3827850818634033,41.90142059326172,41.92095947265625,-2.067112445831299,42.536460876464844,21.217117309570312,37.22471618652344
0.6,12.646140098571777,30.96512222290039,30.848594665527344,1.5530574321746826,39.70478057861328,-5.343078136444092,19.50851058959961,-34.73234939575195,30.66690444946289,15.69890022277832,-8.573785781860352,31.346590042114258,65.60738372802734,4.786545276641846,44.06278610229492,31.83833122253418,9.302289962768555
0.65,20.013853073120117,39.40998077392578,35.681270599365234,-0.3905062973499298,45.215919494628906,-2.3331520557403564,17.89612579345703,5.860265731811523,14.53941535949707,-4.547693252563477,-12.018135070800781,28.972490310668945,53.86170959472656,-11.62350082397461,54.803470611572266,46.59364700317383,28.151037216186523
0.7,30.212003707885742,22.200925827026367,28.454246520996094,-6.575191497802734,38.14792251586914,1.4386626482009888,24.23272132873535,-2.7967050075531006,4.321857929229736,3.9966118335723877,-15.074652671813965,15.22169303894043,32.29637145996094,27.84238052368164,96.24639129638672,61.643348693847656,-24.899084091186523
0.75,-5.13336181640625,28.906103134155273,19.68292999267578,-5.50685453414917,30.629344940185547,-12.423617362976074,6.021713733673096,-10.701276779174805,10.199738502502441,-0.9857578873634338,-28.66423225402832,41.51993942260742,4.8246541023254395,34.53353500366211,81.92759704589844,29.825122833251953,-9.899984359741211
0.8,-2.971428155899048,28.71490478515625,10.543962478637695,-4.92292594909668,31.62767219543457,-12.560074806213379,14.407554626464844,-12.97018814086914,12.891034126281738,-15.622425079345703,-29.862417221069336,28.871906280517578,8.363292694091797,44.058502197265625,49.97087478637695,13.216313362121582,6.3542985916137695
0.85,-3.0590639114379883,24.758350372314453,28.75161361694336,-0.29070115089416504,29.301883697509766,2.674882411956787,6.360908031463623,-14.355916023254395,-0.6315023899078369,-11.599868774414062,-17.244619369506836,15.415173530578613,2.061124563217163,14.170730590820312,24.872472763061523,18.83367347717285,8.35246467590332
0.9,3.1912968158721924,21.48094940185547,9.292989730834961,7.376469612121582,18.72107696533203,-10.780389785766602,6.862577438354492,0.20994576811790466,-10.407878875732422,-10.931777954101562,-4.0685906410217285,34.80714797973633,6.018034934997559,2.8695356845855713,37.69276428222656,5.268472671508789,15.761768341064453
0.95,16.781801223754883,36.71528625488281,13.834183692932129,-10.475311279296875,20.615150451660156,-1.220409631729126,-6.144159317016602,-11.188895225524902,-15.345372200012207,-9.349204063415527,-20.538013458251953,34.283992767333984,2.650095224380493,-9.59754467010498,31.86008071899414,16.653873443603516,14.887754440307617
1.0,11.042014122009277,38.773216247558594,19.05382537841797,1.8879766464233398,-3.184159755706787,-1.1997112035751343,3.7731099128723145,-16.0645809173584,-5.401398658752441,-12.639456748962402,-19.520526885986328,44.75227355957031,-0.5567342638969421,-9.46210765838623,49.86091232299805,9.815055847167969,21.10274887084961
1.05,18.76266098022461,23.02503204345703,23.882368087768555,3.2482423782348633,-4.753978729248047,-12.069825172424316,-7.811407566070557,-12.107227325439453,-5.328917503356934,3.266463041305542,-2.0301690101623535,31.303110122680664,24.568357467651367,1.6763479709625244,33.630760192871094,11.907617568969727,24.08629035949707
1.1,7.181995391845703,25.74063491821289,25.7626895904541,0.045355815440416336,-3.81809139251709,-14.573338508605957,12.512560844421387,6.2008256912231445,-2.3239355087280273,-0.7102510333061218,-27.633033752441406,42.148834228515625,53.1864128112793,4.743131160736084,34.555641174316406,25.529829025268555,27.416996002197266
1.15,17.581743240356445,22.838220596313477,31.67474937438965,-5.308689117431641,-14.329157829284668,11.01905632019043,4.427485466003418,-14.15817928314209,-10.18562126159668,9.873737335205078,2.5639474391937256,23.085535049438477,45.423065185546875,-0.699028730392456,45.378089904785156,60.961708068847656,6.06640100479126
1.2,-2.8235645294189453,30.303539276123047,32.43069839477539,2.9164798259735107,-19.31393814086914,-4.7429375648498535,6.5206475257873535,-8.722822189331055,-1.3927985429763794,-6.164185047149658,-17.640817642211914,15.141609191894531,9.947013854980469,18.344707489013672,95.89845275878906,52.377052307128906,1.845943570137024
1.25,5.427443027496338,18.30150032043457,18.29753875732422,2.300652503967285,2.2128469944000244,-15.052887916564941,-11.765541076660156,-26.518470764160156,18.9803524017334,2.0283477306365967,-1.4747469425201416,14.051178932189941,5.559725284576416,27.10526466369629,75.01663970947266,23.327350616455078,23.48336410522461
1.3,0.04359300062060356,18.028167724609375,22.48059844970703,-3.23085618019104,13.558819770812988,-2.9214606285095215,-10.794929504394531,-16.83331871032715,31.76772689819336,24.798786163330078,-11.207242965698242,24.8330135345459,-0.6624131798744202,37.9185676574707,49.97747802734375,28.899118423461914,8.360862731933594
1.35,-0.10130806267261505,21.680282592773438,27.023239135742188,0.41097307205200195,24.734600067138672,-0.5519825220108032,0.37438061833381653,-4.865352630615234,25.429706573486328,12.613757133483887,-17.219314575195312,28.82567024230957,-4.792001724243164,9.360207557678223,41.44974136352539,20.867660522460938,13.786685943603516
1.4,3.3170573711395264,30.247173309326172,19.490530014038086,0.7352221012115479,14.241971015930176,-2.5673751831054688,4.700524806976318,-13.847602844238281,58.94622039794922,-2.696857213973999,-15.914289474487305,17.698867797851562,15.899715423583984,8.94896411895752,37.162967681884766,24.30055046081543,11.139900207519531
1.45,-6.74039888381958,34.633750915527344,26.516536712646484,15.381542205810547,3.6877269744873047,6.458492279052734,6.523395538330078,-14.35327434539795,47.04884338378906,-5.556143760681152,-23.48233985900879,28.181495666503906,3.824476957321167,8.692047119140625,46.442378997802734,14.104716300964355,13.566570281982422
