cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,3.42714,8.26109,0.06576839999999999,28.3119,121.43799999999999,0.05,0.032195999999999995,0.05,0.0657972,1.0,191.0,115.0,66.0,12.083,191.0,115.0,66.0,12.083,False,27.292185418781315
C001,4.1429,10.3498,0.012832900000000001,42.8783,31.759,0.1,0.0467707,0.15,0.169558,1.0,171.0,133.0,69.0,13.4536,171.0,133.0,69.0,13.4536,False,23.438189582004178
C002,3.7247199999999996,10.8464,0.0368944,40.3996,12.460999999999999,0.05,0.0233126,0.05,0.0417029,1.0,152.0,155.0,64.5,11.4018,152.0,155.0,64.5,11.4018,False,13.849209732858514
C003,3.92841,7.69292,0.035290300000000004,30.2209,113.588,0.05,0.306372,0.05,0.998351,1.0,106.0,148.0,72.5,11.1803,106.0,148.0,72.5,11.1803,False,14.95851151532402
C004,5.42519,7.85365,0.0625602,42.6076,87.3708,0.1,0.04599330000000001,0.15,0.293192,1.0,182.0,92.0,64.5,11.7047,182.0,92.0,64.5,11.7047,False,11.221068376405423
C005,5.81871,10.1224,0.028873900000000004,58.8991,48.2566,0.1,0.039086800000000005,0.225,0.24509099999999998,1.0,99.0,127.0,65.5,13.9284,99.0,127.0,65.5,13.9284,False,11.6627590010696
C006,3.7393,9.89639,0.07378889999999999,37.0056,32.1453,0.05,0.0221163,0.05,0.0551677,1.0,59.0,229.0,59.0,16.0,59.0,229.0,59.0,16.0,False,11.208526159386993
C007,3.97905,11.1648,0.10105900000000001,44.4254,13.7103,0.05,0.0208928,0.05,0.0541896,1.0,123.0,183.0,61.0,11.4018,123.0,183.0,61.0,11.4018,False,6.125852542189385
C009,8.7753,12.6504,0.137953,111.01100000000001,125.338,0.1,0.041414,0.25,0.155144,1.0,152.0,94.0,64.5,13.6015,152.0,94.0,64.5,13.6015,False,8.109239311783277
C010,3.89983,10.5604,0.11068299999999999,41.1837,43.1067,0.05,0.0306925,0.05,0.050361,1.0,214.0,89.0,64.0,15.5242,214.0,89.0,64.0,15.5242,False,5.518225897859333
C013,3.8314800000000004,13.6716,0.0497273,52.3824,40.0694,0.05,0.0347804,0.05,0.665691,1.0,142.0,146.0,60.0,10.7703,142.0,146.0,60.0,10.7703,False,6.536066255458513
C016,4.34719,17.2146,0.014437,74.835,29.8086,0.05,0.0408248,0.1,0.104083,1.0,174.0,203.0,28.5,7.07107,174.0,203.0,28.5,7.07107,False,4.92090147822596
C021,4.01821,16.0646,0.027269799999999997,64.5508,11.5511,0.05,0.0320845,0.1,0.04022,1.0,85.0,145.0,68.5,14.5602,85.0,145.0,68.5,14.5602,False,3.931180297086006
C024,3.61988,15.4204,0.0513314,55.8198,18.7889,0.05,0.0306186,0.05,0.0233854,1.0,96.0,192.0,63.5,21.095,96.0,192.0,63.5,21.095,False,4.528195196393591
C026,4.2994,27.6428,0.00160411,118.84700000000001,0.0,0.1,0.0,0.05,0.0,1.0,94.0,175.0,65.0,15.6525,94.0,175.0,65.0,15.6525,False,4.3087826031790595
C030,4.0441400000000005,18.7721,0.028873900000000004,75.9168,20.3015,0.05,0.0311805,0.05,0.07637630000000001,1.0,88.0,160.0,61.5,18.7883,88.0,160.0,61.5,18.7883,False,4.357006128369422
C058,3.6612699999999996,13.2183,0.0529355,48.3958,13.8829,0.05,0.0275241,0.05,0.0529437,1.0,79.0,133.0,47.0,25.4951,79.0,133.0,47.0,25.4951,False,3.785139630674076
