cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C047,6.88997,6.2952,0.06731430000000001,43.3737,42.0504,0.1,0.0682575,0.5,0.6179140000000001,1.0,36.0,145.0,62.5,11.1803,36.0,145.0,62.5,11.1803,False,10.009557645393816
C048,17.6577,7.51203,0.09638189999999999,132.645,113.271,0.15,0.232225,1.05,0.913523,1.0,46.0,132.0,63.0,12.3693,46.0,132.0,63.0,12.3693,False,6.788737102817157
C049,7.0666899999999995,11.4148,0.0137688,80.6649,93.8183,0.15,0.10671900000000001,1.1,1.0423,1.0,199.0,126.0,70.0,10.7703,199.0,126.0,70.0,10.7703,False,9.102844829937922
C051,9.420119999999999,8.44285,0.09791169999999999,79.5327,67.0399,0.15,0.17732799999999999,0.45,0.788467,1.0,151.0,141.0,66.5,10.2956,151.0,141.0,66.5,10.2956,False,7.987779199714659
C052,9.88471,7.63362,0.048955900000000004,75.4561,63.3586,0.15,0.180278,0.55,0.572754,1.0,151.0,97.0,63.0,11.7047,151.0,97.0,63.0,11.7047,False,8.72286707063293
C053,12.0912,10.966,0.07649349999999999,132.591,119.985,0.2,0.118533,0.7,0.571271,1.0,213.0,133.0,58.5,11.4018,213.0,133.0,58.5,11.4018,False,7.578138143364135
C054,13.3345,7.008310000000001,0.059664999999999996,93.4524,90.3566,0.2,0.608382,1.0,0.916515,1.0,30.0,127.0,66.5,11.1803,30.0,127.0,66.5,11.1803,False,7.980914981660126
C055,11.1935,13.312999999999999,0.07802339999999999,149.019,159.911,0.2,0.461721,0.75,0.8409260000000001,1.0,196.0,163.0,64.0,10.2956,196.0,163.0,64.0,10.2956,False,6.96523107307479
C056,46.1081,4.27005,0.052015599999999995,196.88400000000001,82.4556,0.25,0.5012479999999999,0.8,0.5514020000000001,1.0,77.0,91.0,68.5,12.1655,77.0,91.0,68.5,12.1655,False,6.831538686141889
C057,15.4115,7.3423300000000005,0.048955900000000004,113.156,67.5932,0.25,0.7094229999999999,1.8,1.35433,1.0,187.0,144.0,68.5,11.6619,187.0,144.0,68.5,11.6619,False,6.626189537239036
C058,10.2127,6.838360000000001,0.07955330000000001,69.83800000000001,61.8792,0.15,0.18734,0.625,0.839958,1.0,217.0,87.0,68.0,11.4018,217.0,87.0,68.0,11.4018,False,8.180067043256763
C059,9.75603,8.70845,0.07343380000000001,84.9599,72.2982,0.15,0.40168899999999996,0.775,1.23035,1.0,75.0,125.0,62.0,10.8167,75.0,125.0,62.0,10.8167,False,6.855413702623026
C060,12.5977,7.97315,0.059664999999999996,100.443,84.0158,0.15,0.224036,0.45,0.6482720000000001,1.0,219.0,163.0,63.5,10.2956,219.0,163.0,63.5,10.2956,False,9.001308624764242
C061,11.1353,7.37915,0.0305974,82.1694,60.8535,0.15,0.14874500000000002,0.7,0.610123,1.0,89.0,159.0,63.0,11.7047,89.0,159.0,63.0,11.7047,False,9.433646579954663
C062,8.21905,6.82985,0.0566052,56.1349,40.8974,0.1,0.078843,0.55,0.5537340000000001,1.0,190.0,95.0,59.5,10.8167,190.0,95.0,59.5,10.8167,False,5.96812572003968
C063,14.4446,5.07901,0.07037410000000001,73.3641,42.1216,0.15,0.18620899999999999,0.65,0.752568,1.0,16.0,186.0,66.5,11.4018,16.0,186.0,66.5,11.4018,False,7.614023763423405
C064,9.862169999999999,6.86752,0.050485699999999994,67.7286,38.675,0.15,0.11281500000000001,0.6,1.00789,1.0,272.0,204.0,67.0,12.6491,272.0,204.0,67.0,12.6491,False,7.349673539705757
