frame,time
180,30.52371
460,41.26527
3060,140.73203
3480,156.82879
4901,211.08986
6326,265.68533
7129,296.37722
7691,317.92835
7891,325.58491
8375,344.06674
8970,366.83646
9552,389.08748
10172,412.77383
10434,422.79894
10791,436.4269
11737,472.54104
12071,485.35084
12632,506.73532
13452,538.11144
13653,545.76784
13933,556.46006
14355,572.54011
14613,582.41489
15235,606.15138
16632,659.49565
17693,700.02916
19158,756.00988
20290,799.36265
22213,872.8395
22832,896.47611
23073,905.68394
23331,915.55869
24273,951.58838
26635,1041.91343
27012,1056.35876
27024,1056.79237
27570,1077.67699
27850,1088.38578
28251,1103.71499
28612,1117.4932
29532,1152.63869
29873,1165.66649
30673,1196.22491
31491,1227.53483
32162,1253.10553
32996,1285.01614
35332,1374.45666
36272,1410.43681
37304,1449.96924
38289,1487.63378
39210,1522.83003
40012,1553.37275
41171,1597.6256
41971,1628.18397
43939,1703.33011
44250,1715.23979
45307,1755.67401
46285,1793.03789
48567,1880.26093
48952,1894.95645
48957,1895.12315
49213,1904.96403
49791,1927.08248
49989,1934.67222
50269,1945.36433
50510,1954.57199
50709,1962.17901
51029,1974.42189
51751,2002.02807
51929,2008.85044
52912,2046.38164
53171,2056.30666
53649,2074.62175
54290,2099.09214
54493,2106.81553
54770,2117.42418
55112,2130.46878
55914,2161.11048
57153,2208.44971
57818,2233.85417
58430,2257.25697
58732,2268.79973
59111,2283.31174
59310,2290.91827
59751,2307.74915
60072,2319.92584
61431,2371.86882
61607,2378.60795
62978,2430.9013
63639,2456.13907
63833,2463.57852
64593,2492.56928
65376,2522.4272
65774,2537.63992
65974,2545.27965
66911,2581.07595
67155,2590.36709
67554,2605.6134
67815,2615.67165
67970,2621.62637
69587,2683.36099
71116,2741.59285
71266,2747.38111
72187,2782.66066
72967,2812.46905
73131,2818.74036
73677,2839.57434
74071,2854.63686
74246,2861.30931
74535,2872.33481
75596,2912.86836
76133,2933.40227
76637,2952.60199
76916,2963.31057
77659,2991.71753
77818,2997.80589
78633,3028.96505
78880,3038.37297
79634,3067.24765
79817,3074.25278
80057,3083.44357
80451,3098.53959
82057,3159.89066
84176,3240.89131
85140,3277.67169
93256,3587.67932
