cellName,snr,mad,eventRate,eventAmpMedian,eventAmpSD,riseMedian,riseSD,decayMedian,decaySD,numContourComponents,overallCenterInPixelsX,overallCenterInPixelsY,overallAreaInPixels,overallMaxContourWidthInPixels,largestComponentCenterInPixelsX,largestComponentCenterInPixelsY,largestComponentAreaInPixels,largestComponentMaxContourWidthInPixels,likely_repeat,peak_95th_percentile
C000,3.70683,5.240613333333333,0.04867579999999999,19.430866666666663,21.585763333333333,0.05000000000000001,0.026569733333333335,0.06666666666666667,0.0949547,1.0,69.0,186.0,64.5,11.7047,69.0,186.0,64.5,11.7047,False,26.036662692477613
C001,15.091243333333333,5.293486666666667,0.03355346666666667,90.6558,56.93401666666667,0.08333333333333333,0.05931050000000001,0.18333333333333335,0.2378414666666667,1.0,277.0,83.0,63.5,15.8114,277.0,83.0,63.5,15.8114,False,16.01305526246344
C002,3.975026666666667,4.79678,0.03507038666666667,19.511666666666667,38.79525666666667,0.06666666666666667,0.042115900000000005,0.06666666666666667,0.2610337333333333,1.0,299.0,98.0,60.5,12.3693,299.0,98.0,60.5,12.3693,False,20.953850813870673
C003,25.74889,8.49484,0.05255343333333332,199.92466666666664,181.0305,0.16666666666666666,0.11183989999999999,0.3833333333333333,0.3781683333333333,1.0,186.0,132.0,69.5,12.7279,186.0,132.0,69.5,12.7279,False,15.833702476623472
C004,21.64046666666667,5.14395,0.028514999999999995,169.6986666666667,129.269,0.06666666666666667,0.31902800000000003,0.4333333333333333,0.641238,1.0,134.0,169.0,66.5,10.4403,134.0,169.0,66.5,10.4403,False,14.48941617753226
C005,8.011053333333335,7.644123333333333,0.016639346666666666,65.49273333333333,52.86905333333333,0.08333333333333333,0.023312633333333332,0.15833333333333333,0.12091649999999998,1.0,97.0,181.0,60.0,11.661899999999997,97.0,181.0,60.0,11.661899999999997,False,17.587271551044555
C006,10.333219999999999,5.69633,0.03913946666666667,58.21556666666667,143.38906666666665,0.10000000000000002,0.07517153333333333,0.31666666666666665,0.29864966666666665,1.0,197.0,117.0,65.0,12.2066,197.0,117.0,65.0,12.2066,False,13.428659177814518
C007,8.784193333333334,5.908433333333334,0.0418705,56.332233333333335,92.33855666666665,0.06666666666666667,0.07137693333333334,0.21666666666666667,0.479566,1.0,177.0,239.0,60.0,10.2956,177.0,239.0,60.0,10.2956,False,13.860706607541076
C008,25.29263333333333,7.640196666666665,0.01380597,200.74993333333336,139.273,0.13333333333333333,0.08514663333333333,0.325,0.30909433333333336,1.0,153.0,151.0,58.0,10.0,153.0,151.0,58.0,10.0,False,16.188214271005755
C009,5.26181,5.7322033333333335,0.04150020000000001,30.07303333333333,46.027433333333335,0.10000000000000002,0.11181229999999999,0.17499999999999996,0.5381706666666667,1.0,238.0,199.0,68.0,12.2066,238.0,199.0,68.0,12.2066,False,8.494500034883227
C010,6.712143333333334,5.507226666666667,0.05917206666666667,38.18793333333333,57.6977,0.08333333333333333,0.1870108,0.15,0.3337816666666667,1.0,189.0,106.0,63.5,10.816700000000003,189.0,106.0,63.5,10.816700000000003,False,13.801021687183608
C011,14.79304,4.1321433333333335,0.0597869,63.744566666666664,100.28216666666667,0.09166666666666667,0.178457,0.34166666666666673,0.6866353333333334,1.0,70.0,91.0,64.5,11.4018,70.0,91.0,64.5,11.4018,False,9.903196466926312
C012,11.896970000000001,6.219366666666667,0.024795233333333333,80.13386666666668,42.53136666666666,0.26666666666666666,0.18870716666666665,0.38333333333333336,0.3094733333333333,1.0,111.0,228.0,68.0,10.4403,111.0,228.0,68.0,10.4403,False,17.886236777414215
C013,33.56903333333333,5.5788866666666665,0.05599273333333333,202.43259999999998,168.212,0.16666666666666666,0.08857413333333332,0.31666666666666665,0.23404766666666665,1.0,114.0,92.0,65.5,12.2066,114.0,92.0,65.5,12.2066,False,9.526574200737958
C014,3.5620766666666666,6.5771033333333335,0.03887733333333334,23.538600000000002,23.344586666666668,0.05000000000000001,0.03254926666666667,0.05000000000000001,0.16838779999999998,1.0,103.0,142.0,61.0,10.7703,103.0,142.0,61.0,10.7703,False,8.487859778922626
C015,25.013299999999997,12.489833333333332,0.0551206,315.9343333333333,261.2726666666667,0.13333333333333333,0.07882006666666667,0.3166666666666667,0.38251433333333335,1.0,153.0,190.0,65.5,11.1803,153.0,190.0,65.5,11.1803,False,9.41872401047387
C016,23.208700000000004,4.31983,0.0425845,150.833,79.39366666666668,0.11666666666666665,0.13272163333333334,0.25,0.5160026666666667,1.0,308.0,82.0,65.5,11.661899999999997,308.0,82.0,65.5,11.661899999999997,False,9.108873352820234
C017,11.470433333333332,8.797353333333334,0.055866933333333334,154.14700000000002,98.75099999999999,0.09999999999999999,0.09736933333333335,0.2333333333333333,0.30170766666666665,1.0,105.0,208.0,62.0,11.7047,105.0,208.0,62.0,11.7047,False,9.498807970535049
C018,18.0035,6.687323333333333,0.0880941,126.67576666666668,84.97573333333334,0.15,0.41315133333333337,0.6416666666666667,0.8761776666666666,1.0,223.0,186.0,58.0,11.1803,223.0,186.0,58.0,11.1803,False,7.473402152248767
C019,19.304133333333336,6.5476133333333335,0.046547,127.18726666666664,63.301700000000004,0.17500000000000002,0.08614296666666667,0.4666666666666666,0.3007823333333333,1.0,93.0,221.0,65.0,13.038400000000001,93.0,221.0,65.0,13.038400000000001,False,8.278103297497164
C020,58.40880000000001,6.174033333333334,0.046783433333333325,349.7253333333333,140.31500000000003,0.30833333333333335,0.2667696,0.8416666666666668,0.43708166666666665,1.0,81.0,185.0,62.0,13.6015,81.0,185.0,62.0,13.6015,False,6.329026827965483
