auto_rewarded,change_contrast,change_frame,change_image_category,change_image_name,change_ori,change_time,cumulative_reward_number,cumulative_volume,delta_ori,initial_contrast,initial_image_category,initial_image_name,initial_ori,lick_times,optogenetics,response_latency,response_time,response_type,reward_frames,reward_times,reward_volume,rewarded,scheduled_change_time,startframe,starttime,endframe,endtime,trial_length
,1.0,,,,,,0,0.0,0.0,1.0,,,90.0,"[0.5032075070776045, 0.5369618583936244, 0.6700783644337207, 0.7033269426319748]",False,inf,[],[],[],[],0.0,True,2.7209246035001797,0,11.373915570322424,20.0,0.7505918862298131,-10.623323684092611
,1.0,,,,,,0,0.0,0.0,1.0,,,90.0,"[2.80488249193877, 2.838130749296397, 3.005000644829124]",False,inf,[],[],[],[],0.0,True,2.720964693444558,20,0.7689427640289068,80.0,3.052504203049466,2.283561439020559
,1.0,,,,,,0,0.0,0.0,1.0,,,90.0,[3.3231198352295905],False,inf,[],[],[],[],0.0,True,2.720964372603931,80,3.070542700821534,100.0,3.8197987941093743,0.7492560932878405
True,1.0,181.0,im065,im065,90.0,6.8909832527861,1,0.005,0.0,1.0,im077,im077,90.0,"[7.4256439548917115, 7.458853726042435, 7.709928293945268, 7.859897921793163, 7.9588380109053105, 7.992587230866775, 8.092332964995876, 8.12597217829898, 8.226082890527323, 8.259452058700845, 8.392881265608594, 8.428076926385984, 8.577946169301867, 8.67794398847036, 9.127054282929748, 9.16029933327809]",False,2.2361633970867842,[],[],[180],[6.892643933882937],0.005,True,2.720964693444558,100,3.8378940590191633,240.0,9.174225256079808,5.336331197060645
,1.0,,,,,,1,0.005,0.0,1.0,,,90.0,"[9.244797142455354, 9.294794929446653, 9.627408997854218, 9.727545688161626, 9.760780795942992]",False,inf,[],[],[],[],0.0,True,2.7414655432693564,240,9.192425396060571,260.0,9.941523054381832,0.7490976583212614
,1.0,,,,,,1,0.005,0.0,1.0,,,90.0,"[11.697135790484026, 11.829460121691227, 11.996209106175229]",False,inf,[],[],[],[],0.0,True,2.7414183976251536,260,9.959888364421204,320.0,12.243428636109456,2.2835402716882527
,1.0,,,,,,1,0.005,0.0,1.0,,,90.0,"[13.898768055718392, 13.948767125606537, 14.097887170035392, 14.131139596691355]",False,inf,[],[],[],[],0.0,True,2.7414632980834597,320,12.262235254980624,380.0,14.545331972651184,2.28309671767056
True,1.0,461.0,im061,im061,90.0,17.632501047337428,2,0.01,0.0,1.0,im065,im065,90.0,"[18.084187674336135, 18.35113845486194, 18.385999927064404, 18.486124750692397, 18.636240305611864, 18.78510794439353, 18.91860353993252, 18.951852118130773, 19.085358938667923, 19.202969662146643, 19.35283858445473, 19.40246080979705, 19.50270814797841, 19.535959291970357, 19.669325958704576, 19.70258127176203, 19.802822516299784, 19.836074942955747, 19.953444806626067, 20.00344419735484, 20.153565204469487, 20.302807442611083, 20.436303679598495, 20.4695512955077, 20.603172612842172, 20.6364208701998, 20.771169513463974, 21.07003211695701, 21.104028931586072, 21.237399767618626, 21.2706493078731, 21.63849559891969, 21.80425773211755, 21.83750759321265]",False,4.00609814375639,[],[],[460],[17.63421432604082],0.005,True,2.74146426037251,380,14.563441028585657,580.0,22.184981196420267,7.62154016783461
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[23.40507787372917, 23.43843293050304, 23.63920021778904, 23.67244719224982]",False,inf,[],[],[],[],0.0,False,5.964608702619451,580,22.203378899022937,620.0,23.71954407938756,1.5161651803646237
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[23.790068819886073, 23.84019104577601]",False,inf,[],[],[],[],0.0,False,5.964612230702194,620,23.737681358354166,640.0,24.48688036366366,0.7491990053094923
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[26.292398199206218, 26.474853094900027, 26.508103918051347]",False,inf,[],[],[],[],0.0,False,5.9646106269647206,640,24.50545061286539,700.0,26.78877568244934,2.2833250695839524
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[28.242524209432304, 28.27592256315984]",False,inf,[],[],[],[],0.0,False,5.964612230469363,700,26.807309369789436,740.0,28.323393729049712,1.516084359260276
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[28.443539412226528, 28.494287680834532]",False,inf,[],[],[],[],0.0,False,5.96461255130999,740,28.34138476033695,760.0,29.090700507164,0.749315746827051
,1.0,,,,,,2,0.01,0.0,1.0,,,90.0,"[30.194354839390144, 30.361100295791402, 30.494594608666375, 30.52784671448171]",False,inf,[],[],[],[],0.0,False,5.964609344067874,760,29.10897601605393,800.0,30.608614566270262,1.499638550216332
